Unnamed: 0,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
3660,South Africa,Direct Drop,DDP,Ocean,240,50000,103000,2,0.01,18467,5617,India,8074
5200,Haiti,From RDC,RDC,Air,60,5980,13933,2,0.04,3622,9181,India,14446
3767,Côte d'Ivoire,From RDC,RDC,Air,60,5907,14413,2,0.04,283,3969,India,9091
5950,Zambia,From RDC,RDC,Truck,30,150000,2509500,16,0.56,17001,7510, Nashik,6339
1359,Uganda,From RDC,RDC,Air,60,7296,96890,13,0.22,824,2182,India,5524
1230,Haiti,From RDC,RDC,Air,240,2613,5487,2,0.01,979,10836,India,14446
6137,Rwanda,From RDC,RDC,Truck,90,2118,19697,9,0.1,3622,9181,India,5921
3070,South Africa,Direct Drop,DDP,Truck,30,47,568,12,0.4,3622,9181,India,8074
4382,"Congo, DRC",From RDC,RDC,Air,240,590,890,1,0.01,3622,9181,India,6583
4701,Mozambique,From RDC,RDC,Truck,60,41076,339287,8,0.14,5170,7406,India,6624
733,Haiti,From RDC,RDC,Air,240,160,2640,16,0.07,938,10340,India,14446
6491,Uganda,From RDC,RDC,Truck,60,29287,105433,3,0.06,3622,9181,India,5524
5304,Tanzania,From RDC,RDC,Truck,60,1975,4542,2,0.04,3622,9181,India,5659
4921,Tanzania,From RDC,RDC,Truck,60,15003,219493,14,0.24,3622,9181, Nashik,5091
1260,Côte d'Ivoire,From RDC,RDC,Air,120,1764,72500,41,0.34,3622,9181,Germany,5008
5506,Nigeria,From RDC,RDC,Air,60,20000,54600,2,0.05,1370,9181,India,7633
5665,Mozambique,From RDC,RDC,Truck,60,10000,129600,12,0.22,1033,6951, Nashik,6074
5999,"Congo, DRC",From RDC,RDC,Air,60,24391,218787,8,0.15,3622,9181,India,6583
2705,South Africa,Direct Drop,DDP,Ocean,90,25000,204250,8,0.09,3313,4192,India,8074
1543,Tanzania,From RDC,RDC,Air,30,101445,1259946,12,0.41,3622,9181,India,5659
527,Nigeria,From RDC,RDC,,240,1216,4256,3,0.01,840,2736,India,7633
4955,Zambia,From RDC,RDC,Truck,60,10500,30975,2,0.05,537,5800,India,6906
3035,South Africa,Direct Drop,DDP,Truck,60,14,300,21,0.36,3622,9181,India,8074
2098,South Africa,Direct Drop,DDP,Truck,30,1200,34631,28,0.96,3622,9181, Port Elizabeth,573
1468,Nigeria,From RDC,RDC,,60,538,1920,3,0.06,3622,9181,India,7633
2732,South Africa,Direct Drop,DDP,Truck,60,2600,16744,6,0.11,3622,9181,South Africa,0
2471,South Africa,Direct Drop,DDP,Truck,60,121,2368,19,0.33,3622,9181,India,8074
937,Côte d'Ivoire,From RDC,RDC,Air,30,6000,79680,13,0.44,3622,9181, Nashik,8608
2337,Nigeria,Direct Drop,EXW,Air,60,13429,67145,5,0.08,3622,9181,India,7633
5941,Nigeria,From RDC,RDC,Air Charter,60,7736,18024,2,0.04,3622,9181,India,7633
1780,Haiti,Direct Drop,EXW,Air,30,14448,46667,3,0.11,2284,12257,India,14446
4271,Uganda,From RDC,RDC,Truck,30,66160,258685,3,0.13,5641,1175,India,5524
2215,Uganda,Direct Drop,EXW,Air,30,132,2640,20,0.67,12,25,India,5524
803,Uganda,From RDC,RDC,Air,30,3740,26441,7,0.24,322,2054,India,5524
857,Uganda,From RDC,RDC,Air,60,3930,80565,20,0.34,3622,9181,India,5524
1599,Uganda,From RDC,RDC,Air,60,2420,21199,8,0.15,202,534, Nashik,4961
6196,Nigeria,From RDC,RDC,Air Charter,60,1000,7500,7,0.12,3622,9181, Nashik,7134
4952,Côte d'Ivoire,From RDC,RDC,Truck,30,4292,16352,3,0.13,3622,9181,India,9091
2864,South Africa,Direct Drop,DDP,Air,240,32000,320640,10,0.04,12374,10865,Canada,15035
3250,South Africa,Direct Drop,DDP,Truck,30,3,45,15,0.51,3622,9181,India,8074
1423,Uganda,From RDC,RDC,Air,60,60,89,1,0.02,4,-474,India,5524
5060,Zambia,From RDC,RDC,Truck,30,14055,65074,4,0.15,1406,335,India,6906
1465,Mozambique,From RDC,RDC,Air,120,900,36990,41,0.34,3622,9181,Germany,8163
2181,Vietnam,Direct Drop,EXW,Air,240,309,648,2,0.01,3622,9181,India,3157
4567,"Congo, DRC",From RDC,RDC,Air,30,8,48,6,0.2,3622,9181, Nashik,6020
219,Vietnam,Direct Drop,FCA,Air,120,2000,164400,82,0.68,513,4866,Germany,9157
5118,Haiti,From RDC,RDC,Air,60,315,6747,21,0.36,1045,-250,India,14446
1288,Uganda,From RDC,RDC,Air,60,19650,223027,11,0.19,2237,14250,India,5524
1115,Nigeria,From RDC,RDC,Air Charter,60,5060,57684,11,0.19,570,8341,India,7633
582,Zambia,From RDC,RDC,Truck,60,14124,133471,9,0.16,2115,1882,India,6906
3708,Uganda,Direct Drop,EXW,Air,120,175,15750,90,0.75,37,333, Port Elizabeth,3989
1564,Haiti,From RDC,RDC,Air,30,24599,270589,11,0.37,3622,9181,India,14446
43,Tanzania,Direct Drop,FCA,Air,60,2094,21526,10,0.17,237,9181,Germany,6837
3276,South Africa,Direct Drop,DDP,Ocean,240,10000,92800,9,0.04,3853,3228,Canada,15035
1234,Rwanda,From RDC,RDC,Air,60,10530,25693,2,0.04,544,4029,India,5921
2197,Tanzania,Direct Drop,EXW,Air,60,150000,1215000,8,0.13,21674,89677,India,5659
2801,Uganda,Direct Drop,EXW,Air,30,1558,35055,22,0.75,195,2387, Nashik,4961
1744,Côte d'Ivoire,From RDC,RDC,Air,240,3181,6043,1,0.01,3622,9181,India,9091
3094,South Africa,Direct Drop,DDP,Truck,60,123,867,7,0.12,3622,9181,India,8074
2094,South Africa,Direct Drop,DDP,Truck,120,47,2215,47,0.39,3622,9181, Latina,7877
3101,Vietnam,Direct Drop,EXW,Air,60,7063,16244,2,0.04,412,769,India,3157
6179,Côte d'Ivoire,From RDC,RDC,Air,60,864,1296,1,0.02,56,2688,India,9091
6288,Uganda,From RDC,RDC,Truck,30,30000,246900,8,0.27,3622,9181, Nashik,4961
1452,Zambia,From RDC,RDC,Truck,60,61520,438022,7,0.12,23888,12518,India,6906
2509,Côte d'Ivoire,Direct Drop,CIP,Air,180,1015,50750,50,0.28,257,167, Haarlem,5009
1892,Vietnam,Direct Drop,EXW,Air,30,3548,14369,4,0.13,3622,9181,India,3157
2412,Rwanda,Direct Drop,EXW,Air,30,1728,34560,20,0.67,3622,9181,India,5921
5678,Uganda,From RDC,RDC,Air,60,50000,413000,8,0.14,6481,35226, Nashik,4961
1224,Uganda,From RDC,RDC,Truck,30,5147,56617,11,0.37,3622,9181,India,5524
3303,Vietnam,Direct Drop,EXW,Air,30,32673,375412,11,0.38,3425,10077, Nashik,3641
5366,Rwanda,From RDC,RDC,Truck,240,6816,58004,8,0.04,3622,9181,India,5921
2346,South Africa,Direct Drop,DDP,Truck,60,18,561,31,0.52,3622,9181,India,8074
1071,Nigeria,From RDC,RDC,Air Charter,60,11608,82648,7,0.12,1871,10492,India,7633
718,Zimbabwe,From RDC,RDC,Air,60,37240,275576,7,0.12,3622,9181,India,6980
6451,Mozambique,From RDC,RDC,Truck,30,247500,2668050,10,0.36,3622,9181, Nashik,6074
4709,Tanzania,From RDC,RDC,Truck,30,206508,2455380,11,0.4,22895,12649, Nashik,5091
1505,Mozambique,From RDC,RDC,Air,60,42700,576450,13,0.22,3622,9181,India,6624
2697,South Africa,Direct Drop,DDP,Truck,30,17,368,21,0.72,3622,9181,India,8074
670,Côte d'Ivoire,From RDC,RDC,,60,6945,71186,10,0.17,650,1457,India,9091
347,Rwanda,Direct Drop,EXW,Air,30,84,0,0,0.0,3622,9181, Port Elizabeth,3572
6368,Zambia,From RDC,RDC,Truck,30,60000,862800,14,0.48,3622,9181, Nashik,6339
3100,Vietnam,Direct Drop,FCA,Air,120,3470,285234,82,0.68,862,4215,Germany,9157
5989,Côte d'Ivoire,From RDC,RDC,Truck,30,10080,144950,14,0.48,1143,7158, Nashik,8608
3400,Vietnam,Direct Drop,FCA,Air,120,2700,164160,60,0.51,3622,9181,Germany,9157
897,Zambia,From RDC,RDC,Truck,60,1294,10546,8,0.14,76,62,India,6906
1258,Nigeria,From RDC,RDC,Air Charter,60,63940,728916,11,0.19,7189,10492,India,7633
2304,Vietnam,Direct Drop,EXW,Air,30,23520,105604,4,0.15,3622,9181, Nashik,3641
1882,South Africa,Direct Drop,DDP,Ocean,30,32280,146228,4,0.15,7017,10372,India,8074
95,Vietnam,Direct Drop,EXW,Air,60,10080,29232,2,0.05,507,3159,India,3157
2600,South Africa,Direct Drop,DDP,Truck,60,53,3422,64,1.08,3622,9181,India,8074
3768,Uganda,From RDC,RDC,Air,60,4730,35616,7,0.13,260,898,India,5524
3662,South Africa,Direct Drop,DDP,Ocean,60,515000,1251450,2,0.04,23655,36401,India,8074
842,Uganda,From RDC,RDC,,60,294,446,1,0.03,14,-368,India,5524
2534,Côte d'Ivoire,Direct Drop,EXW,Air,100,670,3015,4,0.04,76,921,India,9091
1595,Zambia,From RDC,RDC,Truck,60,35000,249200,7,0.12,2604,1448,India,6906
5908,Uganda,From RDC,RDC,Truck,30,5000,41150,8,0.27,607,3911, Nashik,4961
3688,Rwanda,Direct Drop,CIP,Air,240,7420,14469,1,0.01,3622,9181,India,5921
2499,Rwanda,Direct Drop,CIP,Air,30,599,7966,13,0.44,41,-283,India,5921
4894,Zambia,From RDC,RDC,Truck,30,13154,262027,19,0.66,1456,2949, Nashik,6339
6077,Haiti,From RDC,RDC,Air,60,30000,247800,8,0.14,3622,9181, Nashik,14325
4714,Côte d'Ivoire,From RDC,RDC,Truck,60,20000,75000,3,0.06,1041,4156, Nashik,8608
5289,Rwanda,From RDC,RDC,Air,30,2000,7820,3,0.13,3622,9181,India,5921
1874,South Africa,Direct Drop,DDP,Truck,30,300,1046,3,0.12,3622,9181,India,8074
1769,Haiti,Direct Drop,EXW,Ocean,30,25000,256000,10,0.34,3034,6658, Nashik,14325
4708,Uganda,From RDC,RDC,Truck,60,12965,29300,2,0.04,1243,9181,India,5524
2510,South Africa,Direct Drop,DDP,Ocean,30,20060,90871,4,0.15,1726,34753,India,8074
1983,South Africa,Direct Drop,DDP,Truck,60,17,460,27,0.45,3622,9181,India,8074
3698,South Africa,Direct Drop,DDP,Truck,30,140,4039,28,0.96,3622,9181,France,8670
3536,South Africa,Direct Drop,DDP,Truck,60,537,14023,26,0.44,3622,9181,India,8074
2676,South Africa,Direct Drop,DDP,Ocean,30,39878,265188,6,0.22,3622,9181,India,8074
731,Tanzania,From RDC,RDC,,60,51364,487958,9,0.16,5372,15430,India,5659
4710,Mozambique,From RDC,RDC,Truck,60,3386,38024,11,0.19,15942,3768, Nashik,6074
3341,South Africa,Direct Drop,DDP,Truck,120,33,1168,35,0.3,3622,9181, Latina,7877
2476,Vietnam,Direct Drop,EXW,Air,60,10762,87172,8,0.13,1485,1702,India,3157
1255,Côte d'Ivoire,From RDC,RDC,Air,200,800,1120,1,0.01,77,286,India,9091
2954,South Africa,Direct Drop,DDP,Truck,30,14,472,33,1.12,3622,9181,India,8074
3578,Vietnam,Direct Drop,EXW,Air,60,336,2436,7,0.12,19,7495,India,3157
898,Côte d'Ivoire,From RDC,RDC,Air,60,6786,63449,9,0.16,620,1739,India,9091
428,Rwanda,Direct Drop,CIP,Air,60,22752,207043,9,0.15,2086,-147,India,5921
5718,Côte d'Ivoire,From RDC,RDC,Truck,60,24765,200844,8,0.14,2751,10438,India,9091
5297,Zimbabwe,From RDC,RDC,Truck,60,60794,147121,2,0.04,6003,6423, Nashik,6420
5075,Rwanda,From RDC,RDC,Truck,60,3238,16481,5,0.08,3622,9181,India,5921
5876,Zimbabwe,From RDC,RDC,Truck,30,6392,27741,4,0.14,3622,9181, Nashik,6420
1222,Haiti,From RDC,RDC,Air,30,27070,297770,11,0.37,3622,9181,India,14446
4028,Côte d'Ivoire,From RDC,RDC,Truck,60,6750,75802,11,0.19,4919,16647,India,9091
3407,Haiti,Direct Drop,FCA,Air,60,1320,7840,5,0.1,3622,9181,Germany,7877
6145,Zambia,From RDC,RDC,Truck,60,44022,224071,5,0.08,3622,9181,India,6906
2689,South Africa,Direct Drop,DDP,Truck,60,189,1248,6,0.11,3622,9181,India,8074
1096,Mozambique,From RDC,RDC,Truck,60,2484,21759,8,0.15,2078,1400,India,6624
2072,South Africa,Direct Drop,DDP,Truck,120,101,2601,25,0.21,3622,9181,Germany,8973
5863,Haiti,From RDC,RDC,Air,30,400,4700,11,0.39,3622,9181, Nashik,14325
3162,South Africa,Direct Drop,DDP,Truck,30,38,564,14,0.5,3622,9181, Nashik,7527
5475,Côte d'Ivoire,From RDC,RDC,Air,30,6464,169680,26,0.88,571,949, Port Elizabeth,5690
1788,South Africa,Direct Drop,DDP,Truck,90,100,3297,32,0.37,3622,9181,India,8074
4695,Rwanda,From RDC,RDC,Truck,60,8600,57878,6,0.11,770,8828,India,5921
3734,Vietnam,Direct Drop,EXW,Air,60,525,3465,6,0.11,34,-193,India,3157
2840,Vietnam,Direct Drop,EXW,Air,60,7000,56700,8,0.13,974,69, Nashik,3641
192,South Africa,Direct Drop,DDP,Air,60,10000,56800,5,0.09,3622,9181,South Africa,0
4546,Nigeria,From RDC,RDC,Air Charter,60,1000,1400,1,0.02,108,17495,India,7633
1126,Nigeria,From RDC,RDC,,120,2703,55411,20,0.17,401,1208, Port Elizabeth,5168
2276,South Africa,Direct Drop,DDP,Truck,30,9,27,3,0.1,3622,9181,India,8074
6271,Zimbabwe,From RDC,RDC,Truck,60,1884,6123,3,0.05,3622,9181,India,6980
2310,Uganda,Direct Drop,FCA,Air,60,6390,37956,5,0.1,733,5255,Germany,5868
304,South Africa,Direct Drop,DDP,Truck,60,120,2355,19,0.33,3622,9181,India,8074
5259,"Congo, DRC",From RDC,RDC,Air,120,9,303,33,0.28,3622,9181,India,6583
1292,Côte d'Ivoire,From RDC,RDC,Air,240,6000,11520,1,0.01,3622,9181,India,9091
70,Côte d'Ivoire,Direct Drop,EXW,Air,100,6,2400,400,4.0,15,39,Thailand,11529
4628,Zimbabwe,From RDC,RDC,Truck,60,19733,54463,2,0.05,3622,9181,India,6980
5544,Nigeria,From RDC,RDC,Air Charter,60,200,280,1,0.02,3622,9181,India,7633
2317,South Africa,Direct Drop,DDP,Ocean,30,128887,549058,4,0.14,10956,15429,India,8074
831,Nigeria,From RDC,RDC,,60,700,1064,1,0.03,3622,9181,India,7633
2598,South Africa,Direct Drop,DDP,Truck,60,7,117,16,0.28,3622,9181,Poland,8994
1456,Mozambique,From RDC,RDC,Truck,60,2592,6324,2,0.04,3622,9181,India,6624
3808,Haiti,From RDC,RDC,Air,60,7560,10659,1,0.02,2027,18372,India,14446
238,Tanzania,Direct Drop,CIP,Air,30,2597,61470,23,0.79,3622,9181,France,6771
92,South Africa,Direct Drop,DDP,,60,100,573,5,0.1,3622,9181,France,8670
5181,Côte d'Ivoire,From RDC,RDC,Air,60,6016,93248,15,0.26,3622,9181,India,9091
3080,Uganda,Direct Drop,EXW,Air,30,1455,32737,22,0.75,3622,9181, Nashik,4961
3504,Mozambique,Direct Drop,FCA,Air,60,616,4219,6,0.11,87,53,Germany,8163
3078,South Africa,Direct Drop,DDP,Truck,60,7,211,30,0.5,3622,9181,India,8074
6314,"Congo, DRC",From RDC,RDC,Air,120,23,776,33,0.28,3622,9181,India,6583
5430,Nigeria,From RDC,RDC,Air Charter,60,320300,2472716,7,0.13,87076,193623, Nashik,7134
4909,"Congo, DRC",From RDC,RDC,Air,60,70,180,2,0.04,3622,9181,India,6583
1001,Nigeria,From RDC,RDC,Air,60,628,2241,3,0.06,3622,9181,India,7633
6229,Nigeria,From RDC,RDC,Air Charter,30,2500,29375,11,0.39,225,5147, Nashik,7134
5439,Uganda,From RDC,RDC,Truck,30,13549,62189,4,0.15,1354,9181,India,5524
2153,South Africa,Direct Drop,DDP,Truck,60,2314,26605,11,0.19,3622,9181,South Africa,0
1532,Haiti,From RDC,RDC,Air,60,7770,11810,1,0.03,3622,9181,India,14446
3745,South Africa,Direct Drop,DDP,Ocean,60,212409,524650,2,0.04,10302,12677,India,8074
411,Vietnam,Direct Drop,EXW,Air,60,432,3240,7,0.12,3622,9181, Nashik,3641
6236,Zambia,From RDC,RDC,Air,60,13455,230618,17,0.29,3622,9181, Nashik,6339
5282,Zimbabwe,From RDC,RDC,Truck,30,78082,418519,5,0.18,3622,9181, Nashik,6420
3949,Rwanda,From RDC,RDC,Air,30,59989,796054,13,0.44,7242,4825, Nashik,5355
5513,Zimbabwe,From RDC,RDC,Air,60,2100,12033,5,0.1,3622,9181,India,6980
5921,Nigeria,From RDC,RDC,Air Charter,30,10944,46183,4,0.14,726,14322,India,7633
4939,Nigeria,From RDC,RDC,Air Charter,30,32562,127317,3,0.13,3622,9181,India,7633
2228,Vietnam,Direct Drop,EXW,Air,60,6000,13500,2,0.04,594,113,India,3157
633,Mozambique,From RDC,RDC,Air,60,3672,34333,9,0.16,3427,2874,India,6624
498,South Africa,Direct Drop,DDP,Air,60,100,520,5,0.09,3622,9181,India,8074
4244,Zimbabwe,From RDC,RDC,Truck,30,78082,432574,5,0.18,14314,14219, Nashik,6420
720,Zambia,From RDC,RDC,Truck,30,12000,24000,2,0.07,700,-46,India,6906
4855,Nigeria,From RDC,RDC,Air,60,72023,615796,8,0.14,3622,9181,India,7633
757,Mozambique,From RDC,RDC,Truck,60,80000,576000,7,0.12,11515,9181,India,6624
4576,Côte d'Ivoire,From RDC,RDC,Air,30,7140,119452,16,0.56,779,3646, Nashik,8608
4626,Nigeria,From RDC,RDC,Air,30,31560,418801,13,0.44,3856,14459, Nashik,7134
3482,Haiti,Direct Drop,EXW,Ocean,60,6500,22750,3,0.06,3622,9181, Nashik,14325
3728,South Africa,Direct Drop,DDP,Truck,240,8,141,17,0.07,3622,9181,India,8074
2917,Uganda,Direct Drop,EXW,Air,60,384,10018,26,0.43,40,-10,India,5524
596,Zambia,From RDC,RDC,,30,43154,1132792,26,0.88,3788,910, Port Elizabeth,2162
6445,Côte d'Ivoire,From RDC,RDC,Truck,100,4000,5200,1,0.01,750,2138,India,9091
1068,Nigeria,From RDC,RDC,Air,60,1923,79035,41,0.68,3622,9181,India,7633
1942,Haiti,Direct Drop,EXW,Ocean,60,34080,318648,9,0.16,4726,6208, Nashik,14325
1647,Côte d'Ivoire,From RDC,RDC,Air,240,96,2400,25,0.1,3622,9181,India,9091
2589,South Africa,Direct Drop,DDP,Truck,200,4500,12317,2,0.01,3622,9181,India,8074
1700,Mozambique,From RDC,RDC,Air,180,252,12600,50,0.28,3622,9181, Haarlem,8465
5202,Uganda,From RDC,RDC,Truck,60,8988,100845,11,0.19,3622,9181, Nashik,4961
5558,Zimbabwe,From RDC,RDC,Air,60,5287,17447,3,0.06,357,1001,India,6980
86,Vietnam,Direct Drop,EXW,Air,30,22500,277425,12,0.41,1955,15095,India,3157
2288,Rwanda,Direct Drop,CIP,Air,60,61290,698706,11,0.19,7965,64851, Nashik,5355
1029,Uganda,From RDC,RDC,,60,1450,19575,13,0.22,167,472,India,5524
2582,Vietnam,Direct Drop,EXW,Air,30,21384,217047,10,0.34,2406,3219, Nashik,3641
3197,South Africa,Direct Drop,DDP,Truck,30,9,137,15,0.51,3622,9181,India,8074
2144,South Africa,Direct Drop,DDP,Truck,30,211,4768,22,0.75,3622,9181,India,8074
4634,Côte d'Ivoire,From RDC,RDC,Truck,60,90000,694800,7,0.13,10611,37492, Nashik,8608
1200,Zimbabwe,From RDC,RDC,Air,60,37240,275576,7,0.12,7806,44047,India,6980
2025,Vietnam,Direct Drop,EXW,Air,60,19600,120540,6,0.1,1926,11423,India,3157
621,Nigeria,From RDC,RDC,Air,60,1116,10434,9,0.16,102,2680,India,7633
5902,Côte d'Ivoire,From RDC,RDC,Air,240,600,1170,1,0.01,224,2545,India,9091
566,Zimbabwe,From RDC,RDC,Air,30,1860,23101,12,0.41,2425,12356,India,6980
1837,Vietnam,Direct Drop,EXW,Air,60,30000,313500,10,0.17,10210,16392,India,3157
1334,Côte d'Ivoire,From RDC,RDC,Air,60,3260,228200,70,1.17,3622,9181,India,9091
3624,Vietnam,Direct Drop,EXW,Air,60,14952,128736,8,0.14,3622,9181,India,3157
2099,South Africa,Direct Drop,DDP,Truck,60,17,98,5,0.1,3622,9181,Germany,8973
3560,South Africa,Direct Drop,DDP,Truck,120,36,1696,47,0.39,3622,9181, Latina,7877
4166,Côte d'Ivoire,From RDC,RDC,Truck,30,8640,97977,11,0.38,11468,6816, Nashik,8608
5437,Zambia,From RDC,RDC,Truck,30,108856,339630,3,0.1,6431,42219,India,6906
1688,Zambia,From RDC,RDC,Truck,60,50000,472500,9,0.16,4585,1938,India,6906
745,Tanzania,From RDC,RDC,Air,60,11640,90210,7,0.13,16778,8043,India,5659
195,South Africa,Direct Drop,DDP,Air,30,282,4314,15,0.51,3622,9181,India,8074
5300,Rwanda,From RDC,RDC,Air,120,965,28641,29,0.25,3622,9181, Nashik,5355
2939,South Africa,Direct Drop,DDP,Truck,30,140,3996,28,0.95,3622,9181,France,8670
5646,Uganda,From RDC,RDC,Air,30,14704,178065,12,0.4,3622,9181, Nashik,4961
802,Uganda,From RDC,RDC,Air,60,192,1445,7,0.13,11,112,India,5524
3832,Côte d'Ivoire,From RDC,RDC,Air,240,628,1224,1,0.01,232,794,India,9091
4184,Nigeria,From RDC,RDC,Air Charter,60,32000,264320,8,0.14,3175,12398,India,7633
6497,Nigeria,From RDC,RDC,Air,30,6724,20978,3,0.1,3622,9181,India,7633
5010,Rwanda,From RDC,RDC,Truck,240,5495,7967,1,0.01,1960,3390,India,5921
644,Zambia,From RDC,RDC,Air,90,1093,16679,15,0.17,133,759,India,6906
5735,Nigeria,From RDC,RDC,Air Charter,60,15485,104214,6,0.11,3622,9181, Nashik,7134
4857,Haiti,From RDC,RDC,Air,60,36139,308988,8,0.14,7100,67243,India,14446
2263,South Africa,Direct Drop,DDP,Truck,30,2700,52283,19,0.65,3622,9181,India,8074
6070,Côte d'Ivoire,From RDC,RDC,Truck,30,611,8260,13,0.45,55,335, Nashik,8608
120,Vietnam,Direct Drop,EXW,Air,60,700,7805,11,0.19,3622,9181,India,3157
1777,Rwanda,Direct Drop,CIP,Air,30,62209,681188,10,0.36,5795,62600, Nashik,5355
4082,Nigeria,From RDC,RDC,Air Charter,60,350505,2705898,7,0.13,72975,128843,India,7633
5212,Tanzania,From RDC,RDC,Air,30,4738,19994,4,0.14,3622,9181, Nashik,5091
2135,South Africa,Direct Drop,DDP,Air,240,11640,34920,3,0.01,4386,11917,India,8074
6490,Uganda,From RDC,RDC,Truck,60,18000,64800,3,0.06,2253,2785, Nashik,4961
5158,Zimbabwe,From RDC,RDC,Air,60,47390,277231,5,0.1,7112,2833,India,6980
134,South Africa,Direct Drop,DDP,Truck,90,6,43,7,0.08,3622,9181,France,8670
4088,Nigeria,From RDC,RDC,Air Charter,60,21347,113779,5,0.09,1554,2583,India,7633
4676,Tanzania,From RDC,RDC,Truck,240,2191,4272,1,0.01,823,2524,India,5659
2617,South Africa,Direct Drop,DDP,Truck,30,9,196,21,0.73,3622,9181,India,8074
62,South Africa,Direct Drop,DDP,Truck,30,80,2816,35,1.17,3622,9181, Port Elizabeth,573
4220,"Congo, DRC",From RDC,RDC,Air,60,79,652,8,0.14,3622,9181,India,6583
5769,Rwanda,From RDC,RDC,Truck,30,294399,2826230,9,0.32,33500,9181, Nashik,5355
3950,Côte d'Ivoire,From RDC,RDC,Truck,120,503,13430,26,0.22,123,783,India,9091
2846,Vietnam,Direct Drop,EXW,Air,60,10416,15103,1,0.02,3622,9181,India,3157
679,Zambia,From RDC,RDC,,60,52865,188728,3,0.06,9182,36695,India,6906
3165,South Africa,Direct Drop,DDP,Truck,30,6,66,11,0.37,3622,9181,India,8074
741,Zambia,From RDC,RDC,,30,40000,1050000,26,0.88,3512,772, Port Elizabeth,2162
1211,Tanzania,From RDC,RDC,Air,60,11640,90210,7,0.13,2427,7381,India,5659
2170,Rwanda,Direct Drop,FCA,Air,60,1514,10370,6,0.11,204,949,Germany,6174
5607,Zimbabwe,From RDC,RDC,Truck,60,7150,21092,2,0.05,3622,9181,India,6980
4439,Zambia,From RDC,RDC,Truck,60,20000,54600,2,0.05,1946,2379,India,6906
567,Mozambique,From RDC,RDC,Air,60,120,182,1,0.03,5092,7118,India,6624
1873,South Africa,Direct Drop,DDP,Ocean,30,43280,287812,6,0.22,4040,5121,India,8074
5905,Uganda,From RDC,RDC,Truck,60,32000,264320,8,0.14,3026,13406,India,5524
1717,Nigeria,From RDC,RDC,Air Charter,60,67842,773398,11,0.19,7627,10492,India,7633
1392,Mozambique,From RDC,RDC,Truck,60,76128,548121,7,0.12,3622,9181,India,6624
5890,Nigeria,From RDC,RDC,Air Charter,60,137900,1139054,8,0.14,12766,11601,India,7633
3082,Vietnam,Direct Drop,EXW,Air,30,16354,89947,5,0.18,3622,9181, Nashik,3641
489,Vietnam,Direct Drop,EXW,Air,60,7800,22620,2,0.05,3622,9181,India,3157
3393,Vietnam,Direct Drop,FCA,Air,120,4500,273600,60,0.51,3622,9181,Germany,9157
690,Côte d'Ivoire,From RDC,RDC,,60,10000,106800,10,0.18,3622,9181,India,9091
6357,Nigeria,From RDC,RDC,Air Charter,30,7000,92890,13,0.44,858,15532, Nashik,7134
602,Côte d'Ivoire,From RDC,RDC,Air,240,1200,2520,2,0.01,448,1605,India,9091
1911,South Africa,Direct Drop,DDP,Truck,240,16,367,22,0.1,3622,9181,India,8074
3620,Zambia,Direct Drop,EXW,Air,60,34165,76871,2,0.04,3503,18461,India,6906
3018,South Africa,Direct Drop,DDP,Truck,240,4,26,6,0.03,3622,9181,India,8074
4585,Rwanda,From RDC,RDC,Air,30,1092,2446,2,0.07,7,-195,India,5921
1187,Côte d'Ivoire,From RDC,RDC,Air,240,5581,10715,1,0.01,1988,5146,India,9091
274,Rwanda,Direct Drop,EXW,Air,30,1400,23100,16,0.55,405,2616,India,5921
4815,Nigeria,From RDC,RDC,Air Charter,60,9924,74430,7,0.12,544,8736,India,7633
1361,Haiti,From RDC,RDC,Air,60,16752,158306,9,0.16,1580,10572,India,14446
4786,Haiti,From RDC,RDC,Air,60,108,180,1,0.03,1857,10091,India,14446
1526,Mozambique,From RDC,RDC,Air,30,33787,419634,12,0.41,6081,2316,India,6624
2805,Côte d'Ivoire,Direct Drop,EXW,Air,60,3900,7215,1,0.03,321,2740,India,9091
3964,Zimbabwe,From RDC,RDC,Truck,60,7867,57193,7,0.12,704,24568,India,6980
3539,South Africa,Direct Drop,DDP,Truck,60,15,289,19,0.32,3622,9181,India,8074
5114,Haiti,From RDC,RDC,Air,60,252,420,1,0.03,3622,9181,India,14446
4246,Zimbabwe,From RDC,RDC,Truck,60,7150,21092,2,0.05,3622,9181,India,6980
6110,Mozambique,From RDC,RDC,Truck,60,90472,589877,6,0.11,3622,9181,India,6624
3538,South Africa,Direct Drop,DDP,Truck,60,19,243,12,0.21,3622,9181,India,8074
945,Nigeria,From RDC,RDC,Air Charter,30,8462,222127,26,0.88,1225,6445, Port Elizabeth,5168
5099,Nigeria,From RDC,RDC,Air,60,45,315,7,0.12,3622,9181,India,7633
2937,South Africa,Direct Drop,DDP,Truck,240,40,656,16,0.07,3622,9181,Canada,15035
2571,South Africa,Direct Drop,DDP,Ocean,60,236129,559625,2,0.04,11917,16266,India,8074
68,South Africa,Direct Drop,DDP,Truck,60,5000,41300,8,0.14,3622,9181,India,8074
4746,Tanzania,From RDC,RDC,Truck,60,20000,40000,2,0.03,1386,6061,India,5659
4601,Côte d'Ivoire,From RDC,RDC,Air,60,20000,196200,9,0.16,3622,9181,India,9091
