,0
  (0, 5)	-0.7012300872635686
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
296,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.43399470032539017
  (0, 2)	-0.42213067475698046
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.5224890601193738
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.4775853679080117
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
297,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.47801014822740007
  (0, 2)	-0.42313587850573964
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.5884382325417316
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
298,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.49822012430627277
  (0, 2)	-0.452687211790002
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.4891230827075019
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.5013912054686156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 38)	6.70078468574501"
299,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.48766863679532646
  (0, 2)	-0.4435133468081947
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.3890251504718859
  (0, 5)	-0.6836846876401718
  (0, 6)	-0.5744790662219047
  (0, 15)	3.339872017081845
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
300,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4546511758757728
  (0, 2)	-0.4129374789338509
  (0, 3)	-0.2280299846826724
  (0, 4)	0.07809853329432162
  (0, 5)	-0.6946746632284533
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
301,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4766471498406854
  (0, 2)	-0.43131282438506874
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.32229319564814196
  (0, 5)	0.22366312145549488
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
302,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.172275510103989
  (0, 2)	-0.029187140101249086
  (0, 3)	-0.05357871968321119
  (0, 4)	0.4784902622367852
  (0, 5)	-0.47815286348037983
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
303,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.1708240837931518
  (0, 2)	-0.2388494450828181
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.5892210149431176
  (0, 5)	-0.05879853182226789
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
304,"  (0, 0)	-0.22679080041325675
  (0, 1)	1.2977417499399662
  (0, 2)	0.04656766549204932
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 29)	4.537951372605795
  (0, 40)	2.103542762656433"
305,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.3978752430774514
  (0, 2)	0.28454689146201445
  (0, 3)	2.0834492765601884
  (0, 4)	0.9456139460029929
  (0, 5)	-0.4966622960501172
  (0, 6)	0.6883822198559402
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
306,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.24919091906462884
  (0, 2)	-0.3270864510727959
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.5224890601193738
  (0, 5)	-0.5213415394764337
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
307,"  (0, 0)	2.164456214062103
  (0, 1)	-0.35440029453569044
  (0, 2)	-0.41960109609252066
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.239072692787939
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
308,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.470819156738871
  (0, 2)	-0.43625047356853397
  (0, 3)	-0.315255617182403
  (0, 4)	-0.4891230827075019
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
309,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4824751429424999
  (0, 2)	-0.39448481011734393
  (0, 3)	0.6442263403146337
  (0, 4)	2.2468870650659998
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.5013912054686156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 38)	6.70078468574501"
310,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5011576208293648
  (0, 2)	-0.4541232171453722
  (0, 3)	0.5133878915650377
  (0, 4)	0.645320149296145
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
311,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.22886344312483248
  (0, 2)	-0.3107325593141376
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.2555612408243981
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
312,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.3978752430774514
  (0, 2)	-0.4053763584280748
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.32229319564814196
  (0, 5)	1.4256193989528143
  (0, 6)	0.4775853679080117
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
313,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.015912267151374265
  (0, 2)	0.06881470230524603
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	-0.2893952125869124
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
314,"  (0, 0)	-0.22679080041325675
  (0, 1)	1.1437229322412086
  (0, 2)	0.995347449980178
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.355659173060014
  (0, 5)	0.6100475263487622
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
315,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4895251345979206
  (0, 2)	-0.41551400392723625
  (0, 3)	0.6878391565644989
  (0, 4)	2.3803509747134872
  (0, 5)	-0.0051983000057367924
  (0, 6)	-2.607574386921871
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 34)	7.482350085235563"
316,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.42645120925409
  (0, 2)	-0.43696847624621904
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.6559529697668617
  (0, 5)	-0.6553421190177614
  (0, 6)	2.719173749824235
  (0, 9)	3.712268167078368
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
317,"  (0, 0)	0.1717503686659699
  (0, 1)	-0.49540012764410446
  (0, 2)	-0.43548000146440263
  (0, 3)	0.6442263403146337
  (0, 4)	0.2782943977655534
  (0, 5)	-0.6954458895855257
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
318,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4307752041360814
  (0, 2)	-0.3873600143156995
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.6221793856636486
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
319,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.9305546845534713
  (0, 2)	0.9084249412001161
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.32229319564814196
  (0, 5)	0.96191955176304
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
320,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.50024112191416
  (0, 2)	-0.4540155167437194
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
321,"  (0, 0)	0.5702915377451966
  (0, 1)	0.097551170521146
  (0, 2)	0.9867065639091139
  (0, 3)	0.3389366265655765
  (0, 4)	-0.18882928600065407
  (0, 5)	0.6730952810394301
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
322,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.20649704156958057
  (0, 2)	-0.18581942423825304
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.3890251504718859
  (0, 5)	-0.35996242425903613
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
323,"  (0, 0)	-0.6253319694924834
  (0, 1)	2.2033131780787554
  (0, 2)	2.660207874216216
  (0, 3)	-0.1408043521829418
  (0, 4)	0.3450263525892974
  (0, 5)	1.4180999419713585
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
324,"  (0, 0)	0.5702915377451966
  (0, 1)	0.1322841294101853
  (0, 2)	1.0397724848875634
  (0, 3)	0.3389366265655765
  (0, 4)	-0.18882928600065407
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
325,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.43766069598620894
  (0, 2)	-0.3705173284264633
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.6528356333572761
  (0, 6)	-0.8728199659733445
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 33)	2.46416498527817"
326,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4241952119243554
  (0, 2)	-0.36642471316365827
  (0, 3)	-0.1408043521829418
  (0, 4)	0.3116603751774254
  (0, 5)	-0.6593910573923915
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
327,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.47991364597436365
  (0, 2)	-0.40546748953716555
  (0, 3)	0.2953238103157112
  (0, 4)	-0.22219526341252607
  (0, 5)	0.9970103510098337
  (0, 6)	-0.20241686305698176
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 39)	4.472436630062954"
328,"  (0, 0)	-0.22679080041325675
  (0, 1)	2.2012216805543137
  (0, 2)	0.6888155375838481
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	1.3216966473373097
  (0, 6)	-0.8728199659733445
  (0, 14)	4.394704435480066
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 29)	4.537951372605795
  (0, 33)	2.46416498527817"
329,"  (0, 0)	2.164456214062103
  (0, 1)	-0.5011811208015494
  (0, 2)	-0.4543938489238843
  (0, 3)	-0.2716428009325377
  (0, 4)	-0.6559529697668617
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
330,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.07278219983843459
  (0, 2)	0.2869080156520943
  (0, 3)	-0.0971915359330765
  (0, 4)	-0.15546330858878218
  (0, 5)	-0.04645891010910965
  (0, 6)	-1.4295693927939208
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
331,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.48649363818608965
  (0, 2)	-0.4316248793949857
  (0, 3)	0.03364691281651941
  (0, 4)	-0.021999398941294282
  (0, 5)	-0.6906257248538232
  (0, 6)	-0.5541289147588078
  (0, 12)	4.963728285804211
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
332,"  (0, 0)	-0.6253319694924834
  (0, 1)	2.348801505874454
  (0, 2)	3.4808517962251577
  (0, 3)	-0.05357871968321119
  (0, 4)	0.5452222170605292
  (0, 5)	1.1884672941530545
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
333,"  (0, 0)	-0.22679080041325675
  (0, 1)	3.2771914070046213
  (0, 2)	0.6910993384086388
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 40)	2.103542762656433"
334,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.3291378244370996
  (0, 2)	-0.35332392584466554
  (0, 3)	-0.315255617182403
  (0, 4)	-0.4891230827075019
  (0, 5)	-0.6158167682178014
  (0, 6)	0.10321937401141734
  (0, 11)	2.9141347293510997
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
335,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.48482514016097344
  (0, 2)	-0.43291176111729823
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
336,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.21976895388933979
  (0, 2)	-0.371434162614892
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
337,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5011106208849953
  (0, 2)	-0.4541425479866945
  (0, 3)	0.16448536156611532
  (0, 4)	0.1781964655299376
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6257959049788685
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 41)	50.02"
338,"  (0, 0)	2.164456214062103
  (0, 1)	-0.498290624222827
  (0, 2)	-0.45379459284289325
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.6946746632284533
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
339,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.08177711722057192
  (0, 2)	0.1316675520902953
  (0, 3)	-0.05357871968321119
  (0, 4)	0.5785881944724012
  (0, 5)	-0.2953722168542235
  (0, 6)	-0.6547277767084567
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
340,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.49417812909049824
  (0, 2)	-0.42667066091895856
  (0, 3)	0.9059032378138254
  (0, 4)	2.947572590715311
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
341,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.021452688622355453
  (0, 2)	-0.20975376734400972
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.28892721823627
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 28)	3.52330411772946
  (0, 33)	2.46416498527817"
342,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.8375182946741028
  (0, 2)	0.2802416369446642
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.22219526341252607
  (0, 5)	0.22616960711598016
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
343,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.5008521211909631
  (0, 2)	-0.45433861794867775
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.6225869923549897
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.2999440040310689
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
344,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.2652414000668033
  (0, 2)	-0.19096418957874278
  (0, 3)	-0.1408043521829418
  (0, 4)	-0.22219526341252607
  (0, 5)	0.7118494054823177
  (0, 6)	-0.28420143403131465
  (0, 10)	4.122731597850715
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
345,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.7188434351411876
  (0, 2)	0.6667618091838743
  (0, 3)	-0.2280299846826724
  (0, 4)	0.1114645107061936
  (0, 5)	-0.019273181022307906
  (0, 6)	0.27254799278926156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
346,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4425251902284492
  (0, 2)	-0.29912853142324236
  (0, 3)	0.42616225906530714
  (0, 4)	1.74639740388792
  (0, 5)	-0.28958801917618054
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 30)	2.0987118447552677
  (0, 40)	2.103542762656433"
347,"  (0, 0)	2.164456214062103
  (0, 1)	-0.49690412586392757
  (0, 2)	-0.4534659685404143
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.6879264326040699
  (0, 6)	-0.2999440040310689
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
348,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.38318776046199166
  (0, 2)	-0.27254310150757144
  (0, 3)	0.03364691281651941
  (0, 4)	0.712052104119889
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.08837922183924993
  (0, 11)	2.9141347293510997
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
349,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.487175137379447
  (0, 2)	-0.4272257322197843
  (0, 3)	0.16448536156611532
  (0, 4)	0.14483048811806562
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
350,"  (0, 0)	-0.6253319694924834
  (0, 1)	0.6502235163617596
  (0, 2)	0.11656740346882564
  (0, 3)	-0.3588684334322683
  (0, 4)	-0.28892721823627
  (0, 5)	0.07346678841564697
  (0, 6)	-0.8728199659733445
  (0, 14)	4.394704435480066
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
351,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.27144539272357354
  (0, 2)	-0.25109691383486965
  (0, 3)	-0.2280299846826724
  (0, 4)	-0.32229319564814196
  (0, 5)	-0.5975001422373322
  (0, 6)	0.6630405218075553
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
352,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.28204945214350574
  (0, 2)	-0.12216296376394851
  (0, 3)	-0.4024812496821336
  (0, 4)	-0.5558550375312458
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.17592326964276123
  (0, 17)	4.372228959178189
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
353,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.47777514850555275
  (0, 2)	-0.4394428239354723
  (0, 3)	-0.315255617182403
  (0, 4)	-0.45575710529562985
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.7065630681710622
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
354,"  (0, 0)	1.6330679886231343
  (0, 1)	-0.49845512402812014
  (0, 2)	-0.4539796166098352
  (0, 3)	-0.4897068821818642
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.5013912054686156
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 30)	2.0987118447552677
  (0, 38)	6.70078468574501"
355,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.49361412975806457
  (0, 2)	-0.4335275864908512
  (0, 3)	0.46977507531517243
  (0, 4)	1.8464953361235361
  (0, 5)	-0.6969883422996704
  (0, 6)	0.6883822198559402
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 25)	5.412630686041086
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
356,"  (0, 0)	-0.22679080041325675
  (0, 1)	0.22722401703651743
  (0, 2)	0.5171852821295065
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.12209733117691018
  (0, 5)	0.056307001970786294
  (0, 6)	-0.9227354318262238
  (0, 15)	3.339872017081845
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
357,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.031275676995574965
  (0, 2)	0.15804586584894165
  (0, 3)	-0.05357871968321119
  (0, 4)	-0.15546330858878218
  (0, 5)	-0.30462693313909217
  (0, 6)	-0.8728199659733445
  (0, 14)	4.394704435480066
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 33)	2.46416498527817"
358,"  (0, 0)	-0.22679080041325675
  (0, 1)	-0.4589751707577642
  (0, 2)	-0.41166716650410035
  (0, 3)	-0.1844171684328071
  (0, 4)	-0.28892721823627
  (0, 5)	-0.0051983000057367924
  (0, 6)	-1.6154085118154096
  (0, 16)	3.6741717998941303
  (0, 19)	2.04362447656144
  (0, 24)	2.8738655875631265
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
359,"  (0, 0)	2.164456214062103
  (0, 1)	-0.4756601510089265
  (0, 2)	-0.4481444640792636
  (0, 3)	-0.4460940659319989
  (0, 4)	-0.7226849245906055
  (0, 5)	-0.624878677913402
  (0, 6)	-0.2999440040310689
  (0, 7)	5.735178911963309
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 40)	2.103542762656433"
360,"  (0, 0)	0.5702915377451966
  (0, 1)	-0.4566251735392906
  (0, 2)	-0.2656806528381581
  (0, 3)	0.993128870313556
  (0, 4)	0.2449284203536814
  (0, 5)	-0.0051983000057367924
  (0, 6)	0.6177326374180188
  (0, 13)	2.5714532042009255
  (0, 19)	2.04362447656144
  (0, 23)	2.558776661823559
  (0, 27)	2.000575788029838
  (0, 39)	4.472436630062954"
361,"  (0, 0)	-0.6253319694924834
  (0, 1)	-0.4778221484499222
  (0, 2)	-0.3821213563173586
  (0, 3)	0.6006135240647683
  (0, 4)	2.180155110242256
  (0, 5)	-0.0051983000057367924
  (0, 6)	-0.6428248579281548
  (0, 8)	3.128039359299917
  (0, 20)	2.0436244765614613
  (0, 26)	2.0436244765614613
  (0, 27)	2.000575788029838
  (0, 34)	7.482350085235563"
