country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
Haiti,Direct Drop,EXW,Ocean,30,96,431,4,0.15,3622,9181, Nashik,14325
Tanzania,From RDC,RDC,Air,60,5809,54895,9,0.16,3622,9181,India,5659
South Africa,Direct Drop,DDP,Ocean,240,10702,22688,2,0.01,3967,7169,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,120,11728,227054,19,0.16,2932,7936,India,9091
Zimbabwe,From RDC,RDC,Truck,60,9215,17508,1,0.03,3622,9181,India,6980
Vietnam,Direct Drop,EXW,Air,60,9600,71040,7,0.12,920,6265,India,3157
Nigeria,From RDC,RDC,Air Charter,30,14600,69350,4,0.16,1288,8736,India,7633
Côte d'Ivoire,From RDC,RDC,Truck,30,650,7150,11,0.37,61,572,India,9091
Uganda,Direct Drop,FCA,Air,60,587,4020,6,0.11,85,253,Germany,5868
South Africa,Direct Drop,DDP,Truck,90,6,283,47,0.52,3622,9181,India,8074
Mozambique,From RDC,RDC,Air,30,25003,418800,16,0.56,2177,1912,India,6624
"Congo, DRC",From RDC,RDC,Air,60,20,292,14,0.24,3622,9181, Nashik,6020
South Africa,Direct Drop,DDP,Air,200,960,1152,1,0.01,3622,9181,France,8670
Zambia,From RDC,RDC,Truck,30,28452,111247,3,0.13,3622,9181,India,6906
Tanzania,From RDC,RDC,Air,60,11352,33034,2,0.05,572,3152,India,5659
Côte d'Ivoire,From RDC,RDC,Truck,60,1821,3168,1,0.03,3622,9181,India,9091
Mozambique,From RDC,RDC,Truck,240,13994,27288,1,0.01,5269,3480,India,6624
Mozambique,From RDC,RDC,Air,240,2744,6695,2,0.01,998,2894,India,6624
Côte d'Ivoire,From RDC,RDC,Truck,30,3040,19516,6,0.21,3622,9181, Nashik,8608
Nigeria,Direct Drop,EXW,Air,60,486,2041,4,0.07,3622,9181,India,7633
South Africa,Direct Drop,DDP,Ocean,30,76097,506045,6,0.22,7105,5121,India,8074
Zimbabwe,From RDC,RDC,Truck,60,51520,119011,2,0.04,19991,9942,India,6980
Côte d'Ivoire,Direct Drop,CIP,Air,30,5320,268128,50,1.68,464,-970, Haarlem,5009
Vietnam,Direct Drop,EXW,Air,60,1176,10125,8,0.14,105,-135,India,3157
Nigeria,From RDC,RDC,Air Charter,60,61567,508543,8,0.14,3622,9181,India,7633
Uganda,From RDC,RDC,Air,60,70,238,3,0.06,3622,9181,India,5524
Côte d'Ivoire,From RDC,RDC,Air,60,8824,77298,8,0.15,706,2144, Nashik,8608
Vietnam,Direct Drop,FCA,Air,120,1480,121656,82,0.68,370,1652,Germany,9157
Haiti,From RDC,RDC,Air,240,4000,5720,1,0.01,2769,28216,India,14446
Uganda,Direct Drop,EXW,Air,30,20617,70097,3,0.11,1770,6651,India,5524
South Africa,Direct Drop,DDP,Truck,60,24,94,3,0.07,3622,9181,France,8670
Vietnam,Direct Drop,EXW,Air,60,13000,29900,2,0.04,3622,9181,India,3157
Nigeria,From RDC,RDC,Air Charter,240,36,69,1,0.01,3622,9181,India,7633
Vietnam,Direct Drop,EXW,Air,30,5040,51609,10,0.34,3622,9181, Nashik,3641
Zimbabwe,From RDC,RDC,Truck,60,60794,147121,2,0.04,6003,6423, Nashik,6420
Zambia,From RDC,RDC,Air,60,2306,18793,8,0.14,132,659,India,6906
Uganda,Direct Drop,EXW,Air,120,112,10080,90,0.75,16,0, Port Elizabeth,3989
Côte d'Ivoire,From RDC,RDC,Truck,120,1784,37464,21,0.18,475,2332, Nashik,8608
South Africa,Direct Drop,DDP,Truck,60,20,1599,79,1.33,3622,9181, Haarlem,9211
Zambia,From RDC,RDC,Truck,120,35822,677035,18,0.16,3622,9181,Germany,7464
Côte d'Ivoire,From RDC,RDC,Air,240,6000,11820,1,0.01,3622,9181,India,9091
South Africa,Direct Drop,DDP,Truck,60,100,517,5,0.09,3622,9181,France,8670
Tanzania,From RDC,RDC,Truck,240,1977,31928,16,0.07,3622,9181,India,5659
Zambia,From RDC,RDC,Truck,30,11729,50669,4,0.14,3622,9181,India,6906
Nigeria,From RDC,RDC,Air Charter,60,50000,122000,2,0.04,2390,9181,India,7633
Uganda,From RDC,RDC,Air,30,4000,47000,11,0.39,365,5068, Nashik,4961
Nigeria,From RDC,RDC,Air Charter,60,70000,272300,3,0.06,3922,25340, Nashik,7134
Zimbabwe,From RDC,RDC,Truck,60,55800,140058,2,0.04,5598,10154, Nashik,6420
Haiti,Direct Drop,EXW,Air,30,28080,89575,3,0.11,1772,10656,India,14446
Zimbabwe,From RDC,RDC,Truck,30,17422,66377,3,0.13,3622,9181,India,6980
Tanzania,From RDC,RDC,Air,60,122590,1158475,9,0.16,3622,9181,India,5659
Nigeria,From RDC,RDC,Air Charter,30,128500,1233600,9,0.32,3622,9181, Nashik,7134
Haiti,From RDC,RDC,Air,60,106,151,1,0.02,3622,9181,India,14446
South Africa,Direct Drop,DDP,Ocean,30,108211,488031,4,0.15,3622,9181,India,8074
Uganda,From RDC,RDC,Truck,60,105000,1178100,11,0.19,3622,9181, Nashik,4961
Nigeria,From RDC,RDC,Air Charter,60,15653,129293,8,0.14,3622,9181,India,7633
South Africa,Direct Drop,DDP,Air,200,1500,3150,2,0.01,3622,9181,India,8074
Vietnam,Direct Drop,EXW,Air,30,84,1092,13,0.43,6,-637,India,3157
Haiti,From RDC,RDC,Air,240,160,2640,16,0.07,3622,9181,India,14446
Rwanda,From RDC,RDC,Truck,90,868,8072,9,0.1,173,1124,India,5921
Côte d'Ivoire,From RDC,RDC,Air,30,3444,7714,2,0.07,200,211,India,9091
Nigeria,From RDC,RDC,Air Charter,60,249974,2144776,8,0.14,3622,9181,India,7633
South Africa,Direct Drop,DDP,Truck,60,36,254,7,0.12,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,60,94848,1064194,11,0.19,3622,9181, Nashik,7134
Nigeria,From RDC,RDC,Air Charter,60,5500,13420,2,0.04,836,8341, Nashik,7134
Vietnam,Direct Drop,EXW,Air,60,336,2520,7,0.12,18,1525, Nashik,3641
Nigeria,From RDC,RDC,Air Charter,60,51355,125819,2,0.04,6436,24231,India,7633
Haiti,From RDC,RDC,Air,90,630,6104,9,0.11,3622,9181,India,14446
"Congo, DRC",From RDC,RDC,Air,60,67,553,8,0.14,3622,9181,India,6583
Haiti,Direct Drop,FCA,Air,60,300,2850,9,0.16,3622,9181,France,7294
Côte d'Ivoire,From RDC,RDC,Truck,240,2000,4200,2,0.01,3622,9181,India,9091
Mozambique,From RDC,RDC,Truck,60,2551,28622,11,0.19,3622,9181,India,6624
South Africa,Direct Drop,DDP,Truck,120,344,7955,23,0.19,3622,9181,Germany,8973
Côte d'Ivoire,Direct Drop,CIP,Air,60,2000,19000,9,0.16,391,-170,France,4338
Uganda,From RDC,RDC,Air,240,6036,12675,2,0.01,2253,14923,India,5524
South Africa,Direct Drop,DDP,Truck,60,52,343,6,0.11,3622,9181,India,8074
South Africa,Direct Drop,DDP,Ocean,60,92887,678075,7,0.12,4810,5599,India,8074
Tanzania,From RDC,RDC,Truck,30,23940,214741,8,0.3,3622,9181,India,5659
Vietnam,Direct Drop,FCA,Air,30,373,8675,23,0.78,55,-983,Germany,9157
Nigeria,From RDC,RDC,Air,60,7436,100386,13,0.22,962,4180,India,7633
Uganda,Direct Drop,CIP,Air,30,50,1183,23,0.79,2,-670,France,5796
Tanzania,From RDC,RDC,Air,30,44669,198777,4,0.15,3622,9181, Nashik,5091
Côte d'Ivoire,From RDC,RDC,Air,240,3846,7499,1,0.01,3622,9181,India,9091
Haiti,From RDC,RDC,Air,60,336,504,1,0.02,3622,9181,India,14446
Uganda,From RDC,RDC,Truck,60,9000,100980,11,0.19,1055,1961,India,5524
Vietnam,Direct Drop,EXW,Air,60,1100,12540,11,0.19,159,1568,India,3157
Nigeria,From RDC,RDC,Air Charter,30,3000,19710,6,0.22,2252,42548,India,7633
Tanzania,From RDC,RDC,Truck,30,66931,475879,7,0.24,3622,9181, Nashik,5091
Vietnam,Direct Drop,FCA,Air,30,400,9304,23,0.78,52,-621,Germany,9157
Vietnam,Direct Drop,EXW,Air,60,12000,87000,7,0.12,664,5247, Nashik,3641
Nigeria,From RDC,RDC,Air,60,6000,14640,2,0.04,285,9181,India,7633
South Africa,Direct Drop,DDP,Ocean,240,20000,185600,9,0.04,7670,6175,Canada,15035
South Africa,Direct Drop,DDP,Air,60,33338,84345,2,0.04,1791,791,India,8074
Vietnam,Direct Drop,EXW,Air,240,500,950,1,0.01,3622,9181,India,3157
South Africa,Direct Drop,DDP,Truck,60,123,867,7,0.12,3622,9181,India,8074
Vietnam,Direct Drop,EXW,Air,60,24480,58752,2,0.04,3536,19910,India,3157
Nigeria,From RDC,RDC,Air,60,80,700,8,0.15,7,9181, Nashik,7134
Côte d'Ivoire,Direct Drop,CIP,Air,60,386,3667,9,0.16,78,-430,France,4338
Nigeria,From RDC,RDC,Air,60,23856,208978,8,0.15,1918,9181, Nashik,7134
Mozambique,From RDC,RDC,Truck,60,33650,187767,5,0.09,6904,4816,India,6624
Haiti,Direct Drop,EXW,Air,240,450,3073,6,0.03,180,773,India,14446
Rwanda,From RDC,RDC,Air,60,2196,8235,3,0.06,98,-7,India,5921
Tanzania,Direct Drop,CIP,Air,30,6900,163323,23,0.79,3622,9181,France,6771
South Africa,Direct Drop,DDP,Truck,30,6,71,11,0.39,3622,9181,India,8074
"Congo, DRC",From RDC,RDC,Air,60,800,1592,1,0.03,3622,9181,India,6583
Haiti,Direct Drop,FCA,Air,60,216,1596,7,0.12,24,3059,Germany,7877
South Africa,Direct Drop,DDP,Truck,60,2000,14160,7,0.12,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,60,97000,786670,8,0.14,12823,27812, Nashik,7134
Rwanda,Direct Drop,EXW,Air,30,1467,29340,20,0.67,114,3822,India,5921
South Africa,Direct Drop,DDP,Truck,240,1,19,19,0.08,3622,9181,Canada,15035
Côte d'Ivoire,From RDC,RDC,Air,60,3145,9560,3,0.05,206,1731,India,9091
Côte d'Ivoire,Direct Drop,CIP,Air,60,1161,6548,5,0.09,3622,9181,France,4338
Nigeria,From RDC,RDC,Air,30,48,816,17,0.57,4,-787, Port Elizabeth,5168
Haiti,From RDC,RDC,Air,60,32160,305520,9,0.16,3622,9181,India,14446
Côte d'Ivoire,From RDC,RDC,Air,180,1550,77500,50,0.28,345,888, Haarlem,5009
South Africa,Direct Drop,DDP,Air,240,150,1407,9,0.04,3622,9181,India,8074
Côte d'Ivoire,Direct Drop,CIP,Air,180,2737,46419,16,0.09,805,659, Haarlem,5009
Rwanda,Direct Drop,EXW,Air,240,6821,10299,1,0.01,2686,9181,India,5921
Haiti,Direct Drop,EXW,Ocean,100,1200,5520,4,0.05,6433,6727,India,14446
Nigeria,From RDC,RDC,Air Charter,60,85919,709690,8,0.14,8754,14322,India,7633
South Africa,Direct Drop,DDP,Truck,90,16,272,17,0.19,3622,9181,India,8074
Uganda,From RDC,RDC,Air,60,1000,1520,1,0.03,3622,9181,India,5524
Haiti,Direct Drop,CIP,Air,60,40,380,9,0.16,3622,9181,France,7294
South Africa,Direct Drop,DDP,Truck,240,258,5919,22,0.1,3622,9181,India,8074
Uganda,From RDC,RDC,Air,60,7875,17797,2,0.04,3622,9181,India,5524
Mozambique,From RDC,RDC,Truck,60,10000,113600,11,0.19,3118,3768, Nashik,6074
South Africa,Direct Drop,DDP,Truck,90,6,58,9,0.11,3622,9181,France,8670
Zambia,Direct Drop,EXW,Air,60,10000,19900,1,0.03,849,3316,India,6906
South Africa,Direct Drop,DDP,Truck,240,1000,6410,6,0.03,3622,9181,Canada,15035
South Africa,Direct Drop,DDP,Ocean,30,119251,508009,4,0.14,9461,6292,India,8074
Uganda,From RDC,RDC,Air,30,2000,20000,10,0.33,168,905, Nashik,4961
Vietnam,Direct Drop,EXW,Air,60,19740,169961,8,0.14,3622,9181,India,3157
Uganda,From RDC,RDC,Truck,30,3900,23712,6,0.2,3622,9181, Nashik,4961
Uganda,From RDC,RDC,Air,120,80,3288,41,0.34,19,381,Germany,5868
Uganda,From RDC,RDC,Truck,60,11106,45423,4,0.07,3622,9181, Nashik,4961
"Congo, DRC",From RDC,RDC,Air,60,20,165,8,0.14,3622,9181,India,6583
Haiti,From RDC,RDC,Air,60,1000,1500,1,0.02,10435,120330,India,14446
South Africa,Direct Drop,DDP,Air,90,824,15515,18,0.21,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,30,12240,58140,4,0.16,1082,8736,India,7633
South Africa,Direct Drop,DDP,Truck,60,920,25777,28,0.47,3622,9181,India,8074
Zambia,From RDC,RDC,Truck,60,3355,19224,5,0.1,3622,9181,India,6906
Nigeria,Direct Drop,EXW,Air,1000,7,184,26,0.03,488,3404,India,7633
Rwanda,Direct Drop,EXW,Air,30,3912,88020,22,0.75,1320,14022,India,5921
Zimbabwe,From RDC,RDC,Truck,30,20160,244137,12,0.4,3622,9181, Nashik,6420
Mozambique,From RDC,RDC,Air,180,840,42000,50,0.28,3622,9181, Haarlem,8465
South Africa,Direct Drop,DDP,Truck,30,5,76,15,0.51,3622,9181,India,8074
Zambia,Direct Drop,EXW,Air,60,39132,88047,2,0.04,3978,19519,India,6906
Haiti,Direct Drop,EXW,Ocean,240,1650,2359,1,0.01,3622,9181,India,14446
Côte d'Ivoire,From RDC,RDC,Truck,60,5701,23659,4,0.07,335,1527, Nashik,8608
"Congo, DRC",From RDC,RDC,Air,60,45,371,8,0.14,3622,9181,India,6583
Vietnam,Direct Drop,EXW,Air,60,9576,24897,2,0.04,889,6884, Nashik,3641
Uganda,From RDC,RDC,Truck,60,117367,1316857,11,0.19,17496,103604,India,5524
Uganda,From RDC,RDC,Truck,60,2880,33004,11,0.19,3622,9181,India,5524
"Congo, DRC",Direct Drop,EXW,Air,1000,720,16164,22,0.02,578,2089,China,9399
Nigeria,From RDC,RDC,Air Charter,90,200,2424,12,0.13,3622,9181,India,7633
South Africa,Direct Drop,DDP,Truck,240,40,540,13,0.06,3622,9181,Germany,8973
Rwanda,From RDC,RDC,Air,30,2034,33561,16,0.55,768,3465,India,5921
Vietnam,Direct Drop,CIP,Air,60,400,2800,7,0.12,81,1035,France,9916
Côte d'Ivoire,From RDC,RDC,Air,90,2440,23692,9,0.11,2325,16941,India,9091
Vietnam,Direct Drop,EXW,Air,30,22500,277425,12,0.41,1955,15095,India,3157
"Congo, DRC",From RDC,RDC,Air,60,10916,71390,6,0.11,652,7242,India,6583
Mozambique,From RDC,RDC,Truck,60,8670,29478,3,0.06,3622,9181,India,6624
Vietnam,Direct Drop,EXW,Air,60,7800,22620,2,0.05,3622,9181,India,3157
Tanzania,From RDC,RDC,Truck,60,34374,73904,2,0.04,2346,462,India,5659
Mozambique,From RDC,RDC,Truck,60,125010,900072,7,0.12,3918,12,India,6624
Mozambique,From RDC,RDC,Truck,30,247500,2668050,10,0.36,3622,9181, Nashik,6074
Côte d'Ivoire,From RDC,RDC,Air,60,864,1296,1,0.02,56,2688,India,9091
Haiti,From RDC,RDC,Air,240,3648,7368,2,0.01,2571,25830,India,14446
Zimbabwe,From RDC,RDC,Truck,60,71030,333841,4,0.08,6990,4530,India,6980
Tanzania,Direct Drop,EXW,Air,60,28800,74880,2,0.04,3396,15416,India,5659
"Congo, DRC",Direct Drop,EXW,Air,30,492,615,1,0.04,27,-62,India,6583
Tanzania,Direct Drop,FCA,Air,60,1764,10478,5,0.1,209,1177,Germany,6837
Tanzania,From RDC,RDC,Truck,90,5687,52889,9,0.1,3622,9181,India,5659
South Africa,Direct Drop,DDP,Truck,30,114,2179,19,0.64,3622,9181, Nashik,7527
Uganda,From RDC,RDC,Air,60,1061,3607,3,0.06,106,54,India,5524
Nigeria,From RDC,RDC,Air Charter,60,3994,45531,11,0.19,452,6329,India,7633
Nigeria,From RDC,RDC,Air Charter,30,3000,16500,5,0.18,188,24231, Nashik,7134
Côte d'Ivoire,Direct Drop,EXW,Air,30,2500,50000,20,0.67,343,2978, Nashik,8608
Uganda,Direct Drop,CIP,Air,120,287,19114,66,0.55,3622,9181, Port Elizabeth,3989
Tanzania,From RDC,RDC,Truck,60,87768,298411,3,0.06,3622,9181,India,5659
Uganda,From RDC,RDC,Air,60,60,89,1,0.02,4,-474,India,5524
Rwanda,From RDC,RDC,Truck,60,89520,768081,8,0.14,10238,12380,India,5921
South Africa,Direct Drop,DDP,Truck,60,45,2752,61,1.02,3622,9181, Haarlem,9211
South Africa,Direct Drop,DDP,Truck,30,3,45,15,0.51,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,90,51,1217,23,0.27,3622,9181,India,8074
Vietnam,Direct Drop,CIP,Air,60,120,840,7,0.12,3622,9181,France,9916
Vietnam,Direct Drop,EXW,Air,30,15881,52407,3,0.11,3622,9181,India,3157
Tanzania,From RDC,RDC,Air,60,40000,296000,7,0.12,4289,23594,India,5659
South Africa,Direct Drop,DDP,Truck,60,3,54,18,0.3,3622,9181,India,8074
Zambia,From RDC,RDC,Truck,60,21621,50376,2,0.04,3622,9181,India,6906
Côte d'Ivoire,Direct Drop,FCA,Air,60,3450,23632,6,0.11,440,3588,Germany,5008
Uganda,From RDC,RDC,Air,30,2700,10287,3,0.13,234,1154,India,5524
Mozambique,From RDC,RDC,Truck,60,17520,171871,9,0.16,9370,2855, Nashik,6074
"Congo, DRC",From RDC,RDC,Air,60,254,2794,11,0.18,3622,9181, Nashik,6020
Nigeria,From RDC,RDC,Air Charter,60,13104,35773,2,0.05,1448,5147,India,7633
Uganda,From RDC,RDC,Truck,60,832,2995,3,0.06,3622,9181,India,5524
Zimbabwe,From RDC,RDC,Truck,60,36639,72911,1,0.03,3622,9181,India,6980
Côte d'Ivoire,From RDC,RDC,Truck,30,29804,95670,3,0.11,1766,6481,India,9091
Nigeria,From RDC,RDC,Air,30,139,3648,26,0.88,192,12538, Port Elizabeth,5168
Uganda,From RDC,RDC,Air,30,2797,32864,11,0.39,210,4841, Nashik,4961
South Africa,Direct Drop,DDP,Truck,30,8,134,16,0.56,3622,9181,India,8074
Uganda,From RDC,RDC,Truck,60,20833,233746,11,0.19,2757,17317, Nashik,4961
Haiti,From RDC,RDC,Air,60,29220,225578,7,0.13,3809,38513, Nashik,14325
Vietnam,Direct Drop,FCA,Air,120,1000,82190,82,0.68,226,4294,Germany,9157
Zimbabwe,From RDC,RDC,Truck,30,1900,9747,5,0.17,3622,9181,India,6980
Uganda,From RDC,RDC,Truck,120,3426,69273,20,0.17,698,1676,Germany,5868
Nigeria,From RDC,RDC,Air,60,155,1357,8,0.15,13,9181, Nashik,7134
Zimbabwe,From RDC,RDC,Truck,60,30000,67800,2,0.04,3622,9181,India,6980
South Africa,Direct Drop,DDP,Truck,60,265,4896,18,0.31,3622,9181,India,8074
Côte d'Ivoire,From RDC,RDC,Truck,60,26444,86736,3,0.05,3622,9181, Nashik,8608
South Africa,Direct Drop,DDP,Truck,60,32,790,24,0.41,3622,9181,India,8074
Vietnam,Direct Drop,FCA,Air,120,5530,454566,82,0.68,1348,9670,Germany,9157
South Africa,Direct Drop,DDP,Truck,60,120,2428,20,0.34,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,30,300,1046,3,0.12,3622,9181,India,8074
Mozambique,From RDC,RDC,Truck,30,3040,25931,8,0.28,163,236, Nashik,6074
Côte d'Ivoire,Direct Drop,EXW,Air,30,1270,28575,22,0.75,3622,9181, Nashik,8608
Haiti,From RDC,RDC,Air,30,18760,225307,12,0.4,3622,9181, Nashik,14325
Côte d'Ivoire,From RDC,RDC,Air,30,3120,81900,26,0.88,275,949, Port Elizabeth,5690
South Africa,Direct Drop,DDP,Truck,30,387,1089,2,0.09,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,60,50,3857,77,1.29,3622,9181,India,8074
Vietnam,Direct Drop,FCA,Air,120,4165,342363,82,0.68,1010,4417,Germany,9157
Nigeria,From RDC,RDC,Air Charter,60,10076,75872,7,0.13,553,8736,India,7633
Côte d'Ivoire,Direct Drop,CIP,Air,180,4200,71232,16,0.09,1234,1786, Haarlem,5009
South Africa,Direct Drop,DDP,Truck,60,10,249,24,0.42,3622,9181,India,8074
Rwanda,Direct Drop,EXW,Air,30,1609,27353,17,0.57,157,6922, Port Elizabeth,3572
Tanzania,From RDC,RDC,Air,60,52770,407384,7,0.13,16510,81283, Nashik,5091
Uganda,Direct Drop,EXW,Air,60,15021,60084,4,0.07,1411,12983,India,5524
Côte d'Ivoire,From RDC,RDC,Air,60,6016,93248,15,0.26,3622,9181,India,9091
Uganda,From RDC,RDC,Truck,60,12762,140382,11,0.18,3622,9181, Nashik,4961
Rwanda,Direct Drop,CIP,Air,30,5244,91665,17,0.58,3622,9181, Nashik,5355
Zimbabwe,From RDC,RDC,Truck,60,8694,64335,7,0.12,819,2135,India,6980
Nigeria,From RDC,RDC,Air Charter,30,30000,597600,19,0.66,3289,8736, Nashik,7134
Haiti,Direct Drop,CIP,Air,60,161,8935,55,0.92,3622,9181, Haarlem,7467
Nigeria,From RDC,RDC,Air,60,53922,130491,2,0.04,9697,17461,India,7633
Haiti,From RDC,RDC,Air,60,600,9864,16,0.27,3622,9181,India,14446
Zambia,From RDC,RDC,Air,30,25338,314697,12,0.41,1974,6836, Nashik,6339
Uganda,Direct Drop,FCA,Air,60,625,4281,6,0.11,86,-914,Germany,5868
Nigeria,From RDC,RDC,Air,90,2150,20876,9,0.11,3622,9181,India,7633
"Congo, DRC",From RDC,RDC,Air,60,2651,14421,5,0.09,155,2028,India,6583
Nigeria,From RDC,RDC,Air,60,614,2032,3,0.06,3622,9181,India,7633
Zimbabwe,From RDC,RDC,Truck,30,78082,474738,6,0.2,3622,9181, Nashik,6420
South Africa,Direct Drop,DDP,Truck,60,770,20108,26,0.44,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,30,3,65,21,0.73,3622,9181,India,8074
Uganda,From RDC,RDC,Air,30,14704,178065,12,0.4,3622,9181, Nashik,4961
Haiti,Direct Drop,EXW,Air,60,3024,11944,3,0.07,140,694, Nashik,14325
"Congo, DRC",From RDC,RDC,Air,60,89,979,11,0.18,3622,9181, Nashik,6020
Mozambique,From RDC,RDC,Air,30,12663,157274,12,0.41,3622,9181,India,6624
Vietnam,Direct Drop,EXW,Air,30,1240,2504,2,0.07,71,-10,India,3157
Mozambique,From RDC,RDC,Air,60,1939,4731,2,0.04,3622,9181,India,6624
Tanzania,From RDC,RDC,Truck,60,7894,33944,4,0.07,3622,9181,India,5659
Zimbabwe,From RDC,RDC,Air,60,2508,18559,7,0.12,4303,11894,India,6980
South Africa,Direct Drop,DDP,Truck,60,88,4713,53,0.89,3622,9181,India,8074
Rwanda,Direct Drop,EXW,Air,60,26441,59492,2,0.04,2520,24593,India,5921
Uganda,Direct Drop,CIP,Air,60,390,21645,55,0.92,39,-567, Haarlem,6190
Zimbabwe,From RDC,RDC,Truck,30,17556,106740,6,0.2,1373,3777, Nashik,6420
Tanzania,Direct Drop,FCA,Air,120,12560,516216,41,0.34,3073,11815,Germany,6837
Haiti,From RDC,RDC,Air,60,75,1162,15,0.26,3622,9181,India,14446
Nigeria,From RDC,RDC,Air Charter,60,763,3509,4,0.08,56,19666,India,7633
Vietnam,Direct Drop,EXW,Air,60,11004,94084,8,0.14,1073,8535,India,3157
Mozambique,From RDC,RDC,Truck,60,39997,290778,7,0.12,3622,9181, Nashik,6074
Rwanda,Direct Drop,EXW,Air,60,57364,129069,2,0.04,5468,47501,India,5921
Nigeria,From RDC,RDC,Air Charter,30,2561,67226,26,0.88,235,14128, Port Elizabeth,5168
Zimbabwe,From RDC,RDC,Truck,60,4800,34896,7,0.12,3622,9181,India,6980
Zimbabwe,From RDC,RDC,Truck,60,1006,7766,7,0.13,3622,9181, Nashik,6420
Vietnam,Direct Drop,EXW,Air,60,331,4220,12,0.21,2951,6211, Nashik,3641
Zambia,From RDC,RDC,Air,30,17706,464782,26,0.88,1594,5035, Port Elizabeth,2162
Haiti,From RDC,RDC,Air,60,53200,141512,2,0.04,3622,9181,India,14446
Nigeria,From RDC,RDC,Air Charter,60,4300,10019,2,0.04,220,17495,India,7633
South Africa,Direct Drop,DDP,Ocean,30,97753,238517,2,0.08,5778,13558,India,8074
South Africa,Direct Drop,DDP,Truck,60,70,3749,53,0.89,3622,9181,India,8074
Haiti,From RDC,RDC,Air,240,1716,3346,1,0.01,3622,9181,India,14446
Zimbabwe,From RDC,RDC,Truck,30,94661,908745,9,0.32,3622,9181, Nashik,6420
Zambia,From RDC,RDC,Truck,30,4000,24880,6,0.21,1900,3997,India,6906
Vietnam,Direct Drop,EXW,Air,30,3528,27342,7,0.26,395,2538,India,3157
Haiti,Direct Drop,EXW,Air,120,740,27750,37,0.31,183,1418,India,14446
Rwanda,From RDC,RDC,Air,60,2274,8527,3,0.06,100,511,India,5921
"Congo, DRC",From RDC,RDC,Air,60,24391,218787,8,0.15,3622,9181,India,6583
Zambia,From RDC,RDC,Truck,60,323,3627,11,0.19,35,-958,India,6906
Zimbabwe,From RDC,RDC,Truck,120,8599,187286,21,0.18,2293,3529, Nashik,6420
South Africa,Direct Drop,DDP,Truck,30,8,136,17,0.57,3622,9181,India,8074
Rwanda,From RDC,RDC,Truck,30,294399,2826230,9,0.32,33500,9181, Nashik,5355
Zimbabwe,From RDC,RDC,Truck,60,2786,9138,3,0.05,213,2403,India,6980
Zambia,From RDC,RDC,Truck,30,6714,38806,5,0.19,574,4837,India,6906
Nigeria,From RDC,RDC,Air Charter,60,38705,160625,4,0.07,2352,9181, Nashik,7134
Mozambique,From RDC,RDC,Truck,60,120000,1029600,8,0.14,36920,28935,India,6624
Uganda,From RDC,RDC,Truck,120,5000,148400,29,0.25,3622,9181, Nashik,4961
Côte d'Ivoire,From RDC,RDC,Air,60,45024,384955,8,0.14,3622,9181, Nashik,8608
Rwanda,Direct Drop,FCA,Air,60,1305,10061,7,0.13,150,1682,Germany,6174
Tanzania,Direct Drop,EXW,Air,60,36451,297075,8,0.14,4611,19618,India,5659
Nigeria,From RDC,RDC,Air Charter,60,47150,128719,2,0.05,5357,5147,India,7633
Uganda,From RDC,RDC,Air,60,204,669,3,0.05,3622,9181,India,5524
South Africa,Direct Drop,DDP,Truck,30,2,30,15,0.51,3622,9181,India,8074
South Africa,Direct Drop,DDP,Truck,240,13,103,8,0.03,3622,9181,India,8074
Nigeria,From RDC,RDC,Air Charter,60,32040,359488,11,0.19,4212,5147,India,7633
Tanzania,From RDC,RDC,Truck,60,18317,71253,3,0.06,581,5311, Nashik,5091
Rwanda,Direct Drop,EXW,Ocean,30,117359,997551,8,0.28,10329,31530, Nashik,5355
Tanzania,Direct Drop,EXW,Air,60,36000,129600,3,0.06,2205,8815, Nashik,5091
Côte d'Ivoire,From RDC,RDC,Truck,200,2449,3306,1,0.01,3622,9181,India,9091
Nigeria,From RDC,RDC,Air,60,15650,112836,7,0.12,16417,19264,India,7633
South Africa,Direct Drop,DDP,Truck,240,200,1410,7,0.03,3622,9181,India,8074
Nigeria,From RDC,RDC,Air,60,35199,96093,2,0.05,2411,9181,India,7633
Uganda,From RDC,RDC,Air,120,180,7398,41,0.34,3622,9181,Germany,5868
Rwanda,From RDC,RDC,Air,30,385,1366,3,0.12,25,-851, Nashik,5355
Côte d'Ivoire,From RDC,RDC,Truck,30,30196,96929,3,0.11,3591,4153,India,9091
Rwanda,Direct Drop,CIP,Air,30,54684,327557,5,0.2,3889,30784,India,5921
Côte d'Ivoire,From RDC,RDC,Air,200,2326,3535,1,0.01,232,704,India,9091
Vietnam,Direct Drop,EXW,Air,60,38640,92736,2,0.04,2719,17614,India,3157
South Africa,Direct Drop,DDP,Truck,240,16,392,24,0.1,3622,9181,India,8074
