,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance
1992,Vietnam,Direct Drop,EXW,Air,30,23389,268739.61,11.49,0,Mylan (formerly Matrix) Nashik,2741,4802.92, Nashik,3641
1993,Vietnam,Direct Drop,EXW,Air,30,252,3276.0,13.0,0,"Aurobindo Unit III, India",1553,13320.8,India,3157
1994,South Africa,Direct Drop,DDP,Truck,120,12,424.25,35.35,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
1995,Vietnam,Direct Drop,EXW,Air,60,15040,86329.6,5.74,0,"Cipla, Goa, India",1481,6390.83,India,3157
1996,Uganda,Direct Drop,FCA,Air,60,417,2856.45,6.85,0,ABBVIE Ludwigshafen Germany,65,887.67,Germany,5868
1997,South Africa,Direct Drop,DDP,Truck,30,20,434.11,21.71,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
1998,South Africa,Direct Drop,DDP,Ocean,60,50000,421000.0,8.42,0,"Aurobindo Unit III, India",4603,8033.13,India,8074
1999,Tanzania,Direct Drop,EXW,Air,90,9959,92618.7,9.3,0,"Strides, Bangalore, India.",630,3416.2,India,5659
2000,Vietnam,Direct Drop,EXW,Air,60,12000,87000.0,7.25,0,Mylan (formerly Matrix) Nashik,664,6247.82, Nashik,3641
2001,South Africa,Direct Drop,DDP,Truck,60,3,38.47,12.82,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2002,Haiti,Direct Drop,EXW,Ocean,60,14520,99026.4,6.82,0,"Aurobindo Unit III, India",See ASN-19819 (ID#:13739),See ASN-19819 (ID#:13739),India,14446
2003,South Africa,Direct Drop,DDP,Truck,30,4292,17235.27,4.02,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2004,Uganda,Direct Drop,EXW,Air,30,50000,162000.0,3.24,0,"Cipla, Goa, India",5593,19759.68,India,5524
2005,Vietnam,Direct Drop,FCA,Air,120,5188,315534.16,60.82,0,ABBVIE Ludwigshafen Germany,1138,3622.58,Germany,9157
2006,Mozambique,Direct Drop,FCA,Air,60,2464,16878.4,6.85,0,ABBVIE Ludwigshafen Germany,361,3669.84,Germany,8163
2007,South Africa,Direct Drop,DDP,Ocean,30,63967,289770.51,4.53,0,"Aurobindo Unit III, India",5491,15331.49,India,8074
2008,Haiti,Direct Drop,EXW,Ocean,30,46500,499410.0,10.74,0,Mylan (formerly Matrix) Nashik,5342,9195.61, Nashik,14325
2009,South Africa,Direct Drop,DDP,Truck,30,15,45.09,3.01,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2010,Vietnam,Direct Drop,EXW,Air,60,1008,8678.88,8.61,0,"Aurobindo Unit III, India",1015,3796.95,India,3157
2011,Vietnam,Direct Drop,EXW,Air,30,21000,62580.0,2.98,0,"Micro labs, Verna, Goa, India",3244,6195.84,India,3157
2012,South Africa,Direct Drop,DDP,Truck,60,18,405.71,22.54,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2013,"Congo, DRC",Direct Drop,EXW,Air,60,150,322.5,2.15,0,"Cipla, Goa, India",25,1765.03,India,6583
2014,South Africa,Direct Drop,DDP,Ocean,60,100000,282000.0,2.82,0,"Strides, Bangalore, India.",6297,7526.14,India,8074
2015,South Africa,Direct Drop,DDP,Truck,240,17,91.92,5.41,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2016,South Africa,Direct Drop,DDP,Ocean,30,108129,489824.37,4.53,0,"Aurobindo Unit III, India",9280,15331.51,India,8074
2017,Vietnam,Direct Drop,EXW,Air,30,23251,278779.49,11.99,0,Mylan (formerly Matrix) Nashik,2641,4503.42, Nashik,3641
2018,Haiti,Direct Drop,CIP,Air,120,22,1465.2,66.6,0,"Janssen Ortho LLC, Puerto Rico",Weight Captured Separately,Freight Included in Commodity Cost,Puerto Rico,627
2019,South Africa,Direct Drop,DDP,Truck,30,112,2141.49,19.12,0,Mylan (formerly Matrix) Nashik,Weight Captured Separately,Freight Included in Commodity Cost, Nashik,7527
2020,South Africa,Direct Drop,DDP,Ocean,90,22643,225977.14,9.98,0,"Aurobindo Unit III, India",3000,4573.21,India,8074
2021,Nigeria,Direct Drop,EXW,Air,60,2221,13192.74,5.94,0,ABBVIE Ludwigshafen Germany,252,2969.34,Germany,4614
2022,South Africa,Direct Drop,DDP,Ocean,30,64316,290065.16,4.51,0,"Aurobindo Unit III, India",5467,9323.3,India,8074
2023,Haiti,Direct Drop,FCA,Air,60,2697,16020.18,5.94,0,ABBVIE Ludwigshafen Germany,1825,4126.9,Germany,7877
2024,South Africa,Direct Drop,DDP,Truck,240,13,103.95,8.0,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2025,Vietnam,Direct Drop,EXW,Air,60,19600,120540.0,6.15,0,"Cipla, Goa, India",1926,12423.96,India,3157
2026,Côte d'Ivoire,Direct Drop,FCA,Ocean,120,9800,302036.0,30.82,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Invoiced Separately,Germany,5008
2027,"Congo, DRC",Direct Drop,EXW,Air,60,980,7947.8,8.11,0,"Strides, Bangalore, India.",116,2322.08,India,6583
2028,South Africa,Direct Drop,DDP,Ocean,30,128620,547921.2,4.26,0,"Aurobindo Unit III, India",10643,7292.26,India,8074
2029,Rwanda,Direct Drop,EXW,Air,30,150,3000.0,20.0,0,"Aurobindo Unit III, India",197,5906.43,India,5921
2030,Haiti,Direct Drop,EXW,Air,60,19835,160663.5,8.1,0,"Cipla, Goa, India",2866,17036.99,India,14446
2031,Uganda,Direct Drop,DDP,Air,120,259,24123.26,93.14,0,"Aspen-OSD, Port Elizabeth, SA",43,466, Port Elizabeth,3989
2032,Vietnam,Direct Drop,EXW,Air,30,30912,200928.0,6.5,0,Mylan (formerly Matrix) Nashik,2405,11448.01, Nashik,3641
2033,"Congo, DRC",Direct Drop,EXW,Air,30,1100,12100.0,11.0,0,"Aurobindo Unit III, India",95,2453.16,India,6583
2034,South Africa,Direct Drop,DDP,Ocean,60,1033,7571.89,7.33,0,"Aurobindo Unit III, India",52,4295.61,India,8074
2035,Haiti,Direct Drop,EXW,Air,30,252,2142.0,8.5,0,"Aurobindo Unit III, India",16,1471.46,India,14446
2036,Vietnam,Direct Drop,FCA,Air,30,400,9304.0,23.26,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Invoiced Separately,Germany,9157
2037,South Africa,Direct Drop,DDP,Air,60,294346,756469.22,2.57,0,"Strides, Bangalore, India.",14550,20706.21,India,8074
2038,Vietnam,Direct Drop,FCA,Air,30,200,4652.0,23.26,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Invoiced Separately,Germany,9157
2039,Rwanda,Direct Drop,EXW,Ocean,60,37350,438862.5,11.75,0,Mylan (formerly Matrix) Nashik,3860,59186.46, Nashik,5355
2040,South Africa,Direct Drop,DDP,Truck,120,27,742.84,27.51,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2041,Côte d'Ivoire,Direct Drop,FCA,Air,60,760,5206.0,6.85,0,ABBVIE Ludwigshafen Germany,99,1462.71,Germany,5008
2042,Tanzania,Direct Drop,EXW,Air,60,16245,131584.5,8.1,0,"Cipla, Goa, India",2368,11363.07,India,5659
2043,South Africa,Direct Drop,DDP,Truck,60,1,65.75,65.75,1,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,9211
2044,South Africa,Direct Drop,DDP,Truck,30,36,534.69,14.85,0,Mylan (formerly Matrix) Nashik,Weight Captured Separately,Freight Included in Commodity Cost, Nashik,7527
2045,Haiti,Direct Drop,EXW,Ocean,60,75816,492045.84,6.49,0,Mylan (formerly Matrix) Nashik,6452,10477.63, Nashik,14325
2046,Haiti,Direct Drop,FCA,Air,60,160,1120.0,7.0,0,"BMS Meymac, France",43,1082.89,France,7294
2047,Tanzania,Direct Drop,EXW,Ocean,30,35000,410900.0,11.74,0,Mylan (formerly Matrix) Nashik,See ASN-25567 (ID#:21563),See ASN-25567 (ID#:21563), Nashik,5091
2048,South Africa,Direct Drop,DDP,Ocean,30,110291,497412.41,4.51,0,"Aurobindo Unit III, India",9375,9951.38,India,8074
2049,Haiti,Direct Drop,EXW,Ocean,60,2160,8532.0,3.95,0,Mylan (formerly Matrix) Nashik,See ASN-27545 (ID#:22160),See ASN-27545 (ID#:22160), Nashik,14325
2050,South Africa,Direct Drop,DDP,Truck,30,92,305.1,3.32,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2051,South Africa,Direct Drop,DDP,Air,30,57600,268992.0,4.67,0,"Aurobindo Unit III, India",4872,5886.9,India,8074
2052,South Africa,Direct Drop,DDP,Air,60,2004,5070.12,2.53,0,"Aurobindo Unit III, India",3,1791.41,India,8074
2053,Rwanda,Direct Drop,EXW,Air,60,912,18240.0,20.0,0,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",102,1600.98,India,5921
2054,Nigeria,Direct Drop,EXW,Air,30,300,477.0,1.59,0,"Micro Labs Ltd. (Brown & Burk), India",14,350.02,India,7633
2055,Rwanda,Direct Drop,CIP,Air,30,558,8174.7,14.65,0,"Aurobindo Unit III, India",1297,23760.45,India,5921
2056,Zimbabwe,Direct Drop,EXW,Air,30,9810,132336.9,13.49,0,Mylan (formerly Matrix) Nashik,962,6773.13, Nashik,6420
2057,South Africa,Direct Drop,DDP,Truck,60,74,521.82,7.05,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2058,Côte d'Ivoire,Direct Drop,EXW,Air,30,2100,42000.0,20.0,0,Mylan (formerly Matrix) Nashik,293,3316.79, Nashik,8608
2059,Rwanda,Direct Drop,CIP,Air,120,2240,83686.4,37.36,0,"Aurobindo Unit III, India",554,7531.78,India,5921
2060,South Africa,Direct Drop,DDP,Ocean,60,89674,243913.28,2.72,0,"Cipla, Goa, India",9667,17703.62,India,8074
2061,South Africa,Direct Drop,DDP,Truck,120,8000,375880.98,46.99,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2062,Côte d'Ivoire,Direct Drop,CIP,Air,180,1184,20080.64,16.96,0,"MSD, Haarlem, NL",361,783.22, Haarlem,5009
2063,South Africa,Direct Drop,DDP,Truck,30,2837,73030.7,25.74,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
2064,Uganda,Direct Drop,CIP,Air,180,48,2400.0,50.0,0,"MSD, Haarlem, NL",11,48, Haarlem,6190
2065,South Africa,Direct Drop,DDP,Truck,60,226,4088.15,18.09,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2066,Vietnam,Direct Drop,EXW,Air,30,42836,184194.8,4.3,0,Mylan (formerly Matrix) Nashik,3494,10711.06, Nashik,3641
2067,South Africa,Direct Drop,DDP,Truck,240,54,382.47,7.08,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2068,Vietnam,Direct Drop,EXW,Air,30,30118,97281.14,3.23,0,"Micro labs, Verna, Goa, India",1782,9648.44,India,3157
2069,South Africa,Direct Drop,DDP,Ocean,240,20000,185600.0,9.28,0,GSK Mississauga (Canada),7656,9650.6,Canada,15035
2070,South Africa,Direct Drop,DDP,Truck,30,6,71.03,11.84,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2071,South Africa,Direct Drop,DDP,Truck,60,6,507.86,84.64,1,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,9211
2072,South Africa,Direct Drop,DDP,Truck,120,101,2601.73,25.76,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2073,Vietnam,Direct Drop,FCA,Air,120,560,46032.0,82.2,0,ABBVIE Ludwigshafen Germany,83,436.86,Germany,9157
2074,Côte d'Ivoire,Direct Drop,FCA,Ocean,120,20580,634275.6,30.82,0,ABBVIE Ludwigshafen Germany,5139,40289,Germany,5008
2075,Vietnam,Direct Drop,EXW,Air,60,168,1260.0,7.5,0,Mylan (formerly Matrix) Nashik,9,4138.11, Nashik,3641
2076,South Africa,Direct Drop,DDP,Ocean,30,249500,1125245.0,4.51,0,"Aurobindo Unit III, India",21205,25129.15,India,8074
2077,South Africa,Direct Drop,DDP,Truck,60,84,5795.22,68.99,1,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2078,South Africa,Direct Drop,DDP,Truck,90,25,659.22,26.37,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2079,Zimbabwe,Direct Drop,FCA,Air,60,9670,57439.8,5.94,0,ABBVIE Ludwigshafen Germany,1128,13330.73,Germany,7939
2080,Haiti,Direct Drop,CIP,Air,60,400,22200.0,55.5,0,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,7467
2081,South Africa,Direct Drop,DDP,Ocean,30,116218,526467.54,4.53,0,"Aurobindo Unit III, India",12410,10446.37,India,8074
2082,South Africa,Direct Drop,DDP,Air,60,34067,86189.51,2.53,0,"Aurobindo Unit III, India",1828,1791.42,India,8074
2083,South Africa,Direct Drop,DDP,Truck,30,1,15.25,15.25,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2084,"Congo, DRC",Direct Drop,EXW,Air,1000,1070,25680.0,24.0,0,"Micro Labs, Hosur, India",902,5914,India,6583
2085,South Africa,Direct Drop,DDP,Truck,240,13,103.95,8.0,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2086,South Africa,Direct Drop,DDP,Air,60,303125,779031.25,2.57,0,"Strides, Bangalore, India.",15006,20134.62,India,8074
2087,Vietnam,Direct Drop,EXW,Air,60,20651,227161.0,11.0,0,"Strides, Bangalore, India.",2367,10648.45,India,3157
2088,Tanzania,Direct Drop,FCA,Air,60,5273,31321.62,5.94,0,ABBVIE Ludwigshafen Germany,668,4835.39,Germany,6837
2089,Haiti,Direct Drop,EXW,Air,240,5730,10887.0,1.9,0,"Aurobindo Unit III, India",2254,12791.34,India,14446
2090,Rwanda,Direct Drop,CIP,Air,30,5520,47251.2,8.56,0,"Aurobindo Unit III, India",516,2355.52,India,5921
2091,Uganda,Direct Drop,DAP,Air,120,288,19180.8,66.6,0,"Aspen-OSD, Port Elizabeth, SA",94,1061, Port Elizabeth,3989
2092,South Africa,Direct Drop,DDP,Truck,30,119,394.64,3.32,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2093,Uganda,Direct Drop,DDP,Air,120,144,10800.0,75.0,0,"Janssen-Cilag, Latina, IT",47,449, Latina,4823
2094,South Africa,Direct Drop,DDP,Truck,120,47,2215.03,47.13,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2095,South Africa,Direct Drop,DDP,Truck,120,3,76.78,25.59,0,"Janssen-Cilag, Latina, IT",Weight Captured Separately,Freight Included in Commodity Cost, Latina,7877
2096,Vietnam,Direct Drop,FCA,Air,120,3010,247422.0,82.2,0,ABBVIE Ludwigshafen Germany,756,9193.82,Germany,9157
2097,Côte d'Ivoire,Direct Drop,CIP,Air,180,2737,46419.52,16.96,0,"MSD, Haarlem, NL",805,1659.71, Haarlem,5009
2098,South Africa,Direct Drop,DDP,Truck,30,1200,34631.24,28.86,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
2099,South Africa,Direct Drop,DDP,Truck,60,17,98.29,5.78,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2100,South Africa,Direct Drop,DDP,Air,60,60234,447538.62,7.43,0,"Aurobindo Unit III, India",3221,3296.57,India,8074
2101,Vietnam,Direct Drop,FCA,Air,120,4164,253254.48,60.82,0,ABBVIE Ludwigshafen Germany,992,3212.25,Germany,9157
2102,Vietnam,Direct Drop,EXW,Air,60,27900,225990.0,8.1,0,Mylan (formerly Matrix) Nashik,3868,7238.46, Nashik,3641
2103,Zambia,Direct Drop,EXW,Air,30,100000,735000.0,7.35,0,"Aurobindo Unit III, India",9369,50030.37,India,6906
2104,Uganda,Direct Drop,EXW,Air,100,10368,13478.4,1.3,0,"Aurobindo Unit III, India",2127,10898.13,India,5524
2105,Haiti,Direct Drop,EXW,Air,60,24000,196800.0,8.2,0,"Aurobindo Unit III, India",Weight Captured Separately,Invoiced Separately,India,14446
2106,Vietnam,Direct Drop,EXW,Air,60,14500,24940.0,1.72,0,"Micro labs, Verna, Goa, India",See ASN-28777 (ID#:22196),See ASN-28777 (ID#:22196),India,3157
2107,Rwanda,Direct Drop,CIP,Air,30,1630,13952.8,8.56,0,"Aurobindo Unit III, India",153,2483.49,India,5921
2108,South Africa,Direct Drop,DDP,Truck,60,220,2011.46,9.14,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2109,South Africa,Direct Drop,DDP,Ocean,30,71984,478693.6,6.65,0,"Aurobindo Unit III, India",6719,9726.54,India,8074
2110,South Africa,Direct Drop,DDP,Truck,60,10,162.9,16.29,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
2111,South Africa,Direct Drop,DDP,Truck,240,17,322.98,19.0,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2112,South Africa,Direct Drop,DDP,Truck,30,4,60.98,15.24,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2113,Vietnam,Direct Drop,EXW,Air,60,16500,183975.0,11.15,0,"Aurobindo Unit III, India",3802,26084.14,India,3157
2114,South Africa,Direct Drop,DDP,Ocean,30,174500,786995.0,4.51,0,"Aurobindo Unit III, India",14833,21555.16,India,8074
2115,Rwanda,Direct Drop,CIP,Air,60,34464,310176.0,9.0,0,Mylan (formerly Matrix) Nashik,2768,29603.24, Nashik,5355
2116,South Africa,Direct Drop,DDP,Truck,60,150,910.31,6.07,0,"BMS Meymac, France",Weight Captured Separately,Freight Included in Commodity Cost,France,8670
2117,South Africa,Direct Drop,DDP,Truck,120,150,6083.68,40.56,0,ABBVIE Ludwigshafen Germany,Weight Captured Separately,Freight Included in Commodity Cost,Germany,8973
2118,Uganda,Direct Drop,DDP,Air,120,63,4195.8,66.6,0,"Aspen-OSD, Port Elizabeth, SA",57,548.2, Port Elizabeth,3989
2119,South Africa,Direct Drop,DDP,Truck,30,11,240.13,21.83,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2120,Uganda,Direct Drop,CIP,Air,60,274,25071.0,91.5,1,"MSD, Haarlem, NL",28,501, Haarlem,6190
2121,South Africa,Direct Drop,DDP,Ocean,60,10357,75916.81,7.33,0,"Aurobindo Unit III, India",523,3161.68,India,8074
2122,Nigeria,Direct Drop,EXW,Air,60,7325,36625.0,5.0,0,"Cipla, Patalganga, India",455,4967.03,India,7633
2123,South Africa,Direct Drop,DDP,Truck,90,2,9.24,4.62,0,ABBVIE (Abbott) France,Weight Captured Separately,Freight Included in Commodity Cost,France,8670
2124,South Africa,Direct Drop,DDP,Truck,30,132,1487.53,11.27,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2125,Uganda,Direct Drop,EXW,Air,60,15021,60084.0,4.0,0,"Cipla, Goa, India",1411,13983.98,India,5524
2126,Zimbabwe,Direct Drop,EXW,Air Charter,60,55000,114400.0,2.08,0,"Micro labs, Verna, Goa, India",5810,46213.4,India,6980
2127,South Africa,Direct Drop,DDP,Truck,30,5,55.08,11.02,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2128,Haiti,Direct Drop,EXW,Air,30,4816,96320.0,20.0,0,Mylan (formerly Matrix) Nashik,647,4444.33, Nashik,14325
2129,Rwanda,Direct Drop,CIP,Air,60,26100,424125.0,16.25,0,Mylan (formerly Matrix) Nashik,2586,1170.2, Nashik,5355
2130,South Africa,Direct Drop,DDP,Air,30,38890,304119.8,7.82,0,"Cipla, Goa, India",2649,3908.55,India,8074
2131,Vietnam,Direct Drop,EXW,Air,60,1247,3167.38,2.54,0,"Strides, Bangalore, India.",71,4035.45,India,3157
2132,Vietnam,Direct Drop,EXW,Air,60,23063,155675.25,6.75,0,Mylan (formerly Matrix) Nashik,1984,3225.12, Nashik,3641
2133,Vietnam,Direct Drop,EXW,Air,60,12488,101777.2,8.15,0,"Aurobindo Unit III, India",1846,3314.03,India,3157
2134,South Africa,Direct Drop,DDP,Ocean,30,12346,84693.56,6.86,0,"Cipla, Goa, India",820,9177.19,India,8074
2135,South Africa,Direct Drop,DDP,Air,240,11640,34920.0,3.0,0,"Aurobindo Unit III, India",4386,12917.3,India,8074
2136,Vietnam,Direct Drop,EXW,Air,60,8500,94775.0,11.15,0,"Aurobindo Unit III, India",3099,5018.69,India,3157
2137,South Africa,Direct Drop,DDP,Truck,30,708,2696.29,3.81,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2138,Rwanda,Direct Drop,EXW,Air,60,57364,129069.0,2.25,0,"Aurobindo Unit III, India",5468,48501.5,India,5921
2139,South Africa,Direct Drop,DDP,Truck,60,24,551.92,23.0,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2140,South Africa,Direct Drop,DDP,Truck,30,6715,127912.01,19.05,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2141,Rwanda,Direct Drop,CIP,Air,30,276,2362.56,8.56,0,"Aurobindo Unit III, India",26,2187.01,India,5921
2142,Vietnam,Direct Drop,EXW,Air,30,18616,188952.4,10.15,0,Mylan (formerly Matrix) Nashik,2101,4384.01, Nashik,3641
2143,South Africa,Direct Drop,DDP,Truck,30,22333,359064.74,16.08,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2144,South Africa,Direct Drop,DDP,Truck,30,211,4768.7,22.6,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2145,Nigeria,Direct Drop,EXW,Air,30,1200,1836.0,1.53,0,"Micro Labs Ltd. (Brown & Burk), India",52,428.66,India,7633
2146,Nigeria,Direct Drop,EXW,Air,30,300,330.0,1.1,0,"Remedica, Limassol, Cyprus",13,365.48,Cyprus,3799
2147,South Africa,Direct Drop,DDP,Truck,30,31,672.87,21.71,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2148,South Africa,Direct Drop,DDP,Air,30,53954,251965.18,4.67,0,"Aurobindo Unit III, India",4564,6105.79,India,8074
2149,Uganda,Direct Drop,CIP,Air,60,189,10489.5,55.5,0,"MSD, Haarlem, NL",19,710, Haarlem,6190
2150,South Africa,Direct Drop,DDP,Truck,60,12,212.96,17.75,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2151,Vietnam,Direct Drop,EXW,Air,240,179,375.9,2.1,0,"Aurobindo Unit III, India",See ASN-19193 (ID#:14265),See ASN-19193 (ID#:14265),India,3157
2152,South Africa,Direct Drop,DDP,Truck,240,43,317.79,7.39,0,"Cipla, Goa, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2153,South Africa,Direct Drop,DDP,Truck,60,2314,26605.58,11.5,0,GSK Cape Town Factory (South Africa),Weight Captured Separately,Freight Included in Commodity Cost,South Africa,0
2154,South Africa,Direct Drop,DDP,Air,30,44717,349686.94,7.82,0,"Cipla, Goa, India",3071,3646.13,India,8074
2155,South Africa,Direct Drop,DDP,Ocean,30,108211,488031.61,4.51,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2156,South Africa,Direct Drop,DDP,Ocean,240,10233,21693.96,2.12,0,"Aurobindo Unit III, India",3542,6660.05,India,8074
2157,South Africa,Direct Drop,DDP,Truck,60,62,1448.18,23.36,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2158,Haiti,Direct Drop,FCA,Air,120,1008,18809.28,18.66,0,ABBVIE Ludwigshafen Germany,406,2562.6,Germany,7877
2159,Uganda,Direct Drop,FCA,Air,60,579,3966.15,6.85,0,ABBVIE Ludwigshafen Germany,83,800,Germany,5868
2160,Vietnam,Direct Drop,EXW,Air,60,3881,15524.0,4.0,0,"Strides, Bangalore, India.",See ASN-18971 (ID#:16186),See ASN-18971 (ID#:16186),India,3157
2161,South Africa,Direct Drop,DDP,Truck,60,22,282.13,12.82,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2162,Côte d'Ivoire,Direct Drop,EXW,Air,30,1400,31500.0,22.5,0,Mylan (formerly Matrix) Nashik,364,4171.65, Nashik,8608
2163,South Africa,Direct Drop,DDP,Air,30,2016,15765.12,7.82,0,"Cipla, Goa, India",136,1881.24,India,8074
2164,Uganda,Direct Drop,FCA,Air,60,2565,15236.1,5.94,0,ABBVIE Ludwigshafen Germany,304,2808.12,Germany,5868
2165,South Africa,Direct Drop,DDP,Ocean,90,300,2451.0,8.17,0,"Aurobindo Unit III, India",40,422.84,India,8074
2166,South Africa,Direct Drop,DDP,Truck,30,100,2733.35,27.33,0,"Aspen-OSD, Port Elizabeth, SA",Weight Captured Separately,Freight Included in Commodity Cost, Port Elizabeth,573
2167,Rwanda,Direct Drop,EXW,Air,60,607,4880.28,8.04,0,"Aurobindo Unit III, India",66,1026.4,India,5921
2168,Haiti,Direct Drop,EXW,Air,60,1260,2318.4,1.84,0,"Micro labs, Verna, Goa, India",See ASN-20434 (ID#:13874),See ASN-20434 (ID#:13874),India,14446
2169,Vietnam,Direct Drop,EXW,Air,60,37215,320049.0,8.6,0,"Aurobindo Unit III, India",See ASN-17075 (ID#:20697),See ASN-17075 (ID#:20697),India,3157
2170,Rwanda,Direct Drop,FCA,Air,60,1514,10370.9,6.85,0,ABBVIE Ludwigshafen Germany,204,1949.64,Germany,6174
2171,South Africa,Direct Drop,DDP,Truck,30,3,33.05,11.02,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2172,South Africa,Direct Drop,DDP,Truck,60,45,2752.41,61.16,1,"MSD, Haarlem, NL",Weight Captured Separately,Freight Included in Commodity Cost, Haarlem,9211
2173,South Africa,Direct Drop,DDP,Ocean,30,28330,188394.5,6.65,0,"Aurobindo Unit III, India",2645,5112.92,India,8074
2174,Rwanda,Direct Drop,EXW,Air,30,3000,60000.0,20.0,0,Mylan (formerly Matrix) Nashik,405,3484.48, Nashik,5355
2175,Haiti,Direct Drop,EXW,Air,30,1052,18936.0,18.0,0,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",138,1719.78,India,14446
2176,Uganda,Direct Drop,EXW,Air,30,61150,195068.5,3.19,0,"Strides, Bangalore, India.",3858,20553.85,India,5524
2177,South Africa,Direct Drop,DDP,Truck,60,53,2642.19,49.85,0,"Aurobindo Unit III, India",Weight Captured Separately,Freight Included in Commodity Cost,India,8074
2178,Haiti,Direct Drop,FCA,Air,120,6050,111743.5,18.47,0,ABBVIE Ludwigshafen Germany,See ASN-32716 (ID#:22417),See ASN-32716 (ID#:22417),Germany,7877
