,index,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance
978,1740,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,18180,206343.0,11.35,0.19,"Aurobindo Unit III, India",2047.0,6739.08,India,9091.0
979,1742,Uganda,From RDC,N/A - From RDC,Ocean,60,8784,99698.4,11.35,0.19,Mylan (formerly Matrix) Nashik,1118.0,7338.54, Nashik,4961.0
980,1745,Uganda,From RDC,N/A - From RDC,Air,30,29426,201568.1,6.85,0.23,"Aurobindo Unit III, India",2529.0,4031.3,India,5524.0
981,1747,Nigeria,From RDC,N/A - From RDC,Air Charter,60,17000,193800.0,11.4,0.19,"Aurobindo Unit III, India",1914.0,9341.49,India,7633.0
982,1748,Nigeria,From RDC,N/A - From RDC,Air Charter,60,3001,34211.4,11.4,0.19,"Aurobindo Unit III, India",338.0,9341.49,India,7633.0
983,1749,Nigeria,From RDC,N/A - From RDC,Air Charter,30,240,2820.0,11.75,0.39,Mylan (formerly Matrix) Nashik,22.0,9341.49, Nashik,7134.0
984,1750,Nigeria,From RDC,N/A - From RDC,Air Charter,60,25281,288203.4,11.4,0.19,"Aurobindo Unit III, India",2847.0,9341.49,India,7633.0
985,1751,Nigeria,From RDC,N/A - From RDC,Air Charter,60,16912,192796.8,11.4,0.19,"Aurobindo Unit III, India",1905.0,9341.49,India,7633.0
986,1753,Mozambique,From RDC,N/A - From RDC,Truck,60,1604,11420.48,7.12,0.12,"Strides, Bangalore, India.",120.0,1799.88,India,6624.0
987,1754,Haiti,From RDC,N/A - From RDC,Air,60,4410,6438.6,1.46,0.02,"Aurobindo Unit III, India",286.0,3842.22,India,14446.0
988,1755,Vietnam,Direct Drop,EXW,Air,60,11092,74871.0,6.75,0.11,Mylan (formerly Matrix) Nashik,957.0,1869.41, Nashik,3641.0
989,1756,Haiti,Direct Drop,EXW,Air,60,298,685.4,2.3,0.04,"Cipla, Goa, India",21.0,304.62,India,14446.0
990,1757,Mozambique,Direct Drop,FCA,Air,60,400,2740.0,6.85,0.11,ABBVIE Ludwigshafen Germany,62.0,642.99,Germany,8163.0
991,1758,South Africa,Direct Drop,DDP,Ocean,30,54768,133633.92,2.44,0.08,"Aurobindo Unit III, India",3237.0,10923.46,India,8074.0
992,1761,Vietnam,Direct Drop,EXW,Air,30,11500,132135.0,11.49,0.38,Mylan (formerly Matrix) Nashik,1295.0,2021.05, Nashik,3641.0
993,1763,South Africa,Direct Drop,DDP,Air,30,56877,265615.59,4.67,0.16,"Aurobindo Unit III, India",4815.0,5886.9,India,8074.0
994,1765,Vietnam,Direct Drop,EXW,Air,30,1680,13860.0,8.25,0.28,Mylan (formerly Matrix) Nashik,110.0,791.43, Nashik,3641.0
995,1766,Rwanda,Direct Drop,CIP,Air,30,138422,1211192.5,8.75,0.29,Mylan (formerly Matrix) Nashik,13147.0,4781.8, Nashik,5355.0
996,1767,Mozambique,Direct Drop,CIP,Air,84,520,5366.4,10.32,0.12,ABBVIE (Abbott) France,149.0,Freight Included in Commodity Cost,France,8017.0
997,1769,Haiti,Direct Drop,EXW,Ocean,30,25000,256000.0,10.24,0.34,Mylan (formerly Matrix) Nashik,3034.0,7658.27, Nashik,14325.0
998,1770,Vietnam,Direct Drop,EXW,Air,60,13000,105300.0,8.1,0.13,Mylan (formerly Matrix) Nashik,2672.0,2504.64, Nashik,3641.0
999,1772,Uganda,Direct Drop,DDP,Air,120,121,9075.0,75.0,0.62,"Janssen-Cilag, Latina, IT",43.0,199, Latina,4823.0
1000,1773,Vietnam,Direct Drop,EXW,Air,30,21504,139776.0,6.5,0.22,Mylan (formerly Matrix) Nashik,1849.0,4191.83, Nashik,3641.0
1001,1774,Haiti,Direct Drop,EXW,Ocean,240,1832,3847.2,2.1,0.01,"Aurobindo Unit III, India",3504.0,7117.39,India,14446.0
1002,1775,Vietnam,Direct Drop,FCA,Air,30,174,4047.24,23.26,0.78,ABBVIE Ludwigshafen Germany,21.0,583.66,Germany,9157.0
1003,1777,Rwanda,Direct Drop,CIP,Air,30,62209,681188.55,10.95,0.36,Mylan (formerly Matrix) Nashik,5795.0,63600.4, Nashik,5355.0
1004,1778,"Congo, DRC",Direct Drop,EXW,Air,30,940,1175.0,1.25,0.04,"Aurobindo Unit III, India",132.0,2516.57,India,6583.0
1005,1780,Haiti,Direct Drop,EXW,Air,30,14448,46667.04,3.23,0.11,"Micro labs, Verna, Goa, India",2284.0,13257.25,India,14446.0
1006,1781,Uganda,Direct Drop,CIP,Air,120,108,3888.0,36.0,0.3,"Janssen-Cilag, Latina, IT",22.0,265, Latina,4823.0
1007,1783,Tanzania,Direct Drop,EXW,Air,30,5925,9243.0,1.56,0.05,"Aurobindo Unit III, India",394.0,3245.39,India,5659.0
1008,1784,Vietnam,Direct Drop,EXW,Air,60,9800,63602.0,6.49,0.11,Mylan (formerly Matrix) Nashik,2235.0,3708.72, Nashik,3641.0
1009,1785,South Africa,Direct Drop,DDP,Air,30,19992,156337.44,7.82,0.26,"Cipla, Goa, India",1378.0,3646.1,India,8074.0
1010,1786,Zambia,Direct Drop,EXW,Air,60,10000,19900.0,1.99,0.03,"Mylan,  H-12 & H-13, India",849.0,4316.34,India,6906.0
1011,1787,Vietnam,Direct Drop,EXW,Air,60,7600,15808.0,2.08,0.03,"Micro labs, Verna, Goa, India",1292.0,2800.95,India,3157.0
1012,1789,Vietnam,Direct Drop,EXW,Air,30,3528,27342.0,7.75,0.26,"Aurobindo Unit III, India",395.0,3538.57,India,3157.0
1013,1791,Côte d'Ivoire,Direct Drop,EXW,Air,60,4000,112000.0,28.0,0.47,Mylan (formerly Matrix) Nashik,655.0,5300.24, Nashik,8608.0
1014,1792,Mozambique,Direct Drop,EXW,Air,30,800,6064.0,7.58,0.25,"Aurobindo Unit III, India",77.0,979.14,India,6624.0
1015,1793,Uganda,Direct Drop,EXW,Air,60,7445,16676.8,2.24,0.04,"Cipla, Goa, India",574.0,3868.24,India,5524.0
1016,1794,Vietnam,Direct Drop,EXW,Air,240,263,486.55,1.85,0.01,"Aurobindo Unit III, India",182.0,5970.85,India,3157.0
1017,1795,Vietnam,Direct Drop,FCA,Air,120,3812,231845.84,60.82,0.51,ABBVIE Ludwigshafen Germany,824.0,3216.15,Germany,9157.0
1018,1796,Vietnam,Direct Drop,EXW,Air,30,3528,22932.0,6.5,0.22,Mylan (formerly Matrix) Nashik,383.0,1162.52, Nashik,3641.0
1019,1798,Tanzania,Direct Drop,EXW,Air,30,20867,32552.52,1.56,0.05,"Aurobindo Unit III, India",1337.0,8403.67,India,5659.0
1020,1799,South Africa,Direct Drop,DDP,Ocean,60,150000,430500.0,2.87,0.05,"Strides, Bangalore, India.",9306.0,10511.33,India,8074.0
1021,1800,South Africa,Direct Drop,DDP,Ocean,60,159000,443610.0,2.79,0.05,"Cipla, Goa, India",16729.0,25199.31,India,8074.0
1022,1804,South Africa,Direct Drop,DDP,Ocean,30,5745,25909.95,4.51,0.15,"Aurobindo Unit III, India",488.0,4232.71,India,8074.0
1023,1807,Haiti,Direct Drop,EXW,Ocean,90,3680,20240.0,5.5,0.06,"Aurobindo Unit III, India",6385.0,8768.76,India,14446.0
1024,1809,Côte d'Ivoire,Direct Drop,CIP,Air,60,6000,57000.0,9.5,0.16,"BMS Meymac, France",1278.0,1742.12,France,4338.0
1025,1810,Haiti,Direct Drop,EXW,Air,30,29908,89125.84,2.98,0.1,"Micro labs, Verna, Goa, India",2423.0,14650.41,India,14446.0
1026,1811,South Africa,Direct Drop,DDP,Ocean,60,87500,641375.0,7.33,0.12,"Aurobindo Unit III, India",4416.0,7334.83,India,8074.0
1027,1812,Rwanda,Direct Drop,EXW,Air,240,9720,14677.2,1.51,0.01,"Aurobindo Unit III, India",4365.0,Freight Included in Commodity Cost,India,5921.0
1028,1813,Vietnam,Direct Drop,EXW,Air,60,1769,3714.9,2.1,0.04,Mylan (formerly Matrix) Nashik,1961.0,7308.37, Nashik,3641.0
1029,1816,Tanzania,Direct Drop,EXW,Air,30,9000,179100.0,19.9,0.66,Mylan (formerly Matrix) Nashik,1081.0,5834.1, Nashik,5091.0
1030,1817,Uganda,Direct Drop,CIP,Air,180,75,3750.0,50.0,0.28,"MSD, Haarlem, NL",19.0,435, Haarlem,6190.0
1031,1821,South Africa,Direct Drop,DDP,Ocean,60,2452,17899.6,7.3,0.12,"Aurobindo Unit III, India",127.0,47101.63,India,8074.0
1032,1823,South Africa,Direct Drop,DDP,Air,30,11510,53751.7,4.67,0.16,"Aurobindo Unit III, India",993.0,4263.07,India,8074.0
1033,1824,Vietnam,Direct Drop,EXW,Air,60,20000,40000.0,2.0,0.03,Mylan (formerly Matrix) Nashik,2806.0,18207.5, Nashik,3641.0
1034,1826,Haiti,Direct Drop,EXW,Air,240,375,2561.25,6.83,0.03,"Aurobindo Unit III, India",300.0,2949.23,India,14446.0
1035,1828,Vietnam,Direct Drop,EXW,Air,60,16300,181745.0,11.15,0.19,"Aurobindo Unit III, India",2011.0,11648.31,India,3157.0
1036,1830,Vietnam,Direct Drop,EXW,Air,240,464,858.4,1.85,0.01,"Aurobindo Unit III, India",437.0,1222.31,India,3157.0
1037,1831,Vietnam,Direct Drop,EXW,Air,60,24480,58752.0,2.4,0.04,"Aurobindo Unit III, India",3536.0,20910.43,India,3157.0
1038,1832,Nigeria,Direct Drop,EXW,Air,60,10000,65000.0,6.5,0.11,Mylan (formerly Matrix) Nashik,574.0,4760.43, Nashik,7134.0
1039,1833,South Africa,Direct Drop,DDP,Air,240,2162,6810.3,3.15,0.01,"Aurobindo Unit III, India",838.0,4876.31,India,8074.0
1040,1834,South Africa,Direct Drop,DDP,Air,240,8474,25422.0,3.0,0.01,"Aurobindo Unit III, India",3206.0,2154.51,India,8074.0
1041,1835,Rwanda,Direct Drop,EXW,Air,60,46530,581159.7,12.49,0.21,Mylan (formerly Matrix) Nashik,4810.0,27894.81, Nashik,5355.0
1042,1836,Vietnam,Direct Drop,FCA,Air,30,400,9304.0,23.26,0.78,ABBVIE Ludwigshafen Germany,40.0,642.45,Germany,9157.0
1043,1837,Vietnam,Direct Drop,EXW,Air,60,30000,313500.0,10.45,0.17,"Aurobindo Unit III, India",10210.0,17392.05,India,3157.0
1044,1840,Rwanda,Direct Drop,EXW,Ocean,30,117359,997551.5,8.5,0.28,Mylan (formerly Matrix) Nashik,10329.0,32530.22, Nashik,5355.0
1045,1841,Vietnam,Direct Drop,EXW,Air,60,20500,228575.0,11.15,0.19,"Aurobindo Unit III, India",2904.0,14223.39,India,3157.0
1046,1843,South Africa,Direct Drop,DDP,Ocean,30,137654,944306.44,6.86,0.23,"Cipla, Goa, India",9147.0,11314.2,India,8074.0
1047,1844,Haiti,Direct Drop,EXW,Air,240,705,1064.55,1.51,0.01,"Aurobindo Unit III, India",346.0,3429.78,India,14446.0
1048,1845,Tanzania,Direct Drop,EXW,Air,60,36426,296143.38,8.13,0.14,"Aurobindo Unit III, India",4609.0,17581.92,India,5659.0
1049,1847,Tanzania,Direct Drop,CIP,Air,30,18544,340096.96,18.34,0.61,"BMS Meymac, France",1478.0,1312.2,France,6771.0
1050,1848,Haiti,Direct Drop,EXW,Ocean,60,3300,13035.0,3.95,0.07,Mylan (formerly Matrix) Nashik,16350.0,16028.78, Nashik,14325.0
1051,1849,South Africa,Direct Drop,DDP,Ocean,90,1515,15119.7,9.98,0.11,"Aurobindo Unit III, India",201.0,4134.92,India,8074.0
1052,1850,Vietnam,Direct Drop,EXW,Air,60,21858,184044.36,8.42,0.14,"Strides, Bangalore, India.",2777.0,4461.72,India,3157.0
1053,1851,Haiti,Direct Drop,EXW,Air,30,2894,3617.5,1.25,0.04,"Aurobindo Unit III, India",1486.0,12749.39,India,14446.0
1054,1854,South Africa,Direct Drop,DDP,Ocean,60,37870,103006.4,2.72,0.05,"Cipla, Goa, India",4121.0,4957.81,India,8074.0
1055,1855,Haiti,Direct Drop,EXW,Ocean,60,889,3200.4,3.6,0.06,Mylan (formerly Matrix) Nashik,94.0,2350.55, Nashik,14325.0
1056,1856,Zambia,Direct Drop,EXW,Air,60,20000,43000.0,2.15,0.04,"Aurobindo Unit III, India",1044.0,5145.69,India,6906.0
1057,1857,Vietnam,Direct Drop,FCA,Air,120,1969,119754.58,60.82,0.51,ABBVIE Ludwigshafen Germany,484.0,1565.1,Germany,9157.0
1058,1858,Zambia,Direct Drop,EXW,Air,30,11811,69684.9,5.9,0.2,"Aurobindo Unit III, India",1184.0,5904.94,India,6906.0
1059,1859,Vietnam,Direct Drop,EXW,Air,30,3000,6720.0,2.24,0.07,"Aurobindo Unit III, India",436.0,1238.16,India,3157.0
1060,1860,Rwanda,Direct Drop,EXW,Air,240,9690,14631.9,1.51,0.01,"Aurobindo Unit III, India",3790.0,66260.33,India,5921.0
1061,1861,Vietnam,Direct Drop,EXW,Air,60,100,1750.0,17.5,0.29,Mylan (formerly Matrix) Nashik,2128.0,7784.92, Nashik,3641.0
1062,1863,Vietnam,Direct Drop,EXW,Air,60,112,1618.4,14.45,0.24,"Aurobindo Unit III, India",1701.0,4288.83,India,3157.0
1063,1865,Nigeria,Direct Drop,EXW,Air,30,10150,228375.0,22.5,0.75,Mylan (formerly Matrix) Nashik,1360.0,7665.38, Nashik,7134.0
1064,1867,Vietnam,Direct Drop,FCA,Air,30,319,7419.94,23.26,0.78,ABBVIE Ludwigshafen Germany,1736.0,5265.22,Germany,9157.0
1065,1868,Tanzania,Direct Drop,EXW,Air,60,28663,74523.8,2.6,0.04,"Aurobindo Unit III, India",3380.0,17603.58,India,5659.0
1066,1869,Mozambique,Direct Drop,FCA,Air,60,120,822.0,6.85,0.11,ABBVIE Ludwigshafen Germany,22.0,828.76,Germany,8163.0
1067,1870,Vietnam,Direct Drop,EXW,Air,30,84000,965160.0,11.49,0.38,Mylan (formerly Matrix) Nashik,9479.0,14402.92, Nashik,3641.0
1068,1871,Haiti,Direct Drop,EXW,Air,30,5000,100000.0,20.0,0.67,Mylan (formerly Matrix) Nashik,670.0,4909.72, Nashik,14325.0
1069,1872,Vietnam,Direct Drop,EXW,Air,60,336,2520.0,7.5,0.12,Mylan (formerly Matrix) Nashik,120.0,9013.85, Nashik,3641.0
1070,1873,South Africa,Direct Drop,DDP,Ocean,30,43280,287812.0,6.65,0.22,"Aurobindo Unit III, India",4040.0,6121.42,India,8074.0
1071,1875,Côte d'Ivoire,Direct Drop,FCA,Air,60,7850,46629.0,5.94,0.1,ABBVIE Ludwigshafen Germany,909.0,6020.53,Germany,5008.0
1072,1876,South Africa,Direct Drop,DDP,Ocean,60,152535,361507.95,2.37,0.04,"Aurobindo Unit III, India",7698.0,11372.23,India,8074.0
1073,1879,Vietnam,Direct Drop,EXW,Air,60,19920,114340.8,5.74,0.1,"Cipla, Goa, India",1936.0,5314.56,India,3157.0
1074,1881,South Africa,Direct Drop,DDP,Air,30,47625,372427.5,7.82,0.26,"Cipla, Goa, India",3243.0,1881.24,India,8074.0
1075,1882,South Africa,Direct Drop,DDP,Ocean,30,32280,146228.4,4.53,0.15,"Aurobindo Unit III, India",7017.0,11372.23,India,8074.0
1076,1883,South Africa,Direct Drop,DDP,Air,30,26991,211069.62,7.82,0.26,"Cipla, Goa, India",1842.0,5298.03,India,8074.0
1077,1887,South Africa,Direct Drop,DDP,Ocean,90,25000,204250.0,8.17,0.09,"Aurobindo Unit III, India",3313.0,4689.6,India,8074.0
1078,1889,Vietnam,Direct Drop,EXW,Air,60,25000,65000.0,2.6,0.04,Mylan (formerly Matrix) Nashik,3098.0,12745.06, Nashik,3641.0
1079,1890,Zimbabwe,Direct Drop,EXW,Air,90,14164,131725.2,9.3,0.1,"Strides, Bangalore, India.",884.0,8280.73,India,6980.0
1080,1891,Haiti,Direct Drop,EXW,Ocean,240,1295,1955.45,1.51,0.01,"Aurobindo Unit III, India",536.0,1893.24,India,14446.0
1081,1894,Haiti,Direct Drop,EXW,Air,240,2052,3098.52,1.51,0.01,"Aurobindo Unit III, India",908.0,6438.91,India,14446.0
1082,1895,Zambia,Direct Drop,CIP,Air,120,10000,369100.0,36.91,0.31,ABBVIE Ludwigshafen Germany,2294.0,1100.2,Germany,7464.0
1083,1896,Vietnam,Direct Drop,FCA,Air,120,4280,351816.0,82.2,0.68,ABBVIE Ludwigshafen Germany,1063.0,11167.45,Germany,9157.0
1084,1897,South Africa,Direct Drop,DDP,Ocean,30,64269,427388.85,6.65,0.22,"Aurobindo Unit III, India",5999.0,13829.58,India,8074.0
1085,1899,Tanzania,Direct Drop,EXW,Air,90,15041,139881.3,9.3,0.1,"Strides, Bangalore, India.",949.0,4673.77,India,5659.0
1086,1900,Vietnam,Direct Drop,EXW,Air,30,6549,92340.9,14.1,0.47,Mylan (formerly Matrix) Nashik,1208.0,3306.51, Nashik,3641.0
1087,1902,Tanzania,Direct Drop,CIP,Air,30,1000,23670.0,23.67,0.79,"BMS Meymac, France",335.0,888,France,6771.0
1088,1904,Côte d'Ivoire,Direct Drop,FCA,Air,60,4600,27324.0,5.94,0.1,ABBVIE Ludwigshafen Germany,535.0,5924.33,Germany,5008.0
1089,1905,Tanzania,Direct Drop,EXW,Air,60,426,11114.34,26.09,0.43,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",45.0,1013.19,India,5659.0
1090,1906,South Africa,Direct Drop,DDP,Air,60,33338,84345.14,2.53,0.04,"Aurobindo Unit III, India",1791.0,1791.42,India,8074.0
1091,1907,Haiti,Direct Drop,FCA,Air,120,15560,287393.2,18.47,0.15,ABBVIE Ludwigshafen Germany,3834.0,16386.12,Germany,7877.0
1092,1908,Rwanda,Direct Drop,EXW,Air,240,4534,38539.0,8.5,0.04,"Cipla, Goa, India",1631.0,13116.57,India,5921.0
1093,1909,Vietnam,Direct Drop,FCA,Air,30,373,8675.98,23.26,0.78,ABBVIE Ludwigshafen Germany,55.0,17.72,Germany,9157.0
1094,1912,Tanzania,Direct Drop,EXW,Air,30,5175,116437.5,22.5,0.75,Mylan (formerly Matrix) Nashik,775.0,4136.58, Nashik,5091.0
1095,1913,Côte d'Ivoire,Direct Drop,CIP,Air,60,4245,40327.5,9.5,0.16,"BMS Meymac, France",833.0,1134.5,France,4338.0
1096,1915,Haiti,Direct Drop,FCA,Air,120,646,12480.72,19.32,0.16,ABBVIE Ludwigshafen Germany,166.0,737.11,Germany,7877.0
1097,1917,Vietnam,Direct Drop,EXW,Air,30,5451,76859.1,14.1,0.47,Mylan (formerly Matrix) Nashik,1675.0,3401.49, Nashik,3641.0
1098,1919,Côte d'Ivoire,Direct Drop,FCA,Air,120,7320,264691.2,36.16,0.3,ABBVIE Ludwigshafen Germany,1838.0,13562.36,Germany,5008.0
1099,1920,Vietnam,Direct Drop,EXW,Air,240,136,251.6,1.85,0.01,"Aurobindo Unit III, India",173.0,1079.39,India,3157.0
1100,1921,South Africa,Direct Drop,DDP,Ocean,240,20000,185600.0,9.28,0.04,GSK Mississauga (Canada),7664.0,17022.13,Canada,15035.0
1101,1922,South Africa,Direct Drop,DDP,Ocean,60,168711,416716.17,2.47,0.04,"Strides, Bangalore, India.",8183.0,12225.76,India,8074.0
1102,1924,Vietnam,Direct Drop,FCA,Air,120,5530,454566.0,82.2,0.68,ABBVIE Ludwigshafen Germany,1348.0,10670.09,Germany,9157.0
1103,1926,Uganda,Direct Drop,EXW,Air,100,11310,14703.0,1.3,0.01,"Aurobindo Unit III, India",2454.0,10898.12,India,5524.0
1104,1929,South Africa,Direct Drop,DDP,Ocean,240,55000,114400.0,2.08,0.01,"Cipla, Goa, India",20419.0,17267.14,India,8074.0
1105,1930,Vietnam,Direct Drop,EXW,Air,60,20000,165000.0,8.25,0.14,"Aurobindo Unit III, India",1951.0,13083.7,India,3157.0
1106,1931,Vietnam,Direct Drop,EXW,Air,60,20000,129800.0,6.49,0.11,Mylan (formerly Matrix) Nashik,1725.0,3273.14, Nashik,3641.0
1107,1934,Uganda,Direct Drop,FCA,Air,120,60,2169.6,36.16,0.3,ABBVIE Ludwigshafen Germany,36.0,814.04,Germany,5868.0
1108,1936,Uganda,Direct Drop,DDP,Air,120,150,11250.0,75.0,0.62,"Janssen-Cilag, Latina, IT",49.0,475, Latina,4823.0
1109,1938,Zambia,Direct Drop,EXW,Air,30,300000,1722000.0,5.74,0.19,Mylan (formerly Matrix) Nashik,24233.0,119474.09, Nashik,6339.0
1110,1939,Vietnam,Direct Drop,EXW,Air,60,331,4220.25,12.75,0.21,Mylan (formerly Matrix) Nashik,2951.0,7211.04, Nashik,3641.0
1111,1941,Vietnam,Direct Drop,EXW,Air,60,1302,5403.3,4.15,0.07,Mylan (formerly Matrix) Nashik,4587.0,11252.53, Nashik,3641.0
1112,1942,Haiti,Direct Drop,EXW,Ocean,60,34080,318648.0,9.35,0.16,Mylan (formerly Matrix) Nashik,4726.0,7208.11, Nashik,14325.0
1113,1944,South Africa,Direct Drop,DDP,Ocean,30,106589,480716.39,4.51,0.15,"Aurobindo Unit III, India",9061.0,9323.3,India,8074.0
1114,1945,"Congo, DRC",Direct Drop,EXW,Air,30,171,1453.5,8.5,0.28,"Aurobindo Unit III, India",81.0,2782.94,India,6583.0
1115,1946,Rwanda,Direct Drop,EXW,Air,60,1411,46563.0,33.0,0.55,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",145.0,1950.74,India,5921.0
1116,1949,Nigeria,Direct Drop,FCA,Air,120,500,18080.0,36.16,0.3,ABBVIE Ludwigshafen Germany,130.0,1599.22,Germany,4614.0
1117,1951,South Africa,Direct Drop,DDP,Ocean,30,91772,390948.72,4.26,0.14,"Aurobindo Unit III, India",7797.0,7292.27,India,8074.0
1118,1953,Vietnam,Direct Drop,EXW,Air,240,564,1099.8,1.95,0.01,"Aurobindo Unit III, India",5939.0,10770.55,India,3157.0
1119,1955,Uganda,Direct Drop,CIP,Air,60,1299,72094.5,55.5,0.92,"MSD, Haarlem, NL",137.0,309.95, Haarlem,6190.0
1120,1961,Vietnam,Direct Drop,EXW,Air,30,27122,311631.78,11.49,0.38,Mylan (formerly Matrix) Nashik,2843.0,9740.27, Nashik,3641.0
1121,1963,Haiti,Direct Drop,FCA,Air,60,520,3088.8,5.94,0.1,ABBVIE Ludwigshafen Germany,65.0,892.5,Germany,7877.0
1122,1965,Uganda,Direct Drop,CIP,Air,60,55,5032.5,91.5,1.52,"MSD, Haarlem, NL",6.0,99, Haarlem,6190.0
1123,1966,Vietnam,Direct Drop,EXW,Air,60,1652,10721.48,6.49,0.11,Mylan (formerly Matrix) Nashik,146.0,746.89, Nashik,3641.0
1124,1967,Haiti,Direct Drop,EXW,Ocean,60,5324,22094.6,4.15,0.07,Mylan (formerly Matrix) Nashik,4654.0,8538.03, Nashik,14325.0
1125,1968,South Africa,Direct Drop,DDP,Air,30,34560,161395.2,4.67,0.16,"Aurobindo Unit III, India",3240.0,4263.07,India,8074.0
1126,1969,Tanzania,Direct Drop,EXW,Air,60,1135,29612.15,26.09,0.43,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",103.0,1308.4,India,5659.0
1127,1970,Côte d'Ivoire,Direct Drop,FCA,Air,120,11480,415116.8,36.16,0.3,ABBVIE Ludwigshafen Germany,4794.0,28238.31,Germany,5008.0
1128,1971,Tanzania,Direct Drop,EXW,Air,60,36000,129600.0,3.6,0.06,Mylan (formerly Matrix) Nashik,2205.0,9815.52, Nashik,5091.0
1129,1972,South Africa,Direct Drop,DDP,Ocean,240,4529,9601.48,2.12,0.01,"Aurobindo Unit III, India",1679.0,3524.93,India,8074.0
1130,1973,"Congo, DRC",Direct Drop,EXW,Air,30,984,1230.0,1.25,0.04,"Aurobindo Unit III, India",53.0,938.05,India,6583.0
1131,1974,Tanzania,Direct Drop,EXW,Air,60,1065,27785.85,26.09,0.43,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",112.0,1122.07,India,5659.0
1132,1978,Vietnam,Direct Drop,EXW,Air,60,1200,13308.0,11.09,0.18,Mylan (formerly Matrix) Nashik,128.0,1069.31, Nashik,3641.0
1133,1980,Uganda,Direct Drop,EXW,Air,60,60929,493524.9,8.1,0.13,"Cipla, Goa, India",8638.0,30764.18,India,5524.0
1134,1984,Vietnam,Direct Drop,EXW,Air,240,837,1548.45,1.85,0.01,"Aurobindo Unit III, India",526.0,6368.02,India,3157.0
1135,1985,Tanzania,Direct Drop,EXW,Ocean,60,115000,414000.0,3.6,0.06,Mylan (formerly Matrix) Nashik,10504.0,28270.78, Nashik,5091.0
1136,1986,Vietnam,Direct Drop,FCA,Air,120,5600,340592.0,60.82,0.51,ABBVIE Ludwigshafen Germany,1368.0,4489.32,Germany,9157.0
1137,1988,South Africa,Direct Drop,DDP,Ocean,240,3971,8418.52,2.12,0.01,"Aurobindo Unit III, India",1472.0,3524.95,India,8074.0
1138,1989,Zambia,Direct Drop,EXW,Air,60,42813,96329.25,2.25,0.04,"Aurobindo Unit III, India",4369.0,22508.32,India,6906.0
1139,1992,Vietnam,Direct Drop,EXW,Air,30,23389,268739.61,11.49,0.38,Mylan (formerly Matrix) Nashik,2741.0,4802.92, Nashik,3641.0
1140,1993,Vietnam,Direct Drop,EXW,Air,30,252,3276.0,13.0,0.43,"Aurobindo Unit III, India",1553.0,13320.8,India,3157.0
1141,1995,Vietnam,Direct Drop,EXW,Air,60,15040,86329.6,5.74,0.1,"Cipla, Goa, India",1481.0,6390.83,India,3157.0
1142,1996,Uganda,Direct Drop,FCA,Air,60,417,2856.45,6.85,0.11,ABBVIE Ludwigshafen Germany,65.0,887.67,Germany,5868.0
1143,1998,South Africa,Direct Drop,DDP,Ocean,60,50000,421000.0,8.42,0.14,"Aurobindo Unit III, India",4603.0,8033.13,India,8074.0
1144,1999,Tanzania,Direct Drop,EXW,Air,90,9959,92618.7,9.3,0.1,"Strides, Bangalore, India.",630.0,3416.2,India,5659.0
1145,2000,Vietnam,Direct Drop,EXW,Air,60,12000,87000.0,7.25,0.12,Mylan (formerly Matrix) Nashik,664.0,6247.82, Nashik,3641.0
1146,2004,Uganda,Direct Drop,EXW,Air,30,50000,162000.0,3.24,0.11,"Cipla, Goa, India",5593.0,19759.68,India,5524.0
1147,2005,Vietnam,Direct Drop,FCA,Air,120,5188,315534.16,60.82,0.51,ABBVIE Ludwigshafen Germany,1138.0,3622.58,Germany,9157.0
1148,2006,Mozambique,Direct Drop,FCA,Air,60,2464,16878.4,6.85,0.11,ABBVIE Ludwigshafen Germany,361.0,3669.84,Germany,8163.0
1149,2007,South Africa,Direct Drop,DDP,Ocean,30,63967,289770.51,4.53,0.15,"Aurobindo Unit III, India",5491.0,15331.49,India,8074.0
1150,2008,Haiti,Direct Drop,EXW,Ocean,30,46500,499410.0,10.74,0.36,Mylan (formerly Matrix) Nashik,5342.0,9195.61, Nashik,14325.0
1151,2010,Vietnam,Direct Drop,EXW,Air,60,1008,8678.88,8.61,0.14,"Aurobindo Unit III, India",1015.0,3796.95,India,3157.0
1152,2011,Vietnam,Direct Drop,EXW,Air,30,21000,62580.0,2.98,0.1,"Micro labs, Verna, Goa, India",3244.0,6195.84,India,3157.0
1153,2013,"Congo, DRC",Direct Drop,EXW,Air,60,150,322.5,2.15,0.04,"Cipla, Goa, India",25.0,1765.03,India,6583.0
1154,2014,South Africa,Direct Drop,DDP,Ocean,60,100000,282000.0,2.82,0.05,"Strides, Bangalore, India.",6297.0,7526.14,India,8074.0
1155,2016,South Africa,Direct Drop,DDP,Ocean,30,108129,489824.37,4.53,0.15,"Aurobindo Unit III, India",9280.0,15331.51,India,8074.0
