,index,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,mfg_site,weight,freight_cost,location,distance,fair_cost
748,1288,Uganda,From RDC,N/A - From RDC,Air,60,19650,223027.5,11.35,0.19,"Aurobindo Unit III, India",2237.0,15250.99,India,5524.0,12411.62
749,1289,Zambia,From RDC,N/A - From RDC,Truck,60,52481,373664.72,7.12,0.12,"Cipla, Goa, India",5586.0,6759.28,India,6906.0,39010.36
750,1291,Uganda,From RDC,N/A - From RDC,Air,30,1795,47118.75,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",160.0,2590.35, Port Elizabeth,3989.0,641.89
751,1294,Nigeria,From RDC,N/A - From RDC,Air Charter,60,52920,603288.0,11.4,0.19,"Aurobindo Unit III, India",5960.0,9341.49,India,7633.0,45492.68
752,1295,Zambia,From RDC,N/A - From RDC,Truck,30,4000,24880.0,6.22,0.21,"Aurobindo Unit III, India",1900.0,4997.46,India,6906.0,13290.16
753,1297,Uganda,From RDC,N/A - From RDC,Air,60,300,438.0,1.46,0.02,"Aurobindo Unit III, India",20.0,667.17,India,5524.0,90.81
754,1298,Uganda,From RDC,N/A - From RDC,Air,60,589,4435.17,7.53,0.13,"Aurobindo Unit III, India",33.0,747.17,India,5524.0,188.83
755,1301,Zambia,From RDC,N/A - From RDC,,60,3334,118357.0,35.5,0.59,"Aurobindo Unit III, India",161.0,7441.23,India,6906.0,1108.73
756,1304,Côte d'Ivoire,From RDC,N/A - From RDC,,30,10000,162500.0,16.25,0.54,"Aurobindo Unit III, India",898.0,3002.0,India,9091.0,8138.6
757,1307,Côte d'Ivoire,From RDC,N/A - From RDC,,60,9000,67500.0,7.5,0.12,"Cipla, Goa, India",972.0,3162.0,India,9091.0,8482.99
758,1308,Côte d'Ivoire,From RDC,N/A - From RDC,,60,1000,10250.0,10.25,0.17,"Aurobindo Unit III, India",114.0,1470.0,India,9091.0,1031.32
759,1310,Côte d'Ivoire,From RDC,N/A - From RDC,,30,8148,132405.0,16.25,0.54,"Aurobindo Unit III, India",741.0,2656.0,India,9091.0,6715.7
760,1313,Mozambique,From RDC,N/A - From RDC,Air,120,801,32921.1,41.1,0.34,ABBVIE Ludwigshafen Germany,333.0,630.23,Germany,8163.0,2698.44
761,1317,Nigeria,From RDC,N/A - From RDC,,60,903,6953.1,7.7,0.13,"Cipla, Goa, India",57.0,1339.8,India,7633.0,440.73
762,1318,Zimbabwe,From RDC,N/A - From RDC,,30,2800,45528.0,16.26,0.54,"Aurobindo Unit III, India",246.0,1130.49,India,6980.0,1710.74
763,1319,Zambia,From RDC,N/A - From RDC,,240,237,5095.5,21.5,0.09,"Aurobindo Unit III, India",85.0,759.41,India,6906.0,589.74
764,1321,Côte d'Ivoire,From RDC,N/A - From RDC,,60,7426,79309.68,10.68,0.18,"Aurobindo Unit III, India",3073.0,7947.0,India,9091.0,28250.54
765,1322,Zambia,From RDC,N/A - From RDC,,60,79029,282133.53,3.57,0.06,"Aurobindo Unit III, India",7393.0,30412.53,India,6906.0,51485.1
766,1323,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,1161,2496.15,2.15,0.04,"Aurobindo Unit III, India",399.0,4200.78,India,9091.0,4049.09
767,1324,Tanzania,From RDC,N/A - From RDC,Air,60,29489,314942.52,10.68,0.18,"Aurobindo Unit III, India",2670.0,7533.0,India,5659.0,15279.3
768,1328,Zambia,From RDC,N/A - From RDC,,240,1000,16500.0,16.5,0.07,"Aurobindo Unit III, India",355.0,1886.39,India,6906.0,2496.21
769,1329,Rwanda,From RDC,N/A - From RDC,Air,30,1883,31069.5,16.5,0.55,Premier Med. Corp Ltd. India,752.0,4436.76,India,5921.0,4452.59
770,1338,Zambia,From RDC,N/A - From RDC,,60,60440,205496.0,3.4,0.06,"Aurobindo Unit III, India",5725.0,15671.53,India,6906.0,41862.55
771,1344,Zimbabwe,From RDC,N/A - From RDC,Truck,60,1560,14820.0,9.5,0.16,"Aurobindo Unit III, India",147.0,1671.84,India,6980.0,1036.86
772,1345,Zambia,From RDC,N/A - From RDC,Air,60,8251,227150.03,27.53,0.46,"Aurobindo Unit III, India",822.0,3303.52,India,6906.0,5691.17
773,1347,Zambia,From RDC,N/A - From RDC,,240,1004,6224.8,6.2,0.03,"Aurobindo Unit III, India",358.0,1778.7,India,6906.0,2871.11
774,1351,Haiti,From RDC,N/A - From RDC,Air,60,1057,3593.8,3.4,0.06,"Aurobindo Unit III, India",100.0,1651.0,India,14446.0,1529.58
775,1352,Nigeria,From RDC,N/A - From RDC,Air,60,447,679.44,1.52,0.03,"Aurobindo Unit III, India",1054.0,2722.38,India,7633.0,9527.19
776,1353,Tanzania,From RDC,N/A - From RDC,,30,32997,409822.74,12.42,0.41,"Aurobindo Unit III, India",2867.0,10288.1,India,5659.0,16067.6
777,1355,Zambia,From RDC,N/A - From RDC,,60,50000,472500.0,9.45,0.16,"Aurobindo Unit III, India",4655.0,2347.91,India,6906.0,32657.71
778,1356,Uganda,From RDC,N/A - From RDC,Air,30,860,10328.6,12.01,0.4,"Aurobindo Unit III, India",76.0,675.0,India,5524.0,419.47
779,1359,Uganda,From RDC,N/A - From RDC,Air,60,7296,96890.88,13.28,0.22,"Aurobindo Unit III, India",824.0,3182.52,India,5524.0,4524.36
780,1360,Zambia,From RDC,N/A - From RDC,,240,30563,60209.11,1.97,0.01,"Aurobindo Unit III, India",10621.0,37199.06,India,6906.0,89358.73
781,1361,Haiti,From RDC,N/A - From RDC,Air,60,16752,158306.4,9.45,0.16,"Aurobindo Unit III, India",1580.0,11572.0,India,14446.0,23186.98
782,1362,Nigeria,From RDC,N/A - From RDC,Air,60,850,1317.5,1.55,0.03,"Aurobindo Unit III, India",555.0,10575.63,India,7633.0,4919.59
783,1366,Zambia,From RDC,N/A - From RDC,,90,3330,53280.0,16.0,0.18,"Aurobindo Unit III, India",404.0,2313.55,India,6906.0,2824.9
784,1370,Uganda,From RDC,N/A - From RDC,Air,240,6036,12675.6,2.1,0.01,"Aurobindo Unit III, India",2253.0,15923.41,India,5524.0,14223.51
785,1372,Tanzania,From RDC,N/A - From RDC,Air,30,17000,211140.0,12.42,0.41,"Aurobindo Unit III, India",6007.0,20395.6,India,5659.0,33665.17
786,1374,Zambia,From RDC,N/A - From RDC,,30,50000,600500.0,12.01,0.4,Mylan (formerly Matrix) Nashik,3897.0,15007.8, Nashik,6339.0,24682.51
787,1377,Haiti,From RDC,N/A - From RDC,Air,30,1446,3239.04,2.24,0.07,"Aurobindo Unit III, India",83.0,1608.72,India,14446.0,1124.08
788,1379,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,27224,254544.4,9.35,0.16,"Aurobindo Unit III, India",2506.0,23382.04,India,9091.0,23391.19
789,1380,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,21360,83304.0,3.9,0.06,Mylan (formerly Matrix) Nashik,1567.0,21821.95, Nashik,8608.0,12451.14
790,1381,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,10000,118000.0,11.8,0.2,"Aurobindo Unit III, India",1456.0,5048.32,India,9091.0,13460.84
791,1383,Uganda,From RDC,N/A - From RDC,Air,30,1166,30607.5,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",145.0,1742.25, Port Elizabeth,3989.0,581.71
792,1385,Nigeria,From RDC,N/A - From RDC,Air,60,1300,3770.0,2.9,0.05,"Aurobindo Unit III, India",65.0,1020.98,India,7633.0,513.25
793,1387,Nigeria,From RDC,N/A - From RDC,Air,30,45000,1181250.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",3951.0,11584.54, Port Elizabeth,5168.0,20535.45
794,1390,Zambia,From RDC,N/A - From RDC,Truck,60,3600,27900.0,7.75,0.13,"Aurobindo Unit III, India",750.0,813.75,India,6906.0,5212.92
795,1391,Zambia,From RDC,N/A - From RDC,Truck,30,50000,600500.0,12.01,0.4,Mylan (formerly Matrix) Nashik,3841.0,3558.49, Nashik,6339.0,24327.83
796,1393,Nigeria,From RDC,N/A - From RDC,Air,30,196,2677.36,13.66,0.46,Mylan (formerly Matrix) Nashik,12.0,900.0, Nashik,7134.0,86.49
797,1394,Tanzania,From RDC,N/A - From RDC,Truck,30,883,15011.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",70.0,1169.9, Port Elizabeth,3213.0,226.23
798,1395,Côte d'Ivoire,From RDC,N/A - From RDC,Air,240,2976,5713.92,1.92,0.01,"Aurobindo Unit III, India",209.0,5463.97,India,9091.0,2375.02
800,1397,Nigeria,From RDC,N/A - From RDC,Air,60,4124,6392.2,1.55,0.03,"Aurobindo Unit III, India",273.0,7363.74,India,7633.0,2419.91
801,1400,Zambia,From RDC,N/A - From RDC,Truck,30,100000,2625000.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",9000.0,14036.31, Port Elizabeth,2162.0,19569.19
802,1401,Nigeria,From RDC,N/A - From RDC,Air,30,1030,12071.6,11.72,0.39,"Aurobindo Unit III, India",251.0,1960.81,India,7633.0,1912.61
803,1403,Nigeria,From RDC,N/A - From RDC,Air Charter,60,26616,303422.4,11.4,0.19,"Aurobindo Unit III, India",2993.0,15128.37,India,7633.0,22845.57
804,1404,Uganda,From RDC,N/A - From RDC,Air,60,5131,60545.8,11.8,0.2,"Aurobindo Unit III, India",691.0,8252.73,India,5524.0,3881.78
805,1410,Nigeria,From RDC,N/A - From RDC,Air,30,13473,148203.0,11.0,0.37,"Aurobindo Unit III, India",1146.0,3680.33,India,7633.0,8826.94
806,1412,Nigeria,From RDC,N/A - From RDC,Air,30,662,17377.5,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",62.0,6443.61, Port Elizabeth,5168.0,322.25
807,1413,Nigeria,From RDC,N/A - From RDC,Air Charter,60,11661,132935.4,11.4,0.19,"Aurobindo Unit III, India",1311.0,11492.86,India,7633.0,10006.86
809,1415,Nigeria,From RDC,N/A - From RDC,Air Charter,30,25000,275000.0,11.0,0.37,"Aurobindo Unit III, India",2267.0,15128.37,India,7633.0,17461.32
810,1416,Mozambique,From RDC,N/A - From RDC,Air,60,630,976.5,1.55,0.03,"Aurobindo Unit III, India",42.0,1217.37,India,6624.0,323.08
811,1418,Zimbabwe,From RDC,N/A - From RDC,Air,60,4000,16000.0,4.0,0.07,"Cipla, Goa, India",305.0,2698.04,India,6980.0,2235.34
812,1420,Nigeria,From RDC,N/A - From RDC,Air Charter,30,27439,720273.75,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",2561.0,15128.47, Port Elizabeth,5168.0,13310.88
813,1421,Haiti,From RDC,N/A - From RDC,Air,30,7323,71179.56,9.72,0.32,"Aurobindo Unit III, India",631.0,7584.12,India,14446.0,9002.89
814,1423,Uganda,From RDC,N/A - From RDC,Air,60,60,89.4,1.49,0.02,"Aurobindo Unit III, India",4.0,526.41,India,5524.0,17.8
815,1428,Nigeria,From RDC,N/A - From RDC,Air,60,1747,15303.72,8.76,0.15,Mylan (formerly Matrix) Nashik,148.0,1012.18, Nashik,7134.0,1084.76
816,1430,Haiti,From RDC,N/A - From RDC,Air,30,1428,3198.72,2.24,0.07,"Aurobindo Unit III, India",83.0,7789.85,India,14446.0,1124.08
817,1431,Nigeria,From RDC,N/A - From RDC,Air Charter,30,24269,637061.25,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",2094.0,7329.83, Port Elizabeth,5168.0,10883.63
818,1432,Uganda,From RDC,N/A - From RDC,Air,60,10372,119900.32,11.56,0.19,Mylan (formerly Matrix) Nashik,1312.0,14569.14, Nashik,4961.0,6418.74
819,1433,Nigeria,From RDC,N/A - From RDC,Air Charter,30,27314,716992.5,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",2363.0,7329.83, Port Elizabeth,5168.0,12281.77
820,1434,Zambia,From RDC,N/A - From RDC,Truck,30,92000,1058000.0,11.5,0.38,Mylan (formerly Matrix) Nashik,7579.0,6759.28, Nashik,6339.0,47625.51
821,1436,Nigeria,From RDC,N/A - From RDC,Air Charter,60,5800,66120.0,11.4,0.19,"Aurobindo Unit III, India",654.0,7445.8,India,7633.0,4991.98
822,1437,Nigeria,From RDC,N/A - From RDC,Air Charter,30,22730,596662.5,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",1977.0,7445.8, Port Elizabeth,5168.0,10275.52
823,1438,Côte d'Ivoire,From RDC,N/A - From RDC,Air Charter,30,3280,31881.6,9.72,0.32,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",229.0,1854.88,India,9091.0,2056.14
824,1441,Mozambique,From RDC,N/A - From RDC,Truck,60,76000,541120.0,7.12,0.12,"Strides, Bangalore, India.",5597.0,1799.88,India,6624.0,37491.1
825,1442,Rwanda,From RDC,N/A - From RDC,Air,60,8766,21389.04,2.44,0.04,"Aurobindo Unit III, India",447.0,4257.01,India,5921.0,2603.3
826,1443,Uganda,From RDC,N/A - From RDC,Air,60,24000,210240.0,8.76,0.15,Mylan (formerly Matrix) Nashik,5748.0,38957.51, Nashik,4961.0,29297.08
827,1446,Zambia,From RDC,N/A - From RDC,Truck,30,92000,1058000.0,11.5,0.38,Mylan (formerly Matrix) Nashik,7678.0,6759.28, Nashik,6339.0,48247.62
828,1447,Zambia,From RDC,N/A - From RDC,Truck,30,92095,1059092.5,11.5,0.38,Mylan (formerly Matrix) Nashik,7686.0,6759.28, Nashik,6339.0,48297.89
829,1450,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,666,7825.5,11.75,0.39,Mylan (formerly Matrix) Nashik,54.0,1713.01, Nashik,8608.0,462.85
830,1451,Tanzania,From RDC,N/A - From RDC,Truck,60,9243,235234.35,25.45,0.42,"Aurobindo Unit III, India",936.0,2233.61,India,5659.0,5244.79
831,1452,Zambia,From RDC,N/A - From RDC,Truck,60,61520,438022.4,7.12,0.12,"Cipla, Goa, India",23888.0,13518.56,India,6906.0,166824.13
832,1453,Nigeria,From RDC,N/A - From RDC,Air Charter,60,40230,458622.0,11.4,0.19,"Aurobindo Unit III, India",4531.0,30983.24,India,7633.0,34585.12
833,1454,Nigeria,From RDC,N/A - From RDC,Air Charter,60,1756,20018.4,11.4,0.19,"Aurobindo Unit III, India",198.0,9341.49,India,7633.0,1511.33
834,1455,Côte d'Ivoire,From RDC,N/A - From RDC,Air,240,1547,2970.24,1.92,0.01,"Aurobindo Unit III, India",581.0,1234.9,India,9091.0,6602.34
835,1457,Zambia,From RDC,N/A - From RDC,Air,30,13941,80578.98,5.78,0.19,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",986.0,5097.09,India,6906.0,6715.07
836,1458,Uganda,From RDC,N/A - From RDC,Air,60,60,240.0,4.0,0.07,"Cipla, Goa, India",4.0,396.08,India,5524.0,23.2
837,1459,Zimbabwe,From RDC,N/A - From RDC,,30,7000,113750.0,16.25,0.54,"Aurobindo Unit III, India",581.0,1886.21,India,6980.0,4042.9
838,1461,Mozambique,From RDC,N/A - From RDC,Air,240,650,2567.5,3.95,0.02,"Aurobindo Unit III, India",193.0,478.51,India,6624.0,1553.54
839,1464,Côte d'Ivoire,From RDC,N/A - From RDC,,30,8148,132405.0,16.25,0.54,"Aurobindo Unit III, India",742.0,2658.0,India,9091.0,6724.77
841,1469,Zambia,From RDC,N/A - From RDC,Air,240,192,4128.0,21.5,0.09,"Aurobindo Unit III, India",70.0,650.12,India,6906.0,485.67
842,1470,Rwanda,From RDC,N/A - From RDC,Air,60,3431,11356.61,3.31,0.06,"Ranbaxy, Paonta Shahib, India",216.0,2520.47,India,5921.0,1390.99
843,1473,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,4374,37266.48,8.52,0.14,"Aurobindo Unit III, India",230.0,1432.0,India,9091.0,2061.48
844,1476,Zambia,From RDC,N/A - From RDC,,240,350,7525.0,21.5,0.09,"Aurobindo Unit III, India",124.0,874.57,India,6906.0,860.33
845,1479,Tanzania,From RDC,N/A - From RDC,Air,60,11807,42150.99,3.57,0.06,"Aurobindo Unit III, India",1050.0,3291.0,India,5659.0,5991.88
846,1481,Côte d'Ivoire,From RDC,N/A - From RDC,,30,55032,110064.0,2.0,0.07,"Cipla, Goa, India",3673.0,12438.0,India,9091.0,35060.81
847,1487,Zambia,From RDC,N/A - From RDC,,60,16974,125607.6,7.4,0.12,"Cipla, Goa, India",1732.0,7927.55,India,6906.0,11637.92
848,1488,Zambia,From RDC,N/A - From RDC,,90,604,9664.0,16.0,0.18,"Aurobindo Unit III, India",72.0,723.59,India,6906.0,503.45
849,1491,Zambia,From RDC,N/A - From RDC,,60,1381,2416.75,1.75,0.03,"Aurobindo Unit III, India",232.0,1320.08,India,6906.0,1647.97
850,1495,Zambia,From RDC,N/A - From RDC,Air,30,25338,314697.96,12.42,0.41,Mylan (formerly Matrix) Nashik,1974.0,7836.6, Nashik,6339.0,12392.29
851,1500,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,6200,10850.0,1.75,0.03,"Aurobindo Unit III, India",354.0,4147.9,India,9091.0,3310.16
852,1501,Haiti,From RDC,N/A - From RDC,Air,60,42000,142800.0,3.4,0.06,"Aurobindo Unit III, India",3957.0,32483.5,India,14446.0,60525.34
853,1502,Zambia,From RDC,N/A - From RDC,Truck,60,77724,264261.6,3.4,0.06,"Cipla, Goa, India",8554.0,24405.0,India,6906.0,62548.86
854,1503,Nigeria,From RDC,N/A - From RDC,Air,60,4836,99138.0,20.5,0.34,"Aurobindo Unit III, India",531.0,3228.0,India,7633.0,4033.35
855,1504,Côte d'Ivoire,From RDC,N/A - From RDC,Air,120,2121,87173.1,41.1,0.34,ABBVIE Ludwigshafen Germany,465.0,2206.0,Germany,5008.0,2311.72
856,1507,Zambia,From RDC,N/A - From RDC,,60,58680,199512.0,3.4,0.06,"Aurobindo Unit III, India",5557.0,15245.25,India,6906.0,40634.09
857,1508,Zambia,From RDC,N/A - From RDC,,30,14465,179655.3,12.42,0.41,Mylan (formerly Matrix) Nashik,1135.0,4428.75, Nashik,6339.0,7125.25
858,1512,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,35600,263440.0,7.4,0.12,"Cipla, Goa, India",3731.0,6778.91,India,9091.0,33001.8
859,1513,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,371,3524.5,9.5,0.16,"Aurobindo Unit III, India",4689.0,8321.29,India,9091.0,43076.41
860,1514,Haiti,From RDC,N/A - From RDC,Air,180,70,1187.2,16.96,0.09,"MSD, Haarlem, NL",30.0,933.09, Haarlem,7467.0,213.97
861,1521,Zimbabwe,From RDC,N/A - From RDC,Truck,60,9732,72016.8,7.4,0.12,"Cipla, Goa, India",911.0,2705.71,India,6980.0,6186.92
862,1522,Tanzania,From RDC,N/A - From RDC,Truck,30,75000,900750.0,12.01,0.4,"Aurobindo Unit III, India",15566.0,9330.0,India,5659.0,88014.65
863,1523,Zambia,From RDC,N/A - From RDC,Air,60,6597,62671.5,9.5,0.16,"Aurobindo Unit III, India",617.0,2891.6,India,6906.0,4305.85
864,1524,Tanzania,From RDC,N/A - From RDC,Air,60,155319,1149360.6,7.4,0.12,"Cipla, Goa, India",28334.0,80239.66,India,5659.0,156008.54
865,1526,Mozambique,From RDC,N/A - From RDC,Air,30,33787,419634.54,12.42,0.41,"Aurobindo Unit III, India",6081.0,3316.9,India,6624.0,39891.36
866,1528,Uganda,From RDC,N/A - From RDC,Air,60,800,7560.0,9.45,0.16,"Aurobindo Unit III, India",75.0,935.8,India,5524.0,420.88
867,1529,Tanzania,From RDC,N/A - From RDC,Truck,60,112191,1060204.95,9.45,0.16,"Aurobindo Unit III, India",10453.0,8831.92,India,5659.0,60092.47
868,1534,Haiti,From RDC,N/A - From RDC,Air,60,3115,25387.25,8.15,0.14,"Aurobindo Unit III, India",178.0,2599.0,India,14446.0,2650.26
869,1535,Tanzania,From RDC,N/A - From RDC,Air,60,6722,63859.0,9.5,0.16,"Aurobindo Unit III, India",634.0,1108.08,India,5659.0,3625.57
870,1536,Zambia,From RDC,N/A - From RDC,Truck,30,55000,660550.0,12.01,0.4,Mylan (formerly Matrix) Nashik,3925.0,2196.18, Nashik,6339.0,24859.86
871,1537,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,17621,59911.4,3.4,0.06,"Aurobindo Unit III, India",1650.0,3428.5,India,9091.0,15882.51
872,1539,Haiti,From RDC,N/A - From RDC,Air,60,1925,15688.75,8.15,0.14,"Aurobindo Unit III, India",111.0,1355.06,India,14446.0,1652.69
873,1542,Tanzania,From RDC,N/A - From RDC,Air,60,75318,114483.36,1.52,0.03,"Aurobindo Unit III, India",5040.0,22965.4,India,5659.0,33775.29
874,1545,Uganda,From RDC,N/A - From RDC,Air,60,500,775.0,1.55,0.03,"Aurobindo Unit III, India",33.0,578.24,India,5524.0,211.69
875,1547,Mozambique,From RDC,N/A - From RDC,Air,336,180,0.0,0.0,0.0,ABBVIE (Abbott) France,256.0,2765.64,France,8017.0,
876,1548,Zambia,From RDC,N/A - From RDC,Air,240,1800,3780.0,2.1,0.01,"Aurobindo Unit III, India",671.0,5110.76,India,6906.0,5295.92
877,1549,Nigeria,From RDC,N/A - From RDC,Air,200,36,50.4,1.4,0.01,"Aurobindo Unit III, India",4.0,857.17,India,7633.0,43.62
878,1550,Nigeria,From RDC,N/A - From RDC,Air,30,15000,393750.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",1309.0,7463.74, Port Elizabeth,5168.0,6803.57
879,1551,Zambia,From RDC,N/A - From RDC,Truck,30,50000,600500.0,12.01,0.4,Mylan (formerly Matrix) Nashik,3817.0,4579.42, Nashik,6339.0,24175.82
880,1552,Nigeria,From RDC,N/A - From RDC,Air,30,20000,525000.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",1741.0,10665.71, Port Elizabeth,5168.0,9048.9
881,1553,Uganda,From RDC,N/A - From RDC,Ocean,30,1166,2332.0,2.0,0.07,"Cipla, Goa, India",71.0,1240.0,India,5524.0,411.81
882,1556,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,22566,67698.0,3.0,0.05,"Aurobindo Unit III, India",2113.0,5574.06,India,9091.0,19209.28
883,1557,Uganda,From RDC,N/A - From RDC,Air,60,88,1038.4,11.8,0.2,"Aurobindo Unit III, India",10.0,1002.2,India,5524.0,56.18
884,1558,Uganda,From RDC,N/A - From RDC,Air,30,9,99.0,11.0,0.37,"Aurobindo Unit III, India",1.0,966.37,India,5524.0,5.57
885,1560,Nigeria,From RDC,N/A - From RDC,Air,60,11142,17270.1,1.55,0.03,"Aurobindo Unit III, India",739.0,6315.3,India,7633.0,6550.59
886,1561,Côte d'Ivoire,From RDC,N/A - From RDC,Air,240,1643,3450.3,2.1,0.01,"Aurobindo Unit III, India",483.0,7293.9,India,9091.0,5018.23
887,1565,Nigeria,From RDC,N/A - From RDC,Air,30,14000,154000.0,11.0,0.37,"Aurobindo Unit III, India",1169.0,13538.35,India,7633.0,9004.09
888,1569,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,36391,386472.42,10.62,0.35,"Aurobindo Unit III, India",4156.0,11180.32,India,9091.0,37355.28
889,1571,Nigeria,From RDC,N/A - From RDC,Air Charter,60,15944,181761.6,11.4,0.19,"Aurobindo Unit III, India",1793.0,11492.86,India,7633.0,13685.97
890,1572,Zambia,From RDC,N/A - From RDC,Truck,60,4200,32550.0,7.75,0.13,"Aurobindo Unit III, India",867.0,2938.92,India,6906.0,6026.13
891,1573,Zambia,From RDC,N/A - From RDC,Truck,30,60000,660000.0,11.0,0.37,"Aurobindo Unit III, India",5144.0,13853.29,India,6906.0,35847.41
892,1574,Mozambique,From RDC,N/A - From RDC,Air,60,26292,310245.6,11.8,0.2,Mylan (formerly Matrix) Nashik,3218.0,15990.35, Nashik,6074.0,19877.42
893,1575,Nigeria,From RDC,N/A - From RDC,Air Charter,60,71422,814210.8,11.4,0.19,"Aurobindo Unit III, India",8016.0,15128.37,India,7633.0,61186.13
894,1576,Uganda,From RDC,N/A - From RDC,Air,120,80,3288.0,41.1,0.34,ABBVIE Ludwigshafen Germany,19.0,1381.64,Germany,5868.0,110.68
895,1577,Nigeria,From RDC,N/A - From RDC,Air,30,17933,470741.25,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",1564.0,16864.58, Port Elizabeth,5168.0,8128.94
896,1578,Nigeria,From RDC,N/A - From RDC,Air Charter,60,10000,93500.0,9.35,0.16,"Aurobindo Unit III, India",905.0,15128.37,India,7633.0,7092.57
897,1580,Nigeria,From RDC,N/A - From RDC,Air Charter,30,23991,275896.5,11.5,0.38,Mylan (formerly Matrix) Nashik,2096.0,15128.37, Nashik,7134.0,14822.84
898,1581,Haiti,From RDC,N/A - From RDC,Air,180,98,1662.08,16.96,0.09,"MSD, Haarlem, NL",28.0,988.24, Haarlem,7467.0,199.71
899,1582,Côte d'Ivoire,From RDC,N/A - From RDC,Air,60,6476,56729.76,8.76,0.15,Mylan (formerly Matrix) Nashik,540.0,4881.06, Nashik,8608.0,4775.67
900,1583,Nigeria,From RDC,N/A - From RDC,Ocean,60,13334,152007.6,11.4,0.19,Mylan (formerly Matrix) Nashik,1626.0,17096.24, Nashik,7134.0,11599.88
901,1588,Nigeria,From RDC,N/A - From RDC,Air Charter,60,12000,17880.0,1.49,0.02,"Aurobindo Unit III, India",789.0,7329.83,India,7633.0,4850.28
902,1589,Uganda,From RDC,N/A - From RDC,Air,60,1155,13109.25,11.35,0.19,Mylan (formerly Matrix) Nashik,147.0,1848.59, Nashik,4961.0,732.48
903,1590,Uganda,From RDC,N/A - From RDC,Air,120,220,9042.0,41.1,0.34,ABBVIE Ludwigshafen Germany,50.0,1359.4,Germany,5868.0,291.26
904,1591,Zambia,From RDC,N/A - From RDC,Truck,30,92000,1058000.0,11.5,0.38,Mylan (formerly Matrix) Nashik,7101.0,16702.26, Nashik,6339.0,44621.82
905,1592,Zambia,From RDC,N/A - From RDC,Air,90,4000,61040.0,15.26,0.17,"Aurobindo Unit III, India",481.0,2951.12,India,6906.0,3330.49
906,1593,Côte d'Ivoire,From RDC,N/A - From RDC,Air,30,2160,56700.0,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",186.0,1660.07, Port Elizabeth,5690.0,1064.39
907,1594,Haiti,From RDC,N/A - From RDC,Air,60,25824,226218.24,8.76,0.15,"Aurobindo Unit III, India",2359.0,26714.63,India,14446.0,35011.76
908,1595,Zambia,From RDC,N/A - From RDC,Truck,60,35000,249200.0,7.12,0.12,"Strides, Bangalore, India.",2604.0,2448.71,India,6906.0,18185.28
909,1596,Nigeria,From RDC,N/A - From RDC,Air Charter,60,23670,269838.0,11.4,0.19,"Aurobindo Unit III, India",2666.0,7445.8,India,7633.0,20349.58
910,1597,Nigeria,From RDC,N/A - From RDC,Air Charter,30,671,17613.75,26.25,0.88,"Aspen-OSD, Port Elizabeth, SA",59.0,7445.8, Port Elizabeth,5168.0,306.65
911,1599,Uganda,From RDC,N/A - From RDC,Air,60,2420,21199.2,8.76,0.15,Mylan (formerly Matrix) Nashik,202.0,1534.1, Nashik,4961.0,1029.58
912,1601,Mozambique,From RDC,N/A - From RDC,Truck,60,17500,68250.0,3.9,0.06,Mylan (formerly Matrix) Nashik,1292.0,1588.05, Nashik,6074.0,7243.95
913,1602,Zambia,From RDC,N/A - From RDC,Truck,30,88000,968000.0,11.0,0.37,"Aurobindo Unit III, India",7579.0,6759.28,India,6906.0,52816.4
914,1603,Tanzania,From RDC,N/A - From RDC,Truck,30,536,9112.0,17.0,0.57,"Aspen-OSD, Port Elizabeth, SA",41.0,2233.61, Port Elizabeth,3213.0,132.51
