,country,fulfill_via,vendor,shipment_mode,unit_of_measure,line_item_quantity,line_item_value,pack_price,unit_price,weight,freight_cost,location,distance
1477,Zambia,From RDC,RDC,,30,48348,786138,16,0.54,3622,10181,India,6906
1478,Mozambique,From RDC,RDC,Air,240,7750,30612,3,0.02,3622,10181,India,6624
1479,Tanzania,From RDC,RDC,Air,60,11807,42150,3,0.06,1050,3291,India,5659
1480,Côte d'Ivoire,From RDC,RDC,,60,23472,176040,7,0.12,3622,10181,India,9091
1481,Côte d'Ivoire,From RDC,RDC,,30,55032,110064,2,0.07,3673,12438,India,9091
1482,Mozambique,From RDC,RDC,Air,240,2744,6695,2,0.01,3622,10181,India,6624
1483,Mozambique,From RDC,RDC,Air,240,2185,8630,3,0.02,3622,10181,India,6624
1484,Côte d'Ivoire,From RDC,RDC,,30,738,2560,3,0.12,3622,10181, Haarlem,5009
1485,Zambia,From RDC,RDC,Air,60,30000,91200,3,0.05,3622,10181,India,6906
1486,Zambia,From RDC,RDC,,60,12420,101223,8,0.14,3622,10181,India,6906
1487,Zambia,From RDC,RDC,,60,16974,125607,7,0.12,1732,7927,India,6906
1488,Zambia,From RDC,RDC,,90,604,9664,16,0.18,72,723,India,6906
1489,Côte d'Ivoire,From RDC,RDC,,60,1696,13144,7,0.13,3622,10181,India,9091
1490,Côte d'Ivoire,From RDC,RDC,Air,60,5794,47221,8,0.14,3622,10181,India,9091
1491,Zambia,From RDC,RDC,,60,1381,2416,1,0.03,232,1320,India,6906
1492,Zambia,From RDC,RDC,,30,11254,182990,16,0.54,3622,10181,India,6906
1493,Nigeria,From RDC,RDC,Air,30,1200,14904,12,0.41,3622,10181,India,7633
1494,Nigeria,From RDC,RDC,Air,60,1246,9345,7,0.12,3622,10181,India,7633
1495,Zambia,From RDC,RDC,Air,30,25338,314697,12,0.41,1974,7836, Nashik,6339
1496,Mozambique,From RDC,RDC,Air,60,7128,67716,9,0.16,3622,10181,India,6624
1497,Côte d'Ivoire,From RDC,RDC,Air,60,7744,297059,38,0.64,3622,10181,India,9091
1498,Côte d'Ivoire,From RDC,RDC,Air,30,34020,422528,12,0.41,3622,10181,India,9091
1499,Uganda,From RDC,RDC,Air,60,140,1141,8,0.14,3622,10181,India,5524
1500,Côte d'Ivoire,From RDC,RDC,Air,60,6200,10850,1,0.03,354,4147,India,9091
1501,Haiti,From RDC,RDC,Air,60,42000,142800,3,0.06,3957,32483,India,14446
1502,Zambia,From RDC,RDC,Truck,60,77724,264261,3,0.06,8554,24405,India,6906
1503,Nigeria,From RDC,RDC,Air,60,4836,99138,20,0.34,531,3228,India,7633
1504,Côte d'Ivoire,From RDC,RDC,Air,120,2121,87173,41,0.34,465,2206,Germany,5008
1505,Mozambique,From RDC,RDC,Air,60,42700,576450,13,0.22,3622,10181,India,6624
1506,Rwanda,From RDC,RDC,Air,240,2000,3940,1,0.01,3622,10181,India,5921
1507,Zambia,From RDC,RDC,,60,58680,199512,3,0.06,5557,15245,India,6906
1508,Zambia,From RDC,RDC,,30,14465,179655,12,0.41,1135,4428, Nashik,6339
1509,Côte d'Ivoire,From RDC,RDC,Air,240,15000,29550,1,0.01,3622,10181,India,9091
1510,Haiti,From RDC,RDC,Air,60,100,175,1,0.03,3622,10181,India,14446
1511,Nigeria,From RDC,RDC,Air,240,4,10,2,0.01,3622,10181,India,7633
1512,Côte d'Ivoire,From RDC,RDC,Air,60,35600,263440,7,0.12,3731,6778,India,9091
1513,Côte d'Ivoire,From RDC,RDC,Air,60,371,3524,9,0.16,4689,8321,India,9091
1514,Haiti,From RDC,RDC,Air,180,70,1187,16,0.09,30,933, Haarlem,7467
1515,Haiti,From RDC,RDC,Air,180,31,525,16,0.09,3622,10181, Haarlem,7467
1516,Nigeria,From RDC,RDC,Air,60,1521,2311,1,0.03,3622,10181,India,7633
1517,Nigeria,From RDC,RDC,Air,60,420,638,1,0.03,3622,10181,India,7633
1518,Nigeria,From RDC,RDC,Air,30,3077,36954,12,0.4,3622,10181,India,7633
1519,Nigeria,From RDC,RDC,Air,60,15,412,27,0.46,3622,10181, Nashik,7134
1520,Tanzania,From RDC,RDC,Air,60,122590,1158475,9,0.16,3622,10181,India,5659
1521,Zimbabwe,From RDC,RDC,Truck,60,9732,72016,7,0.12,911,2705,India,6980
1522,Tanzania,From RDC,RDC,Truck,30,75000,900750,12,0.4,15566,9330,India,5659
1523,Zambia,From RDC,RDC,Air,60,6597,62671,9,0.16,617,2891,India,6906
1524,Tanzania,From RDC,RDC,Air,60,155319,1149360,7,0.12,28334,80239,India,5659
1525,Nigeria,From RDC,RDC,Air,60,8940,120690,13,0.22,3622,10181,India,7633
1526,Mozambique,From RDC,RDC,Air,30,33787,419634,12,0.41,6081,3316,India,6624
1527,Haiti,From RDC,RDC,Air,60,39,68,1,0.03,3622,10181,India,14446
1528,Uganda,From RDC,RDC,Air,60,800,7560,9,0.16,75,935,India,5524
1529,Tanzania,From RDC,RDC,Truck,60,112191,1060204,9,0.16,10453,8831,India,5659
1530,Nigeria,From RDC,RDC,Air,90,1132,18112,16,0.18,3622,10181,India,7633
1531,Côte d'Ivoire,From RDC,RDC,Air,200,1971,2759,1,0.01,3622,10181,India,9091
1532,Haiti,From RDC,RDC,Air,60,7770,11810,1,0.03,3622,10181,India,14446
1533,Tanzania,From RDC,RDC,Air,60,48610,461795,9,0.16,3622,10181,India,5659
1534,Haiti,From RDC,RDC,Air,60,3115,25387,8,0.14,178,2599,India,14446
1535,Tanzania,From RDC,RDC,Air,60,6722,63859,9,0.16,634,1108,India,5659
1536,Zambia,From RDC,RDC,Truck,30,55000,660550,12,0.4,3925,2196, Nashik,6339
1537,Côte d'Ivoire,From RDC,RDC,Air,60,17621,59911,3,0.06,1650,3428,India,9091
1538,Zimbabwe,From RDC,RDC,Truck,60,6295,51304,8,0.14,3622,10181,India,6980
1539,Haiti,From RDC,RDC,Air,60,1925,15688,8,0.14,111,1355,India,14446
1540,Haiti,From RDC,RDC,Air,120,240,9864,41,0.34,3622,10181,Germany,7877
1541,Mozambique,From RDC,RDC,Air,60,138325,995940,7,0.12,3622,10181,India,6624
1542,Tanzania,From RDC,RDC,Air,60,75318,114483,1,0.03,5040,22965,India,5659
1543,Tanzania,From RDC,RDC,Air,30,101445,1259946,12,0.41,3622,10181,India,5659
1544,Tanzania,From RDC,RDC,Air,60,58086,551817,9,0.16,3622,10181,India,5659
1545,Uganda,From RDC,RDC,Air,60,500,775,1,0.03,33,578,India,5524
1546,Mozambique,From RDC,RDC,Air,90,560,8545,15,0.17,3622,10181,India,6624
1547,Mozambique,From RDC,RDC,Air,336,180,0,0,0.0,256,2765,France,8017
1548,Zambia,From RDC,RDC,Air,240,1800,3780,2,0.01,671,5110,India,6906
1549,Nigeria,From RDC,RDC,Air,200,36,50,1,0.01,4,857,India,7633
1550,Nigeria,From RDC,RDC,Air,30,15000,393750,26,0.88,1309,7463, Port Elizabeth,5168
1551,Zambia,From RDC,RDC,Truck,30,50000,600500,12,0.4,3817,4579, Nashik,6339
1552,Nigeria,From RDC,RDC,Air,30,20000,525000,26,0.88,1741,10665, Port Elizabeth,5168
1553,Uganda,From RDC,RDC,Ocean,30,1166,2332,2,0.07,71,1240,India,5524
1554,Mozambique,From RDC,RDC,Air,30,9650,115896,12,0.4,3622,10181,India,6624
1555,Mozambique,From RDC,RDC,Air,60,16990,229365,13,0.22,3622,10181,India,6624
1556,Côte d'Ivoire,From RDC,RDC,Air,60,22566,67698,3,0.05,2113,5574,India,9091
1557,Uganda,From RDC,RDC,Air,60,88,1038,11,0.2,10,1002,India,5524
1558,Uganda,From RDC,RDC,Air,30,9,99,11,0.37,1,966,India,5524
1559,Uganda,From RDC,RDC,Air,60,965,6948,7,0.12,3622,10181,India,5524
1560,Nigeria,From RDC,RDC,Air,60,11142,17270,1,0.03,739,6315,India,7633
1561,Côte d'Ivoire,From RDC,RDC,Air,240,1643,3450,2,0.01,483,7293,India,9091
1562,Uganda,From RDC,RDC,Air,30,328,8610,26,0.88,3622,10181, Port Elizabeth,3989
1563,Nigeria,From RDC,RDC,Air,30,1957,22936,11,0.39,3622,10181,India,7633
1564,Haiti,From RDC,RDC,Air,30,24599,270589,11,0.37,3622,10181,India,14446
1565,Nigeria,From RDC,RDC,Air,30,14000,154000,11,0.37,1169,13538,India,7633
1566,Nigeria,From RDC,RDC,Air,60,1672,5684,3,0.06,3622,10181,India,7633
1567,Uganda,From RDC,RDC,Air,30,938,1876,2,0.07,3622,10181,India,5524
1568,Nigeria,From RDC,RDC,Air,60,2708,25590,9,0.16,3622,10181, Nashik,7134
1569,Côte d'Ivoire,From RDC,RDC,Air,30,36391,386472,10,0.35,4156,11180,India,9091
1570,Côte d'Ivoire,From RDC,RDC,Air,240,3060,5814,1,0.01,3622,10181,India,9091
1571,Nigeria,From RDC,RDC,Air Charter,60,15944,181761,11,0.19,1793,11492,India,7633
1572,Zambia,From RDC,RDC,Truck,60,4200,32550,7,0.13,867,2938,India,6906
1573,Zambia,From RDC,RDC,Truck,30,60000,660000,11,0.37,5144,13853,India,6906
1574,Mozambique,From RDC,RDC,Air,60,26292,310245,11,0.2,3218,15990, Nashik,6074
1575,Nigeria,From RDC,RDC,Air Charter,60,71422,814210,11,0.19,8016,15128,India,7633
1576,Uganda,From RDC,RDC,Air,120,80,3288,41,0.34,19,1381,Germany,5868
1577,Nigeria,From RDC,RDC,Air,30,17933,470741,26,0.88,1564,16864, Port Elizabeth,5168
1578,Nigeria,From RDC,RDC,Air Charter,60,10000,93500,9,0.16,905,15128,India,7633
1579,Haiti,From RDC,RDC,Air,240,398,5970,15,0.06,3622,10181,India,14446
1580,Nigeria,From RDC,RDC,Air Charter,30,23991,275896,11,0.38,2096,15128, Nashik,7134
1581,Haiti,From RDC,RDC,Air,180,98,1662,16,0.09,28,988, Haarlem,7467
1582,Côte d'Ivoire,From RDC,RDC,Air,60,6476,56729,8,0.15,540,4881, Nashik,8608
1583,Nigeria,From RDC,RDC,Ocean,60,13334,152007,11,0.19,1626,17096, Nashik,7134
1584,Haiti,From RDC,RDC,Air,100,504,2766,5,0.05,3622,10181,India,14446
1585,Uganda,From RDC,RDC,Air,60,107,342,3,0.05,3622,10181,India,5524
1586,Côte d'Ivoire,From RDC,RDC,Air,60,17100,41724,2,0.04,3622,10181,India,9091
1587,Côte d'Ivoire,From RDC,RDC,Air,60,560,840,1,0.02,3622,10181,India,9091
1588,Nigeria,From RDC,RDC,Air Charter,60,12000,17880,1,0.02,789,7329,India,7633
1589,Uganda,From RDC,RDC,Air,60,1155,13109,11,0.19,147,1848, Nashik,4961
1590,Uganda,From RDC,RDC,Air,120,220,9042,41,0.34,50,1359,Germany,5868
1591,Zambia,From RDC,RDC,Truck,30,92000,1058000,11,0.38,7101,16702, Nashik,6339
1592,Zambia,From RDC,RDC,Air,90,4000,61040,15,0.17,481,2951,India,6906
1593,Côte d'Ivoire,From RDC,RDC,Air,30,2160,56700,26,0.88,186,1660, Port Elizabeth,5690
1594,Haiti,From RDC,RDC,Air,60,25824,226218,8,0.15,2359,26714,India,14446
1595,Zambia,From RDC,RDC,Truck,60,35000,249200,7,0.12,2604,2448,India,6906
1596,Nigeria,From RDC,RDC,Air Charter,60,23670,269838,11,0.19,2666,7445,India,7633
1597,Nigeria,From RDC,RDC,Air Charter,30,671,17613,26,0.88,59,7445, Port Elizabeth,5168
1598,Uganda,From RDC,RDC,Air,60,2250,6525,2,0.05,3622,10181,India,5524
1599,Uganda,From RDC,RDC,Air,60,2420,21199,8,0.15,202,1534, Nashik,4961
1600,Mozambique,From RDC,RDC,Truck,60,42000,299040,7,0.12,3622,10181,India,6624
1601,Mozambique,From RDC,RDC,Truck,60,17500,68250,3,0.06,1292,1588, Nashik,6074
1602,Zambia,From RDC,RDC,Truck,30,88000,968000,11,0.37,7579,6759,India,6906
1603,Tanzania,From RDC,RDC,Truck,30,536,9112,17,0.57,41,2233, Port Elizabeth,3213
1604,Zambia,From RDC,RDC,Truck,60,111538,977072,8,0.15,3622,10181,India,6906
1605,Mozambique,From RDC,RDC,Air,60,98396,700579,7,0.12,7426,2400,India,6624
1606,Nigeria,From RDC,RDC,Air Charter,30,121280,1425040,11,0.39,9813,9341, Nashik,7134
1607,Tanzania,From RDC,RDC,Truck,60,15900,404655,25,0.42,1630,2217, Nashik,5091
1608,Haiti,From RDC,RDC,Air,30,36456,226756,6,0.21,3160,32104,India,14446
1609,Mozambique,From RDC,RDC,Air,60,945,1408,1,0.02,62,1074,India,6624
1610,Côte d'Ivoire,From RDC,RDC,Air,30,576,15120,26,0.88,3622,10181, Port Elizabeth,5690
1611,Mozambique,From RDC,RDC,Air,60,735,1073,1,0.02,47,955,India,6624
1612,Mozambique,From RDC,RDC,Air,240,7707,18805,2,0.01,3622,2123,India,6624
1613,Zambia,From RDC,RDC,,30,16033,260536,16,0.54,536,3807,India,6906
1614,Mozambique,From RDC,RDC,Air,30,3756,12845,3,0.11,3622,679,Puerto Rico,11824
1615,Zambia,From RDC,RDC,,60,43470,155187,3,0.06,4398,18137,India,6906
1616,Zambia,From RDC,RDC,,30,1030,3574,3,0.12,48,574,Puerto Rico,10928
1617,Rwanda,From RDC,RDC,Air,60,38463,383860,9,0.17,3450,20896,India,5921
1618,Zambia,From RDC,RDC,,60,3334,11035,3,0.06,179,1170,India,6906
1619,Côte d'Ivoire,From RDC,RDC,,30,8148,132405,16,0.54,743,2660,India,9091
1620,Côte d'Ivoire,From RDC,RDC,,60,9000,67500,7,0.12,974,3166,India,9091
1621,Mozambique,From RDC,RDC,Air,60,62000,458800,7,0.12,5778,20299,India,6624
1622,Côte d'Ivoire,From RDC,RDC,,60,35074,374590,10,0.18,3116,1478,India,9091
1623,Tanzania,From RDC,RDC,Air,30,3149,51202,16,0.54,3622,10181,India,5659
1624,Côte d'Ivoire,From RDC,RDC,,120,3090,127122,41,0.34,650,2457,Germany,5008
1625,Côte d'Ivoire,From RDC,RDC,,240,5076,20050,3,0.02,3622,10181,India,9091
1626,Côte d'Ivoire,From RDC,RDC,Air,60,3200,114560,35,0.6,3622,10181,India,9091
1627,Côte d'Ivoire,From RDC,RDC,,60,22047,67022,3,0.05,1057,3348,India,9091
1628,Rwanda,From RDC,RDC,Air,30,2034,33561,16,0.55,768,4465,India,5921
1629,Mozambique,From RDC,RDC,Air,240,1020,21930,21,0.09,3622,10181,India,6624
1630,Tanzania,From RDC,RDC,,30,8000,130080,16,0.54,3622,10181,India,5659
1631,Tanzania,From RDC,RDC,,120,4155,170770,41,0.34,3622,10181,Germany,6837
1632,Mozambique,From RDC,RDC,Air,30,2933,49127,16,0.56,3622,10181,India,6624
1633,Mozambique,From RDC,RDC,Air,240,59,1241,21,0.09,3622,10181,India,6624
1634,Côte d'Ivoire,From RDC,RDC,,60,6000,165180,27,0.46,3622,10181,India,9091
1635,Zimbabwe,From RDC,RDC,Truck,60,1560,14820,9,0.16,90,1106,India,6980
1636,Zimbabwe,From RDC,RDC,Truck,30,1600,3200,2,0.07,3622,10181,India,6980
1637,Uganda,From RDC,RDC,,60,1350,12825,9,0.16,80,739,India,5524
1638,Côte d'Ivoire,From RDC,RDC,,240,1500,24750,16,0.07,3622,10181,India,9091
1639,Zambia,From RDC,RDC,,120,4078,167605,41,0.34,885,4119,Germany,7464
1640,Zambia,From RDC,RDC,,240,10996,68175,6,0.03,3967,13094,India,6906
1641,Nigeria,From RDC,RDC,Air,240,1622,10056,6,0.03,3622,10181,India,7633
1642,Mozambique,From RDC,RDC,Air,30,37300,463266,12,0.41,3622,10181,India,6624
1643,Côte d'Ivoire,From RDC,RDC,Air,60,6,48,8,0.14,3622,10181,India,9091
1644,Zimbabwe,From RDC,RDC,Air,60,22,162,7,0.12,3622,10181,India,6980
1645,Côte d'Ivoire,From RDC,RDC,Air,30,44000,88000,2,0.07,3622,10181,India,9091
1646,Côte d'Ivoire,From RDC,RDC,Air,60,44400,328560,7,0.12,3622,10181,India,9091
1647,Côte d'Ivoire,From RDC,RDC,Air,240,96,2400,25,0.1,3622,10181,India,9091
1648,Zambia,From RDC,RDC,,60,18974,140407,7,0.12,1928,7194,India,6906
1649,Haiti,From RDC,RDC,Air,90,500,8000,16,0.18,3622,10181,India,14446
1650,Haiti,From RDC,RDC,Air,100,480,2635,5,0.05,3622,10181,India,14446
1651,Côte d'Ivoire,From RDC,RDC,Air,120,403,16563,41,0.34,88,1603,Germany,5008
1652,Nigeria,From RDC,RDC,Air,60,645,2134,3,0.06,3622,10181,India,7633
1653,Nigeria,From RDC,RDC,Air,60,1542,11565,7,0.12,3622,10181,India,7633
1654,Côte d'Ivoire,From RDC,RDC,Air,60,40000,296000,7,0.12,4026,13325,India,9091
1655,Nigeria,From RDC,RDC,Air,60,125,1018,8,0.14,3622,10181,India,7633
1656,Uganda,From RDC,RDC,,60,1860,13764,7,0.12,192,1617,India,5524
1657,Zimbabwe,From RDC,RDC,Air,30,1600,3200,2,0.07,3622,10181,India,6980
1658,Haiti,From RDC,RDC,Air,60,3000,24450,8,0.14,3622,10181,India,14446
1659,Mozambique,From RDC,RDC,Air,30,12663,157274,12,0.41,3622,10181,India,6624
1660,Haiti,From RDC,RDC,Air,60,32129,97672,3,0.05,3622,10181,India,14446
1661,Uganda,From RDC,RDC,Air,60,6500,48100,7,0.12,667,3609,India,5524
1662,Côte d'Ivoire,From RDC,RDC,Air,60,5836,160665,27,0.46,3622,10181,India,9091
1663,Côte d'Ivoire,From RDC,RDC,Air,200,2326,3535,1,0.01,232,1704,India,9091
1664,Uganda,From RDC,RDC,,60,328,1115,3,0.06,3622,10181,India,5524
1665,Zimbabwe,From RDC,RDC,Air,30,1860,23101,12,0.41,3622,10181, Nashik,6420
1666,Haiti,From RDC,RDC,Air,60,14995,141702,9,0.16,1586,17289,India,14446
1667,Nigeria,From RDC,RDC,Air,30,16,420,26,0.88,3622,10181, Port Elizabeth,5168
1668,Côte d'Ivoire,From RDC,RDC,Air,60,3847,28467,7,0.12,408,1514,India,9091
1669,Nigeria,From RDC,RDC,Air,60,16610,220580,13,0.22,3622,10181,India,7633
1670,Tanzania,From RDC,RDC,Truck,60,8805,25622,2,0.05,3622,10181,India,5659
1671,Tanzania,From RDC,RDC,Truck,60,87768,298411,3,0.06,3622,10181,India,5659
1672,Côte d'Ivoire,From RDC,RDC,Air,240,5536,10629,1,0.01,3622,10181,India,9091
1673,Zambia,From RDC,RDC,Truck,60,9474,89529,9,0.16,3622,10181,India,6906
1674,Tanzania,From RDC,RDC,Air,60,40000,296000,7,0.12,4289,24594,India,5659
1675,Haiti,From RDC,RDC,Air,240,224,3696,16,0.07,3622,10181,India,14446
1676,Haiti,From RDC,RDC,Air,60,270,7433,27,0.46,862,9711, Nashik,14325
1677,Haiti,From RDC,RDC,Air,240,2415,4757,1,0.01,3622,10181,India,14446
1678,Zimbabwe,From RDC,RDC,Air,30,1860,23101,12,0.41,3622,10181,India,6980
1679,Zambia,From RDC,RDC,Air,30,81198,162396,2,0.07,4678,30610,India,6906
1680,Haiti,From RDC,RDC,Air,240,128,2112,16,0.07,3622,10181,India,14446
1681,Nigeria,From RDC,RDC,Air,30,48,816,17,0.57,4,213, Port Elizabeth,5168
1682,Mozambique,From RDC,RDC,Air,30,2500,31050,12,0.41,3622,10181,India,6624
1683,Mozambique,From RDC,RDC,Air,60,1728,16416,9,0.16,3622,10181,India,6624
1684,Zimbabwe,From RDC,RDC,Truck,60,3180,25917,8,0.14,182,1593,India,6980
1685,Uganda,From RDC,RDC,Air,240,127,243,1,0.01,46,740,India,5524
1686,Uganda,From RDC,RDC,Air,60,1400,18900,13,0.22,156,1282,India,5524
1687,Zambia,From RDC,RDC,Truck,30,35000,420350,12,0.4,2641,2938, Nashik,6339
1688,Zambia,From RDC,RDC,Truck,60,50000,472500,9,0.16,4585,2938,India,6906
1689,Côte d'Ivoire,From RDC,RDC,Air,60,4100,13120,3,0.05,3622,10181,India,9091
1690,Tanzania,From RDC,RDC,Truck,60,32544,94703,2,0.05,1608,1700,India,5659
1691,Haiti,From RDC,RDC,Air,200,1500,2100,1,0.01,235,3022,India,14446
1692,Haiti,From RDC,RDC,Air,30,1500,3360,2,0.07,3622,10181,India,14446
1693,Nigeria,From RDC,RDC,Air,336,2,76,38,0.11,3622,10181,France,4142
1694,Nigeria,From RDC,RDC,Air,60,1152,4492,3,0.06,85,1266, Nashik,7134
1695,Nigeria,From RDC,RDC,Air,30,4,105,26,0.88,3622,10181, Port Elizabeth,5168
1696,Nigeria,From RDC,RDC,Air,60,784,3057,3,0.06,58,1102, Nashik,7134
1697,Nigeria,From RDC,RDC,Air,120,94,3863,41,0.34,27,1058,Germany,4614
1698,Zambia,From RDC,RDC,Truck,60,50000,472500,9,0.16,3622,10181,India,6906
1699,Tanzania,From RDC,RDC,,60,5730,157746,27,0.46,3622,10181,India,5659
1700,Mozambique,From RDC,RDC,Air,180,252,12600,50,0.28,3622,10181, Haarlem,8465
1701,Zimbabwe,From RDC,RDC,Truck,30,4000,48040,12,0.4,3622,10181,India,6980
1702,Mozambique,From RDC,RDC,Air,60,11980,46722,3,0.06,3622,10181, Nashik,6074
1703,Uganda,From RDC,RDC,Air,60,14600,172280,11,0.2,1657,9995,India,5524
1704,Côte d'Ivoire,From RDC,RDC,Air,240,2800,5880,2,0.01,3622,10181,India,9091
1705,Zimbabwe,From RDC,RDC,Truck,30,4000,48040,12,0.4,3622,10181,India,6980
1706,Zimbabwe,From RDC,RDC,Truck,30,8000,16000,2,0.07,3622,10181,India,6980
1707,Côte d'Ivoire,From RDC,RDC,Air,60,9599,28797,3,0.05,3622,10181,India,9091
1708,Côte d'Ivoire,From RDC,RDC,Air,30,2200,29216,13,0.44,3622,10181, Nashik,8608
1709,Zambia,From RDC,RDC,Air,60,9408,31987,3,0.06,893,6269,India,6906
1710,Nigeria,From RDC,RDC,Air,30,12696,333270,26,0.88,1114,7641, Port Elizabeth,5168
1711,Zambia,From RDC,RDC,Truck,30,50000,600500,12,0.4,3622,10181, Nashik,6339
1712,Tanzania,From RDC,RDC,Air,60,76427,722235,9,0.16,7017,5367,India,5659
1713,Nigeria,From RDC,RDC,Air,60,6002,20406,3,0.06,3622,10181,India,7633
1714,Nigeria,From RDC,RDC,Air,60,7876,12207,1,0.03,521,4608,India,7633
1715,Nigeria,From RDC,RDC,Air Charter,30,16000,155520,9,0.32,1364,10181,India,7633
1716,Nigeria,From RDC,RDC,Air Charter,60,3231,28303,8,0.15,3622,10181,India,7633
1717,Nigeria,From RDC,RDC,Air Charter,60,67842,773398,11,0.19,7627,11492,India,7633
1718,Côte d'Ivoire,From RDC,RDC,Air,60,28624,267634,9,0.16,2583,7608,India,9091
1719,Zimbabwe,From RDC,RDC,Truck,30,8000,16000,2,0.07,483,2947,India,6980
1720,Côte d'Ivoire,From RDC,RDC,Air,60,10000,30400,3,0.05,3622,10181,India,9091
1721,Nigeria,From RDC,RDC,Air Charter,90,1132,17274,15,0.17,3622,10181,India,7633
1722,Zimbabwe,From RDC,RDC,Truck,60,76000,562400,7,0.12,3622,10181,India,6980
1723,Mozambique,From RDC,RDC,Truck,60,135000,972000,7,0.12,10053,10211,India,6624
1724,Tanzania,From RDC,RDC,Truck,240,1977,31928,16,0.07,3622,10181,India,5659
1725,Nigeria,From RDC,RDC,Air,60,248,793,3,0.05,24,1547,India,7633
1726,Nigeria,From RDC,RDC,Air Charter,60,35000,327250,9,0.16,3162,15128,India,7633
1727,Nigeria,From RDC,RDC,Air Charter,30,2178,23522,10,0.36,3622,10181,India,7633
1728,Nigeria,From RDC,RDC,Air Charter,240,806,1531,1,0.01,3622,10181,India,7633
1729,Uganda,From RDC,RDC,Air,60,3895,27732,7,0.12,289,2798,India,5524
1730,Nigeria,From RDC,RDC,Air Charter,180,400,20000,50,0.28,89,7329, Haarlem,4754
1731,Nigeria,From RDC,RDC,Air Charter,60,3190,36366,11,0.19,361,7329,India,7633
1732,Nigeria,From RDC,RDC,Air Charter,180,400,20000,50,0.28,3622,10181, Haarlem,4754
1733,Zambia,From RDC,RDC,Air,30,22260,244860,11,0.37,1921,2448,India,6906
1734,Mozambique,From RDC,RDC,Truck,60,1894,4621,2,0.04,3622,10181,India,6624
1735,Nigeria,From RDC,RDC,Air Charter,60,1268,14455,11,0.19,143,7445,India,7633
1736,Zambia,From RDC,RDC,Truck,30,27941,307351,11,0.37,1970,6759,India,6906
1737,Haiti,From RDC,RDC,Air,240,2757,5789,2,0.01,1038,11774,India,14446
1738,Haiti,From RDC,RDC,Air,100,1260,6300,5,0.05,3622,10181,India,14446
1739,Haiti,From RDC,RDC,Air,60,108,189,1,0.03,3622,10181,India,14446
1740,Côte d'Ivoire,From RDC,RDC,Air,60,18180,206343,11,0.19,2047,6739,India,9091
1741,Uganda,From RDC,RDC,Air,60,2237,5458,2,0.04,3622,10181,India,5524
1742,Uganda,From RDC,RDC,Ocean,60,8784,99698,11,0.19,1118,7338, Nashik,4961
1743,Zambia,From RDC,RDC,Truck,30,45964,367712,8,0.27,3622,10181,India,6906
1744,Côte d'Ivoire,From RDC,RDC,Air,240,3181,6043,1,0.01,3622,10181,India,9091
1745,Uganda,From RDC,RDC,Air,30,29426,201568,6,0.23,2529,4031,India,5524
1746,Côte d'Ivoire,From RDC,RDC,Air,60,5830,14225,2,0.04,3622,10181,India,9091
1747,Nigeria,From RDC,RDC,Air Charter,60,17000,193800,11,0.19,1914,9341,India,7633
1748,Nigeria,From RDC,RDC,Air Charter,60,3001,34211,11,0.19,338,9341,India,7633
1749,Nigeria,From RDC,RDC,Air Charter,30,240,2820,11,0.39,22,9341, Nashik,7134
1750,Nigeria,From RDC,RDC,Air Charter,60,25281,288203,11,0.19,2847,9341,India,7633
1751,Nigeria,From RDC,RDC,Air Charter,60,16912,192796,11,0.19,1905,9341,India,7633
1752,Zambia,From RDC,RDC,Truck,30,22059,137206,6,0.21,3622,10181,India,6906
1753,Mozambique,From RDC,RDC,Truck,60,1604,11420,7,0.12,120,1799,India,6624
1754,Haiti,From RDC,RDC,Air,60,4410,6438,1,0.02,286,3842,India,14446
1755,Vietnam,Direct Drop,EXW,Air,60,11092,74871,6,0.11,957,1869, Nashik,3641
1756,Haiti,Direct Drop,EXW,Air,60,298,685,2,0.04,21,304,India,14446
1757,Mozambique,Direct Drop,FCA,Air,60,400,2740,6,0.11,62,642,Germany,8163
1758,South Africa,Direct Drop,DDP,Ocean,30,54768,133633,2,0.08,3237,10923,India,8074
1759,South Africa,Direct Drop,DDP,Truck,60,25,1246,49,0.83,3622,10181,India,8074
1760,South Africa,Direct Drop,DDP,Truck,60,3,206,68,1.15,3622,10181,India,8074
1761,Vietnam,Direct Drop,EXW,Air,30,11500,132135,11,0.38,1295,2021, Nashik,3641
1762,South Africa,Direct Drop,DDP,Truck,30,13,438,33,1.12,3622,10181,India,8074
1763,South Africa,Direct Drop,DDP,Air,30,56877,265615,4,0.16,4815,5886,India,8074
1764,South Africa,Direct Drop,DDP,Truck,60,14,389,27,0.46,3622,10181,India,8074
1765,Vietnam,Direct Drop,EXW,Air,30,1680,13860,8,0.28,110,791, Nashik,3641
1766,Rwanda,Direct Drop,CIP,Air,30,138422,1211192,8,0.29,13147,4781, Nashik,5355
1767,Mozambique,Direct Drop,CIP,Air,84,520,5366,10,0.12,149,10181,France,8017
1768,South Africa,Direct Drop,DDP,Truck,30,132,1823,13,0.46,3622,10181, Nashik,7527
1769,Haiti,Direct Drop,EXW,Ocean,30,25000,256000,10,0.34,3034,7658, Nashik,14325
1770,Vietnam,Direct Drop,EXW,Air,60,13000,105300,8,0.13,2672,2504, Nashik,3641
1771,South Africa,Direct Drop,DDP,Truck,30,139,1566,11,0.38,3622,10181,India,8074
